document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
7701,us,US,GPE,approve adoptions from,approve adoption from,guatemala,Guatemala,GPE,"The link between the large number of adoptions & the history of US actions in Guatemala is pointed out , along with the high cost of these adoptions ; the increase in fraud on both sides ; recent efforts by the Guatemalan government to crack down on adoption fraud ; & the possibility that the US will no longer approve adoptions from Guatemala ."
2002,rural americans,Rural Americans,NORP,engage in,engage in,pa,PA,GPE,"Background : Rural Americans engage in less physical activity ( PA ) and experience higher rates of consequent health problems ( i.e. , obesity , cardiovascular disease ) than urban Americans ."
5424,gobi,Gobi,LOC,are,be,kumtag,Kumtag,ORG,"The Asian Development Bank estimated that in 2006 the livelihoods of 400 million people are threatened by the encroachment of the three largest deserts , the Gobi , Taklimakan and Kumtag ."
8306,chaldeans,Chaldeans,NORP,is in,be in,iraq,Iraq,GPE,"Major religious , social , and political setbacks have been experienced by the Chaldeans in Iraq in the last two decades ."
6018,un,UN,ORG,intercede in,intercede in,civil wars,Q8465,War,"The UN is significantly less likely to intercede in civil wars in states with large government armies , & the probability of UN intervention in a given war increases as war persists ."
668,beckman,Beckman,ORG,'s subsidiary is,'s subsidiary be,aplar,Aplar,ORG,"Beckman Instruments , Inc. ( Beckman ) brought a claim before the American Arbitration Association ( AAA ) against the Overseas Private Investment Corporation ( OPIC ) to recover under insurance policies issued by OPIC certain losses sustained by Beckman in connection with the liquidation of Beckman 's wholly owned subsidiary , Aplar , S.A. ( Aplar ) in El Salvador ."
4503,parliamentary elections,Q3558599,Election,is in,be in,sweden,Sweden,GPE,"Every twelve years , the parliamentary elections in Sweden , which take place quadrennially , and those in Norway , which occur triennially , fall within a few weeks of each other ."
8385,apple,Apple,ORG,is in,be in,china,China,GPE,"This argument is explored by coding 805 factory audits of the Fair Labor Association between 2002 and 2010 , followed by case studies of Russell Athletic in Honduras , Apple in China , and worker rights monitoring in Vietnam ."
7260,nkrumah,Nkrumah,PERSON,of,of,ghana,Ghana,GPE,"Army in a Multi-Ethnic Society : The Case of Nkrumah 's Ghana , 1957 - 1966 ."
3701,putin,Putin,PERSON,is more isolated after,be more isolated after,nearly a decade,nearly a decade,DATE,"After nearly a decade in power , Putin is more isolated than ever ."
7790,hhp,HHP,ORG,completely inactivated fcv at,completely inactivate fcv at,300 mpa,300 MPa,ORG,"HHP completely inactivated FCV , MNV , and PEC at 300 MPa , and TuV at 600 MPa , while AiV was completely resistant to HHP up to 800 MPa ."
8544,vietnamese migrant workers,Vietnamese Migrant Workers,ORG,is in,be in,japan,Japan,GPE,From Foreign Trainees to Unauthorized Workers : Vietnamese Migrant Workers in Japan .
4537,koto bharu,Koto Bharu,GPE,is in,be in,malaya,Malaya,GPE,The victorious Japanese troops entered Singapore on the sixty - ninth day after they landed on Songkhla in Thailand and on Koto Bharu in Malaya .
7604,imnf,IMNF,ORG,state of,state of,israel,Israel,GPE,"Based on the British Defense Regulations from the British Mandate for Palestine , the State of Israel outlawed the IMNF on November 17 , 2015 , accusing the group of incitement , racism , and terrorism ."
5472,manmohan singh arora,Manmohan Singh Arora,PERSON,suggested to,suggest to,fayez mina,Fayez Mina,PERSON,"In this year , 2011 , we celebrate the 25th anniversary of the founding of our Project , when Manmohan Singh Arora suggested the idea to Fayez Mina and myself around a swimming pool in Bahrain ( of all places ! )"
