document_id,subject_str,predicate_org,predicate,object_str,text
2169,detailed manual,biblical records of,biblical record of,episode,"Thus read , the biblical records of the episode constitute a detailed "" how to "" manual of political action ."
4522,study,is based on,be base on,content analysis,The study is based on the content analysis of ultras ' displays using data from a print fanzine devoted to football fandom culture in Poland .
7189,article,initiate,initiate,discussion of work,This article aims to initiate discussion of the work of Andrew Shanks by expositing his unique form of civil theology and its relation to his Hegelian Christology .
4945,john dryzek 's justification,rests on,rest on,critique of rationality,John Dryzek 's justification of deliberative democracy rests on a critique of instrumental rationality and a defence of Habermas 's idea of communicative rationality .
7029,measured values,predict sediment dynamics due,predict sediment dynamics due,waves,"Measured values of wave height and period , water depth and sediment properties are used in well - known formulae to predict sediment dynamics and bed shear stresses due to waves ."
7110,management,main features of,main feature of,formation,A detailed study of the bureaucratic shapes of public policies concerning the environment reveals how environmental management reflects the main features of the political system and of the social formation of Brazil
4954,taxes,are,be,longer neutral,"Similarly , after incorporating entrepreneurs ' occupational choice into the model , taxes are no longer neutral ."
1990,depositors,are worse,be worse,off if banks would coordinate on liquid investment,"In the prevailing mixed - strategy equilibrium , depositors are worse off than if banks would coordinate on more liquid investment ."
802,non-white women 's fertilityhas,long been subject of,long be subject of,fear,"Migrant women 's fertilityor more precisely , non-white migrant women 's fertilityhas long been the subject of fear and anger in the United States ."
1968,authors,overall find,overall find,level of violence,"Overall , the authors find a high level of violence against women worldwide ."
9260,only consequence,attract,attract,fifty percent,The only salutary consequence of the failure of the APSA dues increase to attract fifty percent plus one of the voters is that those who attend the San Francisco Convention will be spared a long essay on the pleasures of the flesheating and sightseeingin the convention city .
329,glacial period,disappeared during,disappear during,holocene,High - coercivity magnetic minerals that characterize the late - glacial period almost disappeared during the Holocene and the concentration of ferrimagnetic minerals increased sharply .
936,two issues,are,be,considered here,"Two issues are considered here : ( 1 ) survey protocol regarding "" do n't know "" responses ; & ( 2 ) item format ."
702,performance,have,have,relative prevalence,"Text mining abstract of JIC articles indicated that "" measurement , "" "" financial performance "" and "" IC reporting "" have the relative prevalence with increasing trends over the past 20 years ."
3159,most trade requirements,appear,appear,not have considered in course of law making in 1990s,"For older measures , the risks of an environmental measure being found inconsistent with trade law in the event of a challenge are high , as most trade requirements simply appear not to have been considered in the course of environmental law - making in the 1970s - early 1990s ."
6332,societal networking,constitute,constitute,part of essential framework,"In this new book , J.M. Albala - Bertrand develops the themes introduced in his past book , The Political Economy of Large Natural Disasters ( Clarendon Press , 1993 ) , to show that societal networking and disaster localization constitute part of an essential framework to understand disaster effects and responses ."
9130,backgroundprior studies,have mainly assessed,have mainly assess,odontoidectomy for invagination,BackgroundPrior studies have mainly assessed transoral odontoidectomy for basilar invagination with irreducible atlantoaxial dislocation .
6715,twitch iia fibers,are,be,alternatively abundant,"Alternatively , fast - twitch IIa and IIx fibers are abundant in elite power athletes , such as weightlifters and sprinters ."
7855,article,outlines,outline,some sen 's claims,"This article outlines some of Sen 's claims and attempts a partial elucidation of their relationship to some strands in the relevant literatures on identity , community , and justice ."
200,we,longer operate,longer operate,because nation,"Indeed , we no longer operate under the same Constitution as that ratified in 1788 , or even the one completed by the Bill of Rights in 1791 -- because we are no longer the same nation ."
5576,its end,american rivalry with,american rivalry with,ussr,"It also reveals how , since then , some of the most controversial and inconsistent episodes of post-Cold War US foreign policy in Africa have been deeply rooted in the unique process whereby American rivalry with the USSR found its end in the continent ."
5978,existing lobbying disclosure statutes,been ineffective because,be ineffective because,language weak provisions,In Section 2 of the Lobbying Disclosure Act the Congress finds that ( 1 ) responsible representative Government requires public awareness of the efforts of paid lobbyists to influence the public decisionmaking process in both the legislative and executive branches of the Federal Government ( 2 ) existing lobbying disclosure statutes have been ineffective because of unclear statutory language weak administrative and enforcement provisions and an absence of clear guidance as to who is required to register and what they are required to disclose and ( 3 ) the effective public disclosure of the identity and extent of the efforts of paid lobbyists to influence Federal officials in the conduct of Government actions will increase public confidence in the integrity of Government .
9403,eu,is from,be from,far customs union,How far the EU is from a customs union in service trade is very difficult to assess because of the nonquantitative nature of trade restrictions in this sector .
1173,contributors,define more holistically,define more holistically,religion,"Through these themes , contributors define religion more holistically , troubling familiar dichotomies between Catholics and the rest , "" founding "" and immigrant religions , "" New Religious Movements "" and traditional institutions ."
3218,syrian president bashar al assad,has apparently retained,have apparently retain,hope of return he summarily withdrew following rafiq hariri assassination,Syrian president Bashar al - Assad has apparently retained the hope of a military return to Lebanon from where he summarily withdrew in 2005 following the Rafiq Hariri assassination .
2464,original study,offers,offer,comprehensive overview of contemporary relationship,"With examples ranging from Rio de Janeiro to Flint , Michigan to the Thames River , this original study offers a comprehensive criminological overview of the contemporary and historical relationship between water and crime ."
1608,paleoclimatic evidence,called for,call for,its severity,Each case study juxtaposes the latest paleoclimatic evidence of megadrought ( so - called for its severity and its decades - to centuries - long duration ) with available archaeological records of synchronous societal collapse .
2792,paper,advocates,advocate,return to conception through instrument,"As against this , the paper advocates a return to an earlier rights - based conception of civility by enforcing universal laws through the instrument of the state ."
3686,focus,should on,should on,should promoting integrated mental health care with concentration particularly relevant,"The focus of mental health system redesign should be on promoting integrated mental health care , with concentration of hospital services not being particularly relevant ."
6873,treatment,was associated with,be associate with,relative increases in perceived support,Treatment was also associated with relative increases in perceived social support ( p .04 ) .
461,data,support,support,hypothesis,"Data from New Zealand and overseas studies are used to support the hypothesis that area - prism ( A - ) relationships , like those used to characterise the entrance throat stability of barrier enclosed tidal inlets on exposed sandy coasts , hold for a wide variety of estuary types ranging from lagoon to river mouth situations to large coastal embayments ."
5839,it,represents,represent,advance in complexification,"On the one hand , it represents a significant advance in the ' complexification ' of state strategies , understood in the sense of the production of intended effects ."
947,second area,launch program with,launch program with,retrospective sample,"The second area opted to launch the program across the whole area simultaneously , with a retrospective sample as control group ."
2467,higher concentrations,became,become,apparent,Higher concentrations of DPHP biomarkers among young children only became apparent after creatinine adjustment .
9053,book,examines,examine,crucial role of visual culture in shaping berlin 's memory culture in east over past five decades,""" This book examines the crucial role of visual culture ( architecture , memorials , photography and film ) in shaping Berlin 's urban memory culture in both East and West in reponse to the changing political , social and economic organization of the built environment over the past five decades"
5585,purposethe study,examine,examine,significance of gulf cooperation council,PurposeThe study aims to examine the geoeconomic significance of the Gulf Cooperation Council ( GCC ) countries to China 's global geopolitical ends .
6615,research,highlighted,highlight,considerable home environment pesticide exposure of south african children in groups,"This research highlighted the considerable home environment pesticide exposure of South African children in lower socio - economic groups in rural , urban and informal areas ."
5176,chironomid records,show changes because,show change because,driven changes,The recent chironomid records from all three lakes show pronounced faunal changes over the last 50 years probably directly or indirectly because of climate - driven changes in catchment hydrology .
