document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
529,american,American,NORP,is,be,british,British,NORP,"Although American IPE is undoubtedly British IPE 's "" other , "" confusion is expressed about what American IPE actually is , leaving the British "" other "" also in doubt ."
8555,soviet,Soviet,NORP,was,be,poland,Poland,GPE,"In the same period , the Soviet model of industrial democracy was severely challenged in Poland , Hungary , & Czechoslovakia ."
6291,brief,Brief,WORK_OF_ART,marking,mark,pitirim a. sorokin,Pitirim A. Sorokin,PERSON,"Marking the 50th anniversary of Pitirim A. Sorokin 's death , this Brief offers a critical analysis of the renowned sociologist 's theories while highlighting some of his more overlooked ones ."
9805,aigoual,Aigoual,PRODUCT,consists in,consist in,french massif central,French Massif Central,FAC,"International audience ; In the southeastern French Massif Central , the AigoualSaint GuiralLiron pluton consists of porphyritic and microgranitic types ."
4723,one,One,CARDINAL,is with,be with,"10,000","10,000",CARDINAL,"Thisapproach was implemented in the IAB - ALWA study ( Work and Learning in a ChangingWorld ) , a large - scale representative telephone survey with 10,000 respondents.By comparing the uncorrected data with the final data after revision , we investigateto what extent the application of this data revision module improves data quality ormore precisely , time consistency and dating accuracy of individual reports ."
9491,gcm,GCM,ORG,make climate change predictions by,make climate change prediction by,gcm,GCM,ORG,GCM scenarios of the ECHAM4 model for 1xCO ( 2 ) and 2xCO ( 2 ) cases were used to make climate change predictions ( by using classified GCM geopotential heights ) .
7186,conflict,Q185407,War,is in,be in,northern ireland,Northern Ireland,GPE,Impact of Conflict on Mental Health in Northern Ireland : The Mediating Role of Intergroup Forgiveness and Collective Guilt .
6319,ruth first,Ruth First,PERSON,of,of,africa,Africa,LOC,The paper also presents a biographical account of Ruth First 's astute enquiries into the development of capitalism in Southern Africa and the two - stage theory of revolution .
4746,mep,MEP,ORG,are assigned to,be assign to,ep,EP,ORG,"The European Parliament ( EP ) possesses a highly specialized committee system , operating in a complex institutional and political environment , yet little empirical work has investigated how MEPs are assigned to EP committees and what consequences this process has for representation and policy - making ."
8298,system safety,System Safety,ORG,in engineers is,in engineer be,leveson,Leveson,ORG,"Revisiting and updating ideas pioneered by 1950s aerospace engineers in their System Safety concept , and testing her new model extensively on real - world examples , Leveson has created a new approach to safety that is more effective , less expensive , and easier to use than current techniques.Arguing that traditional models of causality are inadequate , Leveson presents a new , extended model of causation ( Systems - Theoretic Accident Model and Processes , or STAMP ) , then shows how the new model can be used to create techniques for system safety engineering , including accident analysis , hazard analysis , system design , safety in operations , and management of safety - critical systems ."
8576,east germany,East Germany,GPE,were,be,their communist parties,their Communist Parties,ORG,"Bulgaria , Czechoslovakia , East Germany , Hungary , Poland , Rumania , and the Soviet Union were represented at the meeting by their respective Prime Ministers and Foreign and Defense Ministers and by the First Secretaries of their Communist Parties ."
5978,act,Act,LAW,comprise,comprise,acts,Acts,LAW,Lobbying activities comprise lobbying contacts and efforts in support of such contacts including preparation and planning activities research and other background work that is intended at the time it is performed for use in contacts and coordination with the lobbying activities of others .
3326,storting,Storting,PRODUCT,was,be,storting,Storting,PRODUCT,"The new Storting remains farther to the left than was the Storting before the 1927 elections.The chief reason why this election deserves attention is that in it there were placed before a literate , alert , and intelligent electoraterepresenting a homogeneous people with a democratic backgroundvital issues involving the acceptance or rejection of an advanced socialistic program ."
8142,glasgow,Glasgow,GPE,has,have,kibble palace,Kibble Palace,FAC,"On a dark January night in 1914 , Glasgow 's iconic Kibble Palace at the Botanic Gardens became the target of a bomb attack which shattered 27 large panes of glass ."
1183,adb,ADB,ORG,provides,provide,adb,ADB,ORG,"Updated yearly , this ADB Fact Sheet provides information on Fiji Islands contributions to ADB ."
2246,afghanistan,Afghanistan,GPE,has,have,presidential elections,Q858439,Election,But Afghanistan 's 2014 presidential elections may be more important than the change of military mission .
8397,washington,Washington,GPE,must focus on,must focus on,al qaeda,al Qaeda,ORG,Washington must focus on attacking al Qaeda 's leaders & ideas & altering the local conditions in which they thrive .
5153,cge,CGE,ORG,are suited for,be suited for,bioenergy,Bioenergy,ORG,CGE models are thus well suited for the study of bioenergy / biofuel policies .
2025,american,American,NORP,is in,be in,philippines,Philippines,GPE,"Cities and nationhood : American imperialism and urban design in the Philippines , 1898 - 1916 ."
5883,beaumont,Beaumont,GPE,study,study,american,American,NORP,"Tocqueville and his traveling companion Gustave de Beaumont came to study the American penitentiary , which had become world famous by the 1830s ."
8183,kanjertraining,Kanjertraining,GPE,is in,be in,dutch,Dutch,GPE,Topper Training ( Kanjertraining in Dutch ) has been widely implemented in Dutch schools and mental healthcare centres as a preventive and curative programme for 4 - to 15 - year - olds .
9482,hatch,Hatch,PERSON,came to,come to,monrovia,Monrovia,GPE,""" Dr. Steven Hatch first came to Liberia in November 2013 , to work at a hospital in Monrovia ."
1079,conflicts,Q185407,War,is with,be with,china,China,GPE,"The decisions of these men , for better and often for worse , had profound consequences for decades to come , influencing relations and conflicts with China , Korea , the Middle East , and around the globe ."
8464,constraint satisfaction problem,Constraint Satisfaction Problem,LAW,using,use,cif,CIF,ORG,The main contribution include also a new ontology for representing security constraints as policy and a knowledge management method to our proposed knowledge - based policy framework ; we also show the possibility to integrate the business rules into policy specification by means of converting them into Constraint Satisfaction Problem ( CSP ) using CIF .
9498,sbp,SBP,ORG,meanwhile displayed,meanwhile display,sfsbp,SFSBP,ORG,"Meanwhile , the SBP displayed superior regulation efficacy to SFSBP in MI rats , indicating that there must be other active components in the SBP that were responsible for the treatment of MI that were not included in the SFSBP treatment ."
9985,conflict,Q185407,War,was,be,muslim,Muslim,NORP,A Peace and Conflict Impact Assessment ( PCIA ) was instrumental in advancing peace and development in the Autonomous Region of Muslim Mindanao ( ARMM ) communities of the Philippines .
4888,taiwan,Taiwan,GPE,has,have,presidential elections,Q858439,Election,Mainland China frames Taiwan : how China 's news websites covered Taiwan 's presidential elections .
2919,national party,National Party,ORG,became,become,queensland,Queensland,GPE,"In August 1968 , conservative National Party leader Joh Bjelke - Petersen became Premier of the state of Queensland ."
9807,turkey,Turkey,GPE,has,have,european union,European Union,ORG,Turkey 's European Union Candidacy : From Luxembourg to Helsinki - to Ankara ?
5978,act,Act,LAW,register of,register of,commission,Commission,ORG,The joint register of the European Commission and European Parliament covers both lobbying activities and access to the premises of the European Parliament .
1466,137cs,137Cs,PRODUCT,respectively have,respectively have,arctic,Arctic,LOC,The releases from European nuclear fuel reprocessing plants and Chernobyl fallout traced by the 129I and 134Cs / 137Cs signals respectively have approximately the same spatial distribution in the Arctic Ocean surface layer .
6024,mo,Mo,PERSON,is in,be in,azegour,Azegour,NORP,Delta97 / 95Mo in molybdenites from the Azegour skarn ( Morocco ) .
7860,gppt,GPPT,ORG,are,be,cstc,CSTC,ORG,"The U.S. , the CSTC - A , GPPT , UNAMA , EUPOL , NATO and a lot of individual countries are interested in the reorganizing of the Afghan National Police ( ANP ) force with the aim of providing stability in the nation ."
4664,potlako kitchener leballo,Potlako Kitchener Leballo,PERSON,also gained renown in,also gain renown in,later years,later years,DATE,"In later years Potlako Kitchener Leballo also gained renown as a mesmerising orator who lived to dramatise , to command the centre of attention , to captivate listeners with impassioned stories ."
1573,nato,NATO,ORG,prioritization 's,prioritization 's,uk,UK,GPE,"Attention is given to the three phases of British defense policy since the 1949 formation of NATO , the UK 's prioritization of defense relative to other European countries , the implications of the arrival of the Barack Obama administration particularly regarding US military interventions , the rise of Russia & China , & issues related to the British defense budget given economic & strategic conditions ."
7701,guatemala,Guatemala,GPE,has,have,us,US,GPE,Guatemala 's Adoption Industry .
1638,switzerland,Switzerland,GPE,member of,member of,un,UN,ORG,"Prior to its full membership in the United Nations , Switzerland was an active observer and even an active member of many specialized UN agencies ."
950,taiwan,Taiwan,GPE,has,have,2012,2012,DATE,Taiwan 's 2012 Presidential Election .
7246,english,English,LANGUAGE,is,be,oregon state university,Oregon State University,ORG,English professor who left for the West two months after Brewster 's birth to become a dean of liberal arts at what is now Oregon State University .
7153,finland,Finland,GPE,has,have,russia,Russia,GPE,Examines Finland 's relations with Russia and with the European Union .
2467,dphp,DPHP,ORG,geometric means of were,geometric means of be,0.30,0.30,CARDINAL,"Geometric means of DPHP metabolites were 0.30 g / L for OH - MPHP , 0.32 g / L for oxo - MPHP and 0.64 g / L for DPHP ( of OH - MPHP + oxo - MPHP ) ."
8907,u.s.,U.S.,GPE,later disruption of,later disruption of,american,American,NORP,The later disruption of this American version of coordination transformed the U.S. political economy into a liberal market economy .
7720,senate,Senate,ORG,has already passed lodge gossett proposal by,have already pass lodge gossett proposal by,three,three,CARDINAL,The Senate has already passed the so - called Lodge - Gossett proposal by a vote of 64 to 27three more than the necessary two - thirds .
2621,woodward,Woodward,PERSON,once again pulls back,once again pull back,washington,Washington,GPE,Woodward once again pulls back the curtain on Washington to reveal the inner workings of a government at war
440,saving sex,Saving Sex,WORK_OF_ART,is exploration of,be exploration of,evangelical,Evangelical,NORP,"Saving Sex is a long - overdue exploration of evangelicals ' surprising and often - misunderstood beliefs about sex -- who can do what , when , and why -- and of the many ways in which they try to bring those beliefs to bear on American culture"
3062,edward thompson,Edward Thompson,PERSON,recognized style on,recognize style on,mill,Mill,PERSON,"In his obituary on C. Wright Mills , his trans - Atlantic friend and comrade of the international New Left , Edward Thompson recognized that it was Mill 's "" style , rather than a comprehensive theory of social process . . . the style of a responsible and catholic eclectic "" that he successfully attained in his late years and remains his enduring legacy ."
2434,philby,Philby,PERSON,is traitor ingenious in,be traitor ingenious in,british,British,NORP,"Kim Philby is perhaps the most notorious traitor in British History and the archetypal spy : ingenious , charming and deceitful ."
6087,india,India,GPE,wars,war,pakistan,Pakistan,GPE,"For seven decades , the political conflict over Kashmir has locked India and Pakistan in brutal wars and hate - centered nationalisms ."
1113,protestantism,Protestantism,NORP,is in,be in,china,China,GPE,Protestantism in China : A Dilemma for the Party - State .
