document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
6125,neuquen,Neuquen,GPE,is,be,from moment converted into province,from moment converted into province,Unknown,"The period that is presented here goes from the moment Neuquen is converted into province in 1958 and the 90s , in which the accumulation regime is defined in the country , and the local state must readjust its relations with politics , society , and economy due to the crack of the welfare policy that is extended for two decades ."
5978,code,Code,ORG,is in,be in,respect of financial interests,respect of financial interests,Unknown,Amendment to the Rules of Procedure regarding the Code of Conduct for Members of the European Parliament in respect of financial interests and conflicts of interest 1 Dec. 2011 http / / www.europarl.europa.eu/sides/getDoc.do?pubRef / / EP / / TEXT+TA+P 7 TA 2011 0540 +0 + DOC+XML+V 0 / / EN language EN 17 .
2108,court,Court,ORG,contributed to,contribute to,progress of economic integration through its development of community laws,progress of economic integration through its development of community laws,Unknown,"The Court of Justice of the European Communities plays an essential part in the equilibrium of powers among the major Community institutions , & has contributed significantly to the progress of economic , social , & perhaps political integration through its vigorous development of Community laws ."
9234,us,US,GPE,has,have,despite its recent efforts at negotiation has confrontational in its approach,despite its recent efforts at negotiation has confrontational in its approach,Unknown,"Despite its recent efforts at negotiation , the US traditionally has been more confrontational in its approach to Iran than European countries , which have urged closer ties with Tehran ."
1497,walldorf,Walldorf,PERSON,demonstrate,demonstrate,influence of humanitarian considerations in most vital of moments,influence of humanitarian considerations in most vital of moments,Unknown,"To demonstrate the central influence of humanitarian considerations and domestic politics in the most vital of strategic moments of great - power foreign policy , Walldorf argues that Western governments can and must integrate human rights into their foreign policies ."
3552,odr,ODR,ORG,differs from,differ from,mediation,mediation,Unknown,ODR differs from traditional mediation in at least three ways relating to the formation and resolution of disputes .
9994,edersheim,Edersheim,PERSON,had,have,unprecedented access talking with father of modern management about business practices,unprecedented access talking with father of modern management about business practices,Unknown,"For 16 months , Edersheim had unprecedented access to Drucker , talking with the father of modern management about business practices , economic changes , and contemporary trends -- many of which he had predicted decades ago ."
6198,stone,Stone,PERSON,come independently to,come independently to,concept,concept,Unknown,"Goodman and Stone come independently to a concept of reality as a "" fit "" of expectations and cultural constructs rather than a definite , knowable realm ."
6277,gls,GLS,ORG,have,have,have applied to number,have applied to number,Unknown,GLS and FLS together have been applied to a non-trivial number of satisfiability and optimisation problems and achieved remarkable result .
6506,michelle frasher,Michelle Frasher,PERSON,brings reader with,bring reader with,original documents,original documents,Unknown,"With original archival documents and interviews from the US and Europe , Michelle Frasher brings the reader into the negotiating room with American , German , and French officials as they confronted the collapse of the Bretton Woods monetary system and made decisions that affected the course of European integration and the contemporary neoliberal order ."
2770,congo,Congo,GPE,fought as,fight as,state 's army,state 's army,Unknown,"Katanga , located in today 's Democratic Republic of Congo , seceded in 1960 as Congo achieved independence and the gendarmes fought as the unrecognized state 's army during the Congo crisis ."
2418,feyzullah,Feyzullah,PERSON,of,of,downfall,downfall,Unknown,"The rise of the kap in the seventeenth century -- The household as a key category of analysis -- Methodology and sources 14 -- Outline of the book and arguments -- Life of Feyzullah Efendi : a typical rocky career path of an alim -- Erzurum and the sufi connection -- Manner of training -- Feyzullah 's early career begins -- Appointment as tutor to Prince Mustafa -- First term as seyhulislam -- His exile to Erzurum and subsequent return -- The Edirne event ( Edirne vakas ) -- The formation and consolidation of the kap ( grandee household ) -- Blood ties -- Marriage ties -- Self - presentation to the patron and offer of services -- Employment in the office of the seyhulislam -- The rise of the household to hegemonic status -- Feyzullah 's policy on appointments to the legal - academic establishment -- The dismissal and exile of senior ulema rivals -- The grand vizier 's loss of power and authority to the seyhulislam -- Household property , sources of income , and economic activity -- Sal"
714,benjamin,Benjamin,PERSON,applies to,apply to,entire range,entire range,Unknown,"Thus it is imperative to further clarify the type of approach that Benjamin applies to the entire range of cultural critique , in order to more firmly ground the instructive aspects of The Arcades Project , especially as regards its treatment of the dilemma of commodity production within capitalist social relations ."
5953,efta,EFTA,ORG,have members,have member,merged,merged,Unknown,"Even the fact that the EEC and EFTA , if completely merged , would have 13 members is not considered unlucky : after all , the United States itself evolved out of a union of 13 ."
5471,palosfalvi,Palosfalvi,PERSON,offers account from,offer account from,its start in late century to battle of mohacs in 1526,its start in late century to battle of mohacs in 1526,Unknown,Palosfalvi offers an account of Ottoman - Hungarian warfare from its start in the late fourteenth century to the battle of Mohacs in 1526 .
8372,non-library,Non-Library,PRODUCT,is,be,expression,expression,Unknown,"The Non-Library is a non-standard expression for life that is lived without mediation from words , images , or even ideas ."
1245,alliance,Alliance,ORG,respond by,respond by,moving from decisions taken at september 2014 summit,moving from decisions taken at september 2014 summit,Unknown,The report focuses on how the Alliance needs to respond to the on - going changes by moving forward at the upcoming Warsaw Summit from the decisions taken at the September 2014 summit in Wales .
5486,south african defence force,South African Defence Force,ORG,facilitated,facilitate,relocation of about 4000 bushmen from military bases,relocation of about 4000 bushmen from military bases,Unknown,In March 1990 the now defunct South African Defence Force facilitated the relocation of about 4000 bushmen from military bases in the Caprivi Strip and Bushmanland ; they were immediately given South African citizenship .
5127,nabil dajani,Nabil Dajani,PERSON,looks,look,at how societal division impacts on nature,at how societal division impacts on nature,Unknown,"Here , Nabil Dajani looks at how this societal division impacts on the nature of the mass media in Lebanon ."
4667,trump,Trump,PERSON,has,have,approach to business leadership,approach to business leadership,Unknown,Trump 's approach to business leadership is critiqued .
913,commission,Commission,ORG,third performs,third perform,informal function as policy maker epitomized by expanding commission preference for use of soft law,informal function as policy maker epitomized by expanding commission preference for use of soft law,Unknown,"Third , the Commission also performs an informal function as policy - maker , epitomized by the expanding Commission preference for the use of soft law & other non-binding measures ."
1893,india,India,GPE,began unlike,begin unlike,mature democracies,mature democracies,Unknown,"Unlike the mature democracies of the west , India began as a true republic of equals with a complex architecture of citizenship rights that was sensitive to the many hierarchies of Indian society ."
8655,bangladesh,Bangladesh,GPE,democracy in,democracy in,world,world,Unknown,"Bangladesh , the second largest Muslim democracy in the world , presents an interesting case study of a secular state for Muslim majority countries in other parts of the world ."
8568,cold war,Q1936011,War,was,be,dilemma,dilemma,Unknown,"Hatzivassiliou argues that the Cold War was not only a strategic dilemma ( although it certainly was that , as well ) , but also the latest stage of the crisis of legitimization which had been raging since the dawn of modernity ."
5978,european parliament,European Parliament,ORG,adopted,adopt,code of conduct,code of conduct,Unknown,[ 14 ] The European Parliament in December 2011 adopted a Code of Conduct for Members of the European Parliament with respect to financial interests and conflicts of interest which also placed restrictions on lobbying by former members .
3379,latin america,Latin America,LOC,from,from,two largest countries,two largest countries,Unknown,"Drawing on the literature on new institutionalism and the judicialisation of politics , and on case studies from Latin America 's two largest countries , we propose a comparative framework for analysing the judicialisation of policy in the region ."
1497,walldorf,Walldorf,PERSON,demonstrate,demonstrate,central influence of humanitarian considerations in most vital of moments,central influence of humanitarian considerations in most vital of moments,Unknown,"To demonstrate the central influence of humanitarian considerations and domestic politics in the most vital of strategic moments of great - power foreign policy , Walldorf argues that Western governments can and must integrate human rights into their foreign policies ."
2283,runaway creek nature reserve,Runaway Creek Nature Reserve,LOC,is,be,forest,forest,Unknown,Monkey River is a riparian secondary forest whereas Runaway Creek Nature Reserve ( RCNR ) is a primary and mature forest situated in a limestone karst hills landscape .
8844,intervention mapping,Intervention Mapping,WORK_OF_ART,is,be,composed,composed,Unknown,"Intervention Mapping is composed of five steps : ( 1 ) creating a matrix of proximal program objectives , ( 2 ) selecting theory - based intervention methods and practical strategies , ( 3 ) designing and organizing a program , ( 4 ) specifying adoption and implementation plans , and ( 5 ) generating program evaluation plans ."
