document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
22219581,propolis,CHEMBL4298075,Excipient,is safe as,be safe as,alternative medicine,MESH:D000529,Method,Is propolis safe as an alternative medicine ?
9076209,patients,9606,Species,periods of,period of,vertical diplopia,MESH:D004172,Disease,"PATIENTS : Two patients , aged 55 and 52 years , had episodic , involuntary periods of vertical diplopia and dysthyroid orbitopathy ."
27825618,atrial fibrillation,MESH:D001281,Disease,is established epidemic as,be establish epidemic as,arrhythmia,MESH:D001145,Disease,"As the most common sustained arrhythmia in adults , atrial fibrillation ( AF ) is an established and growing epidemic ."
25692143,adenocarcinoma,MESH:D000230,Disease,activation of,activation of,estrogen,CHEMBL592868,Drug,Some studies have shown that activation of estrogen and estrogen receptor alpha or beta ( ERalpha / beta ) promote adenocarcinoma .
23346417,ewing sarcoma,MESH:C563168,Disease,is associated with,be associate with,chromosomal translocations,MESH:D014178,Disease,Ewing sarcoma is associated with specific chromosomal translocations and the resulting transcripts / proteins .
30956741,mmp,4321,Gene,therefore is potential biomarker of,therefore be potential biomarker of,pain,MESH:D010146,Disease,"Therefore , MMP - 12 is a potential biomarker of neuropathic pain ."
22816680,patients,9606,Species,is with,be with,mm,MESH:D009101,Disease,"We initiated a phase II clinical trial of the DNA hypomethylating agent , azacitidine ( Aza ) administered sequentially with lenalidomide ( Rev ) in patients with MM ."
20350512,blood pressure,MESH:D001794,Method,independently decreased mortality in,independently decrease mortality in,patients,9606,Species,"Multivariate analysis indicated that systolic blood pressure on admission , PCI , and beta - blocker therapy independently decreased mid-term mortality in these patients ."
24780250,passive immunization,MESH:D007116,Method,suggested superiority compared,suggest superiority compare,vaccines,MESH:D014612,Vaccine,"Passive immunization with anti-L2 immune sera discriminated between the different vaccine candidates under evaluation , demonstrated the protective role of antibody and suggested the superiority of this oligomeric L2 - TLR5 agonist fusion approach compared to L1 - based vaccines in its ability to cross-protect against non-vaccine HPV types ."
22185803,hematological malignancy,MESH:D019337,Disease,is with,be with,hypertrophic pachymeningitis,MESH:D008581,Disease,"In some cases of hematological malignancy with hypertrophic pachymeningitis , dural biopsy is required to differentiate the etiology ."
2554247,fenvalerate,CHEMBL492491,Drug,prolonged time during,prolong time during,pulse,MESH:D011674,Method,( 2 ) Fenvalerate drastically prolonged the open time of single sodium channels from the normal value of 5 ms to several hundred milliseconds during a depolarizing pulse .
32333340,patients,9606,Species,is with,be with,breast cancer,MESH:D001943,Disease,The effects of adjuvant hormonotherapy on tear functions in patients with breast cancer .
2179911,patients,9606,Species,have,have,incidence,MESH:D015994,Method,"Patients in the continuous passive motion group were found to have a lower incidence of complications , especially of wound healing problems and thromboembolic disease ."
21631588,hallucinations,MESH:D006212,Disease,treated with,treat with,rivastigmine,CHEMBL636,Drug,Hallucinations treated with rivastigmine in Creutzfeldt - Jakob disease .
32579275,intraosseous infusion,MESH:D017148,DosageForm,maintain hemodynamics during,maintain hemodynamic during,shock,MESH:D012769,Disease,CONCLUSIONS : Intraosseous infusion of HbVs might be an effective initial treatment to maintain hemodynamics during acute hemorrhagic shock .
33504666,preterm birth,MESH:D047928,Disease,is contributor to,be contributor to,infant death,MESH:D066088,Disease,ABSTRACT Preterm birth ( PTB ) is the largest contributor to infant death in sub-Saharan Africa and globally .
34952578,abpa,MESH:D001229,Disease,is usually associated with,be usually associate with,respiratory diseases,MESH:D012140,Disease,BACKGROUND : Allergic bronchopulmonary aspergillosis ( ABPA ) is a bronchopulmonary disease caused by a complex hypersensitivity to Aspergillus and is usually associated with underlying respiratory diseases such as asthma or cystic fibrosis .
8899093,patients,9606,Species,receiving,receive,lansoprazole,CHEMBL480,Drug,"RESULT : The cure rate for H. pylori infection was 4.2 % in patients receiving lansoprazole alone and 38.5 % in patients receiving lansoprazole plus amoxycillin ( P < 0.01 ) for gastric ulcers , and 0 % in patients receiving lansoprazole alone and 61.9 % in patients receiving lansoprazole plus amoxycillin ( P < 0.001 ) for duodenal ulcers ."
28209749,chemotherapy,MESH:D004358,Method,is standard backbone in,be standard backbone in,patients,9606,Species,BACKGROUND : Irinotecan - based chemotherapy is a standard backbone of therapy in patients with metastatic colorectal cancer ( CRC ) or gastric cancer ( GC ) .
19647101,morbidity,MESH:D009017,Method,inflammatory disorders,inflammatory disorder,mortality,MESH:D009026,Method,"Insulin resistance , hyperglycemia , inflammatory disorders and immune dysfunction cause high morbidity and mortality in patients with severe trauma , burn injuries , or sepsis ."
