document_id,subject_str,predicate_org,predicate,object_str,text
11744942,candida albicans,was,be,common species from,RESULTS : Candida albicans was the most common isolated species from vaginal and Candida tropicalis from throat swabs .
29408796,amounts,were found,be find,while documented in three ms cases,"Increased amounts of lambda dimers were found in six MS cases ( "" lambda - type MS "" ) , while high levels of both kappa and lambda FLC ( "" mixed type MS "" ) were documented in three MS cases ."
11081531,term effects,are due,be due,modification of feature,INTERPRETATION : Our findings suggest that eosinophilic airway inflammation contributes to airflow obstruction and symptoms in some patients with COPD and that the short - term effects of prednisolone are due to modification of this feature of the inflammatory response .
8611423,we,reported,report,differences in patterns of p53 gene in breast cancers from midwest us women,"We previously reported differences in mutational patterns of the p53 gene in primary breast cancers from Midwest US Caucasian , African - American and Austrian women ."
3970121,they,however demonstrated,however demonstrate,reductions in values at measurement times compared,"However , when the same subjects were treated with timolol , they demonstrated significant ( P less than .05 ) reductions in these values at various measurement times compared with placebo and betaxolol treatments ."
7708996,nasal airway pressure,influences airway muscle in,influence airway muscle in,response to stimuli,"To determine whether nasal continuous positive airway pressure ( NCPAP ) influences airway smooth muscle in response to exogenous stimuli , we examined the effect of NCPAP on aerosolized methacholine - induced bronchoconstriction in 16 stable asthmatic patients ."
33673394,approach,relies on,rely on,extraction of radiomic features on generation,The proposed approach relies on the extraction of radiomic features from medical images and on the generation of a formal model that can be automatically checked using the model checking technique .
6705866,effects,were observed in,be observe in,class b cells,"Furthermore , suppressive antagonistic effects were observed in Class B cells ."
30064257,concomitant large vessel atheromatosis,may,may,may cause of stroke,"Concomitant large - vessel atheromatosis and cerebral small vessel disease may be the actual cause of stroke , and distinguishing between different pathophysiologic mechanisms could impose substantial diagnostic difficulties ."
10631464,therapy,be guided by,be guide by,studies,"BACKGROUND : The capacity of the polymerase chain reaction ( PCR ) to detect very low numbers of cells bearing a t ( 14 ; 18 ) translocation has led to its application in assessment of the results of treatment for follicular lymphoma , and suggestions that therapy might be guided by molecular studies ."
10572510,irradiation,is based on,be base on,reconstruction,"Conformal irradiation of brain tumours is based on the three - dimensional reconstruction of the targeted volumes and at - risk organ images , the three - dimensional calculation of the dose distribution and a treatment device ( immobilisation , beam energy , collimation , etc. ) adapted to the high precision required by the procedure ."
10710131,cell isolation procedure,was performed from,be perform from,layers of left myocardium from beagle dogs,The cell - isolation procedure was performed from the endocardial layers of left ventricular myocardium from healthy beagle dogs .
21686105,trials,test hypotheses as,test hypothesis as,approach to adenoma detection,CONCLUSION : Confirmation of the serendipitous observation of an impact of the water method on ADR provides impetus to call for randomized controlled trials to test hypotheses related to the water method as an approach to improving adenoma detection .
20006573,regulation,occurs by,occur by,dual phosphorylation of smar1,"Thus , TNFalpha mediated regulation of CD40 expression occurs by dual phosphorylation of SMAR1 and STAT1 ."
23293629,uii,play role in,play role in,pathogenesis,"By directly modulating both of these factors , UII is thought to play a central role in the pathogenesis of the MetS ."
10911488,popr,being,be,performed in department with assumption,"The aim of this project was to study how POPR is being performed in a randomly chosen academic gynecological department , with the assumption that increased awareness will facilitate the necessary changes needed to improve POPR ."
16051036,study,compared,compare,* weighted magnitude imaging for noninvasive measurement of aif,This study compared the accuracy of T ( 2 ) * - weighted magnitude and phase imaging for noninvasive measurement of the AIF in the rat aorta .
23095753,results,provide,provide,important information,These results provide important information for understanding HCV replication and pathogenesis and raised the possibility of targeting this cellular pathway to treat HCV patients .
3986665,pdgf,was,be,purified by ion exchange chromatography by molecular sieving,"Bovine PDGF was further purified by ion - exchange chromatography on DEAE - Sephadex , CM - Sephadex , and finally by molecular sieving on Sephadex G - 100 ."
30384162,non-essential metals,are,be,whereas dangerous for health,Trace metals are beneficial for health whereas non-essential metals are dangerous for the health and some are proven etiological factors for diseases including cancers and neurological disorders .
28616541,we,comprehensively assessed,comprehensively assess,range of quantitative echocardiographic parameters,We comprehensively assessed a wide range of quantitative echocardiographic parameters in a single cohort compared with same - day cardiovascular magnetic resonance ( CMR ) .
