document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
7956601,manometry,MESH:D008365,LabMethod,was useful for,be useful for,patients,9606,Species,Prolonged ambulatory manometry was useful for detection of dysmotility in patients with symptoms of LRE and impaired motility of proximal small intestine seems to be a key factor in the pathogenesis of severe LRE .
19361892,vaccination,MESH:D014611,Method,be given before,be give before,transplantation,MESH:D014180,Method,"Nonetheless , pneumococcal vaccination provides clear benefits to transplant recipients and should be given before transplantation whenever possible ."
11093010,dilatation,MESH:D004106,Method,was,be,injection,MESH:D007267,DosageForm,"Subsequently , the transient ductal dilatation was completely reversed by 3 h after the L - NAME injection ."
17428254,forestomach carcinogenesis,MESH:D013274,Disease,combined treatment with,combine treatment with,green tea,Green tea,Excipient,Combined treatment with green tea catechins and sodium nitrite selectively promotes rat forestomach carcinogenesis after initiation with N - methyl - N ' - nitro - N - nitrosoguanidine .
16170536,tumour,MESH:D009369,Disease,fractionated,fractionate,radiotherapy,MESH:D011878,Method,"Immediately after FNAB , the intraocular tumour was treated by plaque radiotherapy ( 3 patients ) or fractionated external beam radiotherapy ( 1 patient ) ."
34392517,patients,9606,Species,is with,be with,atrial fibrillation,MESH:D001281,Disease,BACKGROUND : Chronic kidney disease ( CKD ) is considered a risk factor for thromboembolicand bleeding events in patients with atrial fibrillation ( AF ) .
23371511,children,9606,Species,is with,be with,autism,MESH:D001321,Disease,The association between therapeutic horseback riding and the social communication and sensory reactions of children with autism .
34651239,surgical site infection,MESH:D013530,Disease,occurs in,occur in,patients,9606,Species,PURPOSE : Surgical site infection ( SSI ) occurs in up to 25 % of patients after elective laparotomy .
30995174,rt,MESH:D011878,Method,effective tolerated and appropriate adjuvant treatment in,effective tolerate and appropriate adjuvant treatment in,carcinoma,MESH:D002277,Disease,"Pelvic RT alone remains an effective , well - tolerated , and appropriate adjuvant treatment in high - risk early - stage endometrial carcinomas of all histologies ."
8759781,patients,9606,Species,is with,be with,disease,MESH:D004194,Disease,We identified 8 patients ( 7 with ALS and 1 with SMA ) with motor neuron disease and 6 patients with diabetic motor neuropathy who had autopsy material available .
21904101,injection site reactions,MESH:D000075662,Disease,were considered by,be consider by,patients,9606,Species,"Local injection site reactions , including swelling , redness , burning , or itching , were considered mild or moderate by the patients and resolved within 24 hours ."
18325632,leptin,Leptin,Chemical,suppresses markers in,suppress marker in,leptin,Leptin,Chemical,Increased leptin expression selectively in the hypothalamus suppresses inflammatory markers CRP and IL - 6 in leptin - deficient diabetic obese mice .
29785483,metallic nanoparticles,MESH:D053768,DosageForm,treatment,treatment,nanoshells,MESH:D057145,DosageForm,"Further , we have applied metallic nanoparticles , single metallic nanoshells and double metallic nanoshells for treatment of cancer and detection of smaller tumors ."
29987603,magnetic resonance imaging,MESH:D008279,Method,was,be,idc,MESH:D001943,Disease,Post-ablation magnetic resonance imaging ( MRI ) was compared with surgical pathology in evaluation of residual post-ablation IDC and ductal carcinoma in situ .
