document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
32801953,regression analysis,MESH:D012044,Method,identify factors at,identify factor at,confidence interval,confidence interval,Unknown,Logistic regression analysis was carried out to identify independently associated factors at a confidence interval of 95 % and a significance level of p - value less than 0.05 .
18025516,spinal injections,MESH:D007278,Method,may,may,may administered,may administered,Unknown,"After a symptomatic structure has been identified , therapeutic spinal injections may be administered as an adjunct to conservative management , especially in patients with inoperable conditions ."
33752121,relaxin,CHEMBL2107882,Drug,levels of be,level of be,adequate biomarker for ovarian cancer,adequate biomarker for ovarian cancer,Unknown,The levels of relaxin have been found to be an adequate diagnostic biomarker for ovarian cancer .
20210532,cerebral hypoperfusion,MESH:D002543,Disease,patients with,patient with,major artery occlusive disease,major artery occlusive disease,Unknown,Patients with major cerebral artery occlusive disease can suffer cerebral hypoperfusion and be at an increased risk of future strokes .
8578489,heparin,CHEMBL1909300,Chemical,are mainstay in,be mainstay in,prevention of venous thrombosis,prevention of venous thrombosis,Unknown,Heparin and oral anticoagulants are the mainstay in the primary and secondary prevention of venous thrombosis .
33622150,patients,9606,Species,underwent,undergo,survey on treatment outcomes conducted through telephone,survey on treatment outcomes conducted through telephone,Unknown,Patients underwent a survey on treatment outcomes and adverse effect conducted through telephone 12 months after their last procedure .
34956905,malignant mesothelioma,MESH:D000086002,Disease,is highly aggressive cancer with,be highly aggressive cancer with,poor prognosis,poor prognosis,Unknown,Background : Malignant mesothelioma ( MM ) is a highly aggressive cancer with a poor prognosis .
17427759,primary biliary cirrhosis,MESH:D008105,Disease,is in,be in,japan,japan,Unknown,Possible association of cytotoxic T lymphocyte antigen - 4 genetic polymorphism with liver damage of primary biliary cirrhosis in Japan .
8044951,thrombolytic therapy,MESH:D015912,Method,have,have,impact in dilation,impact in dilation,Unknown,Thrombolytic therapy and late vessel patency thus have an additive and complementary impact in reducing ventricular dilation after myocardial infarction .
32579275,rbcs,CHEMBL2108195,Drug,were,be,transfused,transfused,Unknown,"Immediately thereafter , 12 mL / kg of HbVs , 5 % human serum albumin ( HSA ) , autologous whole blood ( WB ) , stored red blood cells ( RBCs ) or 36 mL / kg of Lactated Ringer 's ( LR ) were intraosseously transfused , followed by an additional intraosseous transfusion with 8 mL / kg of HSA ( following HbV , HSA or stored RBC transfusion ) , or WB or 24 mL / kg of LR ( following LR transfusion ) , respectively ."
12166356,patient,9606,Species,was,be,woman in month of her pregnancy with hyperplasia,woman in month of her pregnancy with hyperplasia,Unknown,"The patient was a 26 - year - old woman in the fourth month of her second pregnancy , with generalized gingival hyperplasia affecting both buccal and lingual aspects of the maxilla and mandible ."
