document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
1980551,second doctor,http://www.wikidata.org/entity/Q2063885,Person,is incarnation of,be incarnation of,doctor,http://www.wikidata.org/entity/Q4618975,Profession,"The Second Doctor is an incarnation of the Doctor , the protagonist of the BBC science fiction television series "" Doctor Who "" ."
206211,summers,Summers,PERSON,serving as,serve as,director,http://www.wikidata.org/entity/Q5280518,Profession,"Summers rejoined public service during the Obama administration , serving as the Director of the White House United States National Economic Council for President Barack Obama from January 2009 until November 2010 , where he emerged as a key economic decision - maker in the Obama administration 's response to the Great Recession ."
22667945,twiggs,Twiggs,ORG,was,be,director,http://www.wikidata.org/entity/Q1162163,Profession,"From 1985 to 1994 , Twiggs was the director of the Weber State University Center for Aerospace Technology ."
163036,richardson,Richardson,PERSON,was nominated for,be nominate for,heiress,Heiress,PERSON,"Richardson was twice nominated for the Academy Award for Best Supporting Actor , first for "" The Heiress "" ( 1949 ) and again ( posthumously ) for his final film , "" "" ( 1984 ) ."
7732,xavier,Xavier,PERSON,is reunited with,be reunite with,x-men,X-Men,EVENT,"Xavier breaks free from imprisonment by Warskrull Prime , and is reunited with the X-Men ."
12829833,parnas,Parnas,PERSON,was evacuated deeper after,be evacuate deeper after,invasion,http://www.wikidata.org/entity/Q467011,Award,"In 1941 , after the German invasion of the Soviet Union , Parnas was evacuated deeper into the USSR and remained there for the rest of his life ."
67805449,huntoon,Huntoon,PERSON,join george washington university as,join george washington university as,executive,http://www.wikidata.org/entity/Q978044,Profession,Huntoon left NASA in 1998 to join George Washington University as an Executive in Residence in its Project Management Program .
163036,richardson,Richardson,ORG,was nominated for,be nominate for,heiress,Heiress,PERSON,"Richardson was twice nominated for the Academy Award for Best Supporting Actor , first for "" The Heiress "" ( 1949 ) and again ( posthumously ) for his final film , "" "" ( 1984 ) ."
7732,xavier,Xavier,PERSON,learned arts according,learn art accord,magneto,Magneto,FAC,"During his travels in Asia , Xavier learned martial arts , acquiring "" refined combat skills "" according to Magneto ."
58288782,emma maria frans,Emma Maria Frans,PERSON,is,be,postdoctoral researcher,http://www.wikidata.org/entity/Q1125292,Profession,"Emma Maria Frans ( born 16 December 1981 in Uppsala , Sweden ) is a postdoctoral researcher in medical epidemiology at Karolinska Institutet in Stockholm and well - known science communicator in Sweden ."
1130,avicenna,Avicenna,GPE,was schooled in,be school in,quran,Quran,WORK_OF_ART,"Avicenna was first schooled in the Quran and literature , and by the age of 10 , he had memorised the entire Quran ."
703266,beyonders,Beyonders,ORG,placed life on,place life on,counter-earth,Counter-Earth,LOC,"For unknown reasons , the Beyonders placed all life on Counter-Earth into stasis and later allowed the planet to be destroyed during the Infinity Gauntlet conflict , although they could easily have prevented it ."
1080745,tonegawa,Tonegawa,PERSON,served as,serve as,director,http://www.wikidata.org/entity/Q2493761,Profession,Tonegawa also served as Director of the RIKEN Brain Science Institute from 2009 to 2017 .
206211,shleifer,Shleifer,ORG,was,be,responsible,http://www.wikidata.org/entity/Q3933467,Profession,Shleifer was also responsible for paying $ 2 million worth of damages .
181510,young,Young,PERSON,served as,serve as,pastor,http://www.wikidata.org/entity/Q352507,Profession,"Young served as a pastor of the Evergreen Congregational Church in Beachton , Georgia , from 1957 to 1959 ."
56181983,moncrieff,Moncrieff,PERSON,worked on,work on,home office,Home Office,ORG,"During his long career , Moncrieff worked on several Home Office and Ministry of Health committees ."
50913828,fanta,Fanta,ORG,was part for,be part for,25 years,25 years,DATE,"Fanta was part of the Brazilian Antarctic programme for 25 years , since its inception in 1983 ."
233350,finsen,Finsen,PERSON,married,marry,ingeborg balslev,Ingeborg Balslev,PERSON,Finsen married Ingeborg Balslev ( 1868 – 1963 ) on 29 December 1892 .
14907770,years,years,DATE,computers,computer,decades,decades,DATE,"With computers , this work of increasing musical perfection could span years , decades , and even centuries ."
3229591,mikoviny,Mikoviny,ORG,became,become,director,http://www.wikidata.org/entity/Q5280518,Profession,Mikoviny became the director and the first professor .
18436744,henrik iskov christensen,http://www.wikidata.org/entity/Q5716320,Person,professor of,professor of,computer science,Computer Science,ORG,"Henrik Iskov Christensen ( born July 16 , 1962 in Frederikshavn , Denmark ) is a Danish roboticist and Professor of Computer Science at Dept. of Computer Science and Engineering , at the UC San Diego Jacobs School of Engineering ."
58755477,wegelin,Wegelin,GPE,succeeded langhans as,succeed langhans as,director,http://www.wikidata.org/entity/Q5280518,Profession,"Though seven years younger than Getzowa , Wegelin succeeded Langhans as director of the Anatomical institute ."
47972968,barry,Barry,PERSON,tosses in,toss in,thawne,Thawne,ORG,"Barry tosses Thawne in and Jay activates the device , severing his connection to the negative Speed Force ."
47497,quicksilver,Quicksilver,PERSON,entered,enter,latveria,Latveria,PERSON,"During the 1960s , Doom attempted to recruit Spider - Man into joining forces with him , and he came into conflict with the Avengers when Quicksilver and Scarlet Witch illegally entered Latveria to find a long - lost relative of theirs ."
2038120,folkman,Folkman,PERSON,was appointed julia dyckman andrus professor at,be appoint julia dyckman andrus professor at,harvard medical school,Harvard Medical School,ORG,"Folkman was appointed the Julia Dyckman Andrus Professor of Pediatric Surgery at Harvard Medical School in 1968 , where he was also Professor of Cell Biology ."
7732,exodus,Exodus,WORK_OF_ART,confronts,confront,magneto,Magneto,PRODUCT,"Later , Exodus confronts Magneto about Joanna Cargill 's injury ( Magneto was forced to shoot a laser through her eyeball in order to prevent her attempted an assassination of Xavier ) ."
59028382,larkin,Larkin,ORG,was awarded researcher by,be award researcher by,university,http://www.wikidata.org/entity/Q917874,Language,"In 2016 Larkin was awarded the "" Researcher of the Year "" by University of Manchester ."
39890006,shesteryuk,Shesteryuk,PERSON,was,be,professor,http://www.wikidata.org/entity/Q37226,Profession,"Shesteryuk started to work in the position of Assistant of the Department of Land and Collective Farm Law of Leningrad State University and was Associate Professor of the department from June 1 , 1981 , to January 23 , 1993 ."
301515,einsteins,http://www.wikidata.org/entity/Q937,Person,planned holiday in,plan holiday in,august,August,DATE,In August the Einsteins planned a walking holiday with their sons and Marie Curie and her two daughters .
27302119,aquaman,Aquaman,PERSON,defeats,defeat,ocean master,Ocean Master,PRODUCT,"When Aquaman defeats Ocean Master and the deceived Atlantean soldiers , Vulko surrenders and confesses to wanting his life back in Atlantis ."
44669,arago,Arago,GPE,was appointed,be appoint,director,http://www.wikidata.org/entity/Q2493761,Profession,"In 1830 , Arago also was appointed director of the Observatory , and as a member of the chamber of deputies he was able to obtain grants of money for rebuilding it in part , and for the addition of magnificent instruments ."
40525317,muller,Muller,PERSON,appear on,appear on,catalyst,Catalyst,WORK_OF_ART,"Since 2011 , Muller has continued to appear on "" Catalyst "" , reporting scientific stories from around the globe , and on Australian television network Ten as the ' Why Guy ' on the "" Breakfast "" program ."
16559,claremont,Claremont,PERSON,remove,remove,phoenix,Phoenix,GPE,"Byrne worked with Claremont to effectively remove Phoenix from the storyline , initially by removing her powers ."
45003829,groom,Groom,PERSON,became,become,lecturer,http://www.wikidata.org/entity/Q1553123,Profession,"Groom became a lecturer in English at the University of Exeter in 1994 , a Senior Lecturer in Post-Medieval Literature at the University of Bristol in 2000 and Reader in English Literature at the University of Bristol in 2003 ."
37388232,lydia pasternak,Lydia Pasternak,PERSON,was born in,be bear in,moscow,Moscow,GPE,"Lydia Pasternak was born in Moscow , then the capital of the Russian Empire , the daughter of the Russian impressionist painter Leonid Pasternak and of Rozalia Isodorovna Kofman , a concert pianist ."
