document_id,subject_str,predicate_org,predicate,object_str,text
31468,his principles,of integrity is,of integrity be,his sweetness,"The spotless integrity of his principles , the equity and candour of his nature , his sweetness of temper , urbanity of manners and tenderness of heart , his benevolence and his piety are still dearer recollections of his family and friends ."
46279817,her research,was published in,be publish in,august 1957,"Her research was published in August 1957 , followed and confirmed by Hans Weil - Malherbe in November 1957 ."
67361767,variations,are found to,be find to,day,"To this day , variations of this algorithm are found in incremental version control systems , wiki engines , and molecular phylogenetics research software ."
155525,abbot,taken in,take in,prussia,"During the spring of the following year , in the course of the First Silesian War , the abbot , Antonin Nolbek , was arrested by the forces of the Kingdom of Prussia and taken to a prison in Prussia ."
13379670,hamilton,began,begin,writing about wyly in 1970s,Hamilton began writing about Wyly in software journals in the 1970s .
48886233,digital theories,expands,expand,century intercultural communication theories,"Shuter founded intercultural new media studies ( INMS ) , a communication sub-discipline which explores how new media technologies affect intercultural communication and “ investigates new digital theories of intercultural contact as well as refines and expands twentieth - century intercultural communication theories , examining their salience in a digital world . ”"
31267785,committee,confidence in,confidence in,presbytery,Indicating that the committee lacked confidence in the Western Presbytery with regard to this matter .
47972968,thawne,is,be,after killed by reality 's batman,"After Thawne is killed by this reality 's Batman with a sword stab through the chest , the Flash travels back in time to stop Barry 's younger self from altering history but instead , under Pandora 's manipulations , a third , new timeline is created , in which DC Comics ' continuity takes place from 2011 onward ."
62070,joliot curie,actively involved in,actively involve in,promoting women 's education serving on national committee,"Joliot - Curie became actively involved in promoting women 's education , serving on the National Committee of the Union of French Women ( "" Comité National de l'Union des Femmes Françaises "" ) and the World Peace Council ."
10315,deviations,are,be,made,"In a "" wide - band "" FM system , the deviations of the carrier frequency are made to be much larger in magnitude than the frequency of the audio signal ; this can be shown to provide better noise rejection ."
2995870,gp,is in,be in,norfolk,"Manson 's great - grandson Dr Gordon Manson - Bahr was a GP in Norfolk , UK for most of his medical career and his great - great grandson Dr David Manson - Bahr is a urologist in London ."
60539479,he,has,have,has researcher on chemistry of atmosphere with focus,"He has been a leading researcher on the chemistry of the atmosphere with special focus on stratospheric ozone depletion , climate change , and air quality ."
54865883,yaalon,received,receive,award of history of science society,"In 2000 , Yaalon received the Sarton Medal , the top award of the History of Science Society , from Ghent University in Belgium for outstanding contribution to the History of Soil Science ."
16559,phoenix force,seems in,seem in,certain incarnations acting as dark phoenix seemed,"The Phoenix Force also seems to render its host unaging and , at least in some adaptations , enhances the physical strength of its avatar to superhuman levels ; in certain incarnations , Jean , namely while acting as Dark Phoenix , seemed to possess some level of superhuman strength ."
14907770,walker,extended,extend,work,"Clynes and Walker extended this work in a research trip to central Australia , to the Yuendumu Reservation , to test if Aborigines would recognize emotions expressed by touch of white urban dwellers when transformed into sounds that conserved the dynamic shape of the touch ."
65844951,hung,has spoke in,have speak in,access to knowledge,"In addition to promoting greater access to scientific knowledge aside from her work in translation and education , Hung has also spoke at a numerous talks and lectures discussing her work ."
615022,40 domestic experiments,is in,be in,fluid dynamics,"He was also the mission scientist for Spacelab J ( STS - 47 ) coordinating more than 40 domestic and Japanese experiments in fluid dynamics , crystal growth , and life science during the 8 - day mission ."
21318911,papalexis,form,form,tremont foods to market,"Geisler and Papalexis partnered to form their own company , called Tremont Foods , to market and make the new red onion sauce ."
