document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
7713110,griff,Griff,PERSON,is,be,official,http://www.wikidata.org/entity/Q3502546,Profession,"Also , the griffin is the official mascot of Maria Clara High School , known as the Blue Griffins in PobCaRan cluster of Caloocan , Philippines , which excels in cheerleading ."
28957129,logue,Logue,ORG,became,become,speech therapist,http://www.wikidata.org/entity/Q11762416,Profession,Logue became a founding fellow of the Royal College of Speech and Language Therapists in 1944 .
215430,pupin,Pupin,PERSON,was,be,march,http://www.wikidata.org/entity/Q611694,Award,"Pupin was a founding member of National Advisory Committee for Aeronautics ( NACA ) on 3 March 1915 , which later became NASA , and he participated in the founding of American Mathematical Society and American Physical Society ."
56991643,pamir,Pamir,NORP,is in,be in,pamirs,Pamirs,ORG,"On his initiative , being at the same time the chairman of the Pamir scientific research base and a Member of the Presidium of the Academy of Sciences of the Tajik SSR , the Department of Pamir Studies from the Rudaki Institute of Language and Literature was relocated to Khorog from Dushanbe ; the Department of Social and Economic Research of the Pamir Research Base in the Pamirs was established , later on the basis of these two departments after his death ( 11/27/1990 ) , in 1991 the Institute of Humanities in the Pamirs was established Death ."
56851742,clifford f. mass,Clifford F. Mass,PERSON,is,be,american,American,NORP,Clifford F. Mass is an American professor of Atmospheric Sciences at the University of Washington .
39338078,dreger,Dreger,PERSON,has,have,ted talks,TED Talks,ORG,Dreger has been a featured speaker at TED Talks .
4031,farrell,Farrell,PERSON,during,during,bear island,Bear Island,LOC,"He was described as "" tireless "" by Barry Farrell in "" Life "" magazine , who noted that Fuller stayed up all night replying to mail during Farrell 's 1970 trip to Bear Island ."
26564559,steven moffat,Steven Moffat,PERSON,in,in,doctor,Doctor,PERSON,"In Steven Moffat 's Ninth Doctor short story "" ' What I Did on My Christmas Holidays ' by Sally Sparrow "" the Doctor and the TARDIS are inadvertently separated twenty years in time by a fault in the time machine and the Doctor is able to instruct Sally how to bring it back to him in the past ."
412419,captain,http://www.wikidata.org/entity/Q849424,Profession,has,have,comic,http://www.wikidata.org/entity/Q245068,Profession,"This has included Captain Britain 's first original appearance in UK comics in thirteen years , with a story that ran in "" Spectacular Spider - Man Adventures "" and Panini plan to have more in their new all - ages title "" Marvel Heroes "" ."
902,atomic,http://www.wikidata.org/entity/Q652,Language,forms,form,range,http://www.wikidata.org/entity/Q3913345,Language,This atomic matter forms networked arrangements that lack the particular type of small - scale interrupted order associated with molecular matter .
53277860,lian pin koh,http://www.wikidata.org/entity/Q23670480,Person,is,be,singaporean,Singaporean,NORP,Lian Pin Koh ( born 1976 in Singapore ) is a Singaporean conservation scientist .
756418,luzkhov,Luzkhov,PERSON,died in,die in,munich,Munich,GPE,"Luzkhov died on 10 December 2019 in Munich , Germany at the Klinikum der Universität München where he underwent invasive heart surgery ."
30873261,snouck,Snouck,ORG,was examined by,be examine by,scholar,http://www.wikidata.org/entity/Q2248623,Profession,"Snouck , who was fluent in Arabic , through mediation with the Ottoman governor in Jeddah , was examined by a delegation of scholars from Mecca in 1884 and , upon successfully completion of the examination , was allowed to commence a pilgrimage to the Holy Muslim city of Mecca in 1885 ."
