document_id,subject_str,predicate_org,predicate,object_str,text
20060001,workplace behaviour,was prepared,be prepare,in the context of the research project Performance Management Policies,"This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies ."
20060001,performance incentives,was prepared,be prepare,in the context of the research project Performance Management Policies,"This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies ."
20060001,This Discussion Paper,presents,present,a literature review about performance incentives,"This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies ."
20060001,This Discussion Paper,presents,present,a literature review about workplace behaviour,"This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies ."
20060002,performance incentives,was conducted,be conduct,in the context of the research project Performance Policy in International Comparison at the WZB,"This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB ."
20060002,performance behavior,was conducted,be conduct,in the context of the research project Performance Policy in International Comparison at the WZB,"This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB ."
20060002,This Discussion Paper,presents,present,a literature review on the topic of performance incentives,"This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB ."
20060002,This Discussion Paper,presents,present,a literature review on the topic of performance behavior,"This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB ."
20060012,The literature study,has,have,two goals,The literature study has two goals .
20060021,The literature review,has,have,two main goals,The literature review has two main goals .
20060022,it,compares,compare,theories from economics First,"First , it compares theories and research approaches from economics , psychology , and sociology ."
20060022,it,compares,compare,research approaches from economics First,"First , it compares theories and research approaches from economics , psychology , and sociology ."
20060022,it,compares,compare,theories from sociology First,"First , it compares theories and research approaches from economics , psychology , and sociology ."
20060022,it,compares,compare,research approaches from sociology First,"First , it compares theories and research approaches from economics , psychology , and sociology ."
20060022,it,compares,compare,theories from psychology First,"First , it compares theories and research approaches from economics , psychology , and sociology ."
20060031,The first goal,is,be,to discuss the different theoretical perspectives from economics,"The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology ."
20060031,The first goal,is,be,to compare the different theoretical perspectives from economics,"The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology ."
20060031,The first goal,is,be,to discuss the different theoretical perspectives from sociology,"The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology ."
20060031,The first goal,is,be,to compare the different theoretical perspectives from sociology,"The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology ."
20060031,The first goal,is,be,to discuss the different theoretical perspectives from psychology,"The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology ."
