document id	subject	predicate	predicate lemmatized	object	confidence	sentence
20060001	workplace behaviour	 was prepared	  be prepare	in the context of the research project Performance Management Policies	0.89	This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies .
20060001	performance incentives	 was prepared	  be prepare	in the context of the research project Performance Management Policies	0.62	This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies .
20060001	This Discussion Paper	 presents	  present	a literature review about performance incentives	0.49	This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies .
20060001	This Discussion Paper	 presents	  present	a literature review about workplace behaviour	0.36	This Discussion Paper presents a literature review about performance incentives and workplace behaviour , which was prepared in the context of the research project Performance Management Policies .
20060002	performance incentives	 was conducted	  be conduct	in the context of the research project Performance Policy in International Comparison at the WZB	0.71	This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB .
20060002	performance behavior	 was conducted	  be conduct	in the context of the research project Performance Policy in International Comparison at the WZB	0.61	This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB .
20060002	This Discussion Paper	 presents	  present	a literature review on the topic of performance incentives	0.57	This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB .
20060002	This Discussion Paper	 presents	  present	a literature review on the topic of performance behavior	0.44	This Discussion Paper presents a literature review on the topic of performance incentives and performance behavior , which was conducted in the context of the research project Performance Policy in International Comparison at the WZB .
20060012	The literature study	 has	  have	two goals	1.00	The literature study has two goals .
20060021	The literature review	 has	  have	two main goals	1.00	The literature review has two main goals .
20060022	it	 compares	  compare	theories from economics First	0.12	First , it compares theories and research approaches from economics , psychology , and sociology .
20060022	it	 compares	  compare	research approaches from economics First	0.07	First , it compares theories and research approaches from economics , psychology , and sociology .
20060022	it	 compares	  compare	theories from sociology First	0.06	First , it compares theories and research approaches from economics , psychology , and sociology .
20060022	it	 compares	  compare	research approaches from sociology First	0.04	First , it compares theories and research approaches from economics , psychology , and sociology .
20060022	it	 compares	  compare	theories from psychology First	0.02	First , it compares theories and research approaches from economics , psychology , and sociology .
20060031	The first goal	 is	  be	to discuss the different theoretical perspectives from economics	0.39	The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology .
20060031	The first goal	 is	  be	to compare the different theoretical perspectives from economics	0.30	The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology .
20060031	The first goal	 is	  be	to discuss the different theoretical perspectives from sociology	0.23	The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology .
20060031	The first goal	 is	  be	to compare the different theoretical perspectives from sociology	0.17	The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology .
20060031	The first goal	 is	  be	to discuss the different theoretical perspectives from psychology	0.10	The first goal is to compare and discuss the different theoretical perspectives from economics , psychology and sociology .
20060032	it	 examines	  examine	the role that the research disciplines assign to cultural factors with regard to performance behavior	0.56	Second , it examines the role that the research disciplines assign to cultural factors with regard to performance behavior and the design of performance incentives .
20060032	it	 examines	  examine	the role that the research disciplines assign to cultural factors with regard to the design of performance incentives	0.52	Second , it examines the role that the research disciplines assign to cultural factors with regard to performance behavior and the design of performance incentives .
20060032	the research disciplines	 assign	  assign	to cultural factors with regard to the design of performance incentives the role	0.30	Second , it examines the role that the research disciplines assign to cultural factors with regard to performance behavior and the design of performance incentives .
20060032	the research disciplines	 assign	  assign	to cultural factors with regard to performance behavior the role	0.06	Second , it examines the role that the research disciplines assign to cultural factors with regard to performance behavior and the design of performance incentives .
20060041	The second goal	 is	  be	to compare the three disciplines	0.96	The second goal is to compare the three disciplines regarding their understanding of culture and the importance of cultural factors for the analysis of workplace behavior and performance incentives .
20060041	the three disciplines	 regarding	  regard	their understanding of culture	0.57	The second goal is to compare the three disciplines regarding their understanding of culture and the importance of cultural factors for the analysis of workplace behavior and performance incentives .
20060041	The second goal	 is	  be	to compare the three disciplines regarding the importance of cultural factors for the analysis of workplace behavior	0.37	The second goal is to compare the three disciplines regarding their understanding of culture and the importance of cultural factors for the analysis of workplace behavior and performance incentives .
20060041	the three disciplines	 regarding	  regard	the importance of cultural factors for the analysis of workplace behavior	0.36	The second goal is to compare the three disciplines regarding their understanding of culture and the importance of cultural factors for the analysis of workplace behavior and performance incentives .
20060041	The second goal	 is	  be	to compare the three disciplines regarding the importance of cultural factors for the analysis of performance incentives	0.37	The second goal is to compare the three disciplines regarding their understanding of culture and the importance of cultural factors for the analysis of workplace behavior and performance incentives .
20060041	the three disciplines	 regarding	  regard	the importance of cultural factors for the analysis of performance incentives	0.31	The second goal is to compare the three disciplines regarding their understanding of culture and the importance of cultural factors for the analysis of workplace behavior and performance incentives .
20060042	the agency theory of personnel economics	 are discussed	  be discuss	comparatively	0.60	In particular , the agency theory of personnel economics , the bounded rationality approaches of behavioral economics , the motivation theories of organizational psychology , and the sociological theories of social compromises at the workplace , workplace social orders , and workplace work cultures are discussed comparatively .
20060042	the sociological theories of social compromises at the workplace	 are discussed comparatively	  be discuss comparatively		0.48	In particular , the agency theory of personnel economics , the bounded rationality approaches of behavioral economics , the motivation theories of organizational psychology , and the sociological theories of social compromises at the workplace , workplace social orders , and workplace work cultures are discussed comparatively .
20060042	the motivation theories of organizational psychology	 are discussed comparatively	  be discuss comparatively		0.46	In particular , the agency theory of personnel economics , the bounded rationality approaches of behavioral economics , the motivation theories of organizational psychology , and the sociological theories of social compromises at the workplace , workplace social orders , and workplace work cultures are discussed comparatively .
20060042	the bounded rationality approaches of behavioral economics	 are discussed	  be discuss	comparatively	0.45	In particular , the agency theory of personnel economics , the bounded rationality approaches of behavioral economics , the motivation theories of organizational psychology , and the sociological theories of social compromises at the workplace , workplace social orders , and workplace work cultures are discussed comparatively .
20060042	the sociological theories of workplace social orders	 are discussed comparatively	  be discuss comparatively		0.11	In particular , the agency theory of personnel economics , the bounded rationality approaches of behavioral economics , the motivation theories of organizational psychology , and the sociological theories of social compromises at the workplace , workplace social orders , and workplace work cultures are discussed comparatively .
20060051	The comparison	 includes	  include	personnel economics	0.47	The comparison includes personnel economics and agency theory , behavioral economics and their bounded rationality concepts , psychological theories of motivation , and sociological theories of social compromises at the workplace , workplace social orders and workplace cultures .
20060051	The comparison	 includes	  include	behavioral economics and their bounded rationality concepts	0.28	The comparison includes personnel economics and agency theory , behavioral economics and their bounded rationality concepts , psychological theories of motivation , and sociological theories of social compromises at the workplace , workplace social orders and workplace cultures .
20060051	The comparison	 includes	  include	psychological theories of motivation	0.16	The comparison includes personnel economics and agency theory , behavioral economics and their bounded rationality concepts , psychological theories of motivation , and sociological theories of social compromises at the workplace , workplace social orders and workplace cultures .
20060051	The comparison	 includes	  include	agency theory	0.12	The comparison includes personnel economics and agency theory , behavioral economics and their bounded rationality concepts , psychological theories of motivation , and sociological theories of social compromises at the workplace , workplace social orders and workplace cultures .
20060051	The comparison	 includes	  include	sociological theories of social compromises at the workplace	0.11	The comparison includes personnel economics and agency theory , behavioral economics and their bounded rationality concepts , psychological theories of motivation , and sociological theories of social compromises at the workplace , workplace social orders and workplace cultures .
20060052	A consensus among the disciplines	 is not	  be not	in sight	1.00	A consensus among the disciplines is not in sight .
20060061	The theoretical concepts of all three disciplines	 differ strongly	  differ strongly		0.27	The perspectives and theoretical concepts of all three disciplines differ strongly .
20060061	The perspectives of all three disciplines	 differ strongly	  differ strongly		0.19	The perspectives and theoretical concepts of all three disciplines differ strongly .
20060071	however	 are	  be	in all three disciplines similar impulses for future research questions	0.50	There are , however , in all three disciplines similar impulses for future research questions .
20060072	Behavioral economics as well as organizational psychology	 emphasize	  emphasize	the importance of framing performance incentives	0.49	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as sociology of work	 emphasize	  emphasize	the importance of framing performance incentives	0.42	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as organizational psychology	 emphasize	  emphasize	the importance of generating trust	0.26	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as sociology of work	 emphasize	  emphasize	the importance of generating trust	0.22	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as organizational psychology	 emphasize	  emphasize	the importance of creating legitimacy	0.18	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as organizational psychology	 emphasize	  emphasize	the importance of key events such as crises on	0.09	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as sociology of work	 emphasize	  emphasize	the importance of key events such as crises on	0.08	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as organizational psychology	 emphasize	  emphasize	the importance of key events such as so on	0.06	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as sociology of work	 emphasize	  emphasize	the importance of key events such as so on	0.06	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060072	Behavioral economics as well as organizational psychology	 emphasize	  emphasize	the importance of key events such as waves of layoffs on	0.03	Behavioral economics as well as organizational psychology and sociology of work emphasize the importance of framing performance incentives , generating trust , creating legitimacy , and key events such as crises , waves of layoffs , restructuring processes , and so on .
20060081	Behavioral economics	 emphasize	  emphasize	the importance of the framing of performance incentives	0.65	Behavioral economics , organizational psychology and sociology of work emphasize the importance of the framing of performance incentives , of trust and legitimacy at the workplace , and of crucial events like crises , redundancies and restructuring processes .
20060081	sociology of work	 emphasize	  emphasize	the importance of the framing of performance incentives	0.37	Behavioral economics , organizational psychology and sociology of work emphasize the importance of the framing of performance incentives , of trust and legitimacy at the workplace , and of crucial events like crises , redundancies and restructuring processes .
20060081	Behavioral economics	 emphasize	  emphasize	the importance of the framing of legitimacy at the workplace	0.36	Behavioral economics , organizational psychology and sociology of work emphasize the importance of the framing of performance incentives , of trust and legitimacy at the workplace , and of crucial events like crises , redundancies and restructuring processes .
20060081	organizational psychology	 emphasize	  emphasize	the importance of the framing of performance incentives	0.24	Behavioral economics , organizational psychology and sociology of work emphasize the importance of the framing of performance incentives , of trust and legitimacy at the workplace , and of crucial events like crises , redundancies and restructuring processes .
20060081	sociology of work	 emphasize	  emphasize	the importance of the framing of legitimacy at the workplace	0.20	Behavioral economics , organizational psychology and sociology of work emphasize the importance of the framing of performance incentives , of trust and legitimacy at the workplace , and of crucial events like crises , redundancies and restructuring processes .
20060082	They	 can lead	  can lead	to virtuous circles	0.36	They can lead to virtuous circles or spirals of distrust .
20060082	They	 can lead	  can lead	to spirals of distrust	0.29	They can lead to virtuous circles or spirals of distrust .
20060091	They	 can initiate	  can initiate	virtuous circles	0.51	They can initiate virtuous circles or self-reinforcing spirals of distrust .
20060091	They	 can initiate	  can initiate	self-reinforcing spirals of distrust	0.50	They can initiate virtuous circles or self-reinforcing spirals of distrust .
20060092	The cultural context	 influences	  influence	the development	0.96	The cultural context influences the development , but is reinforced , modified or even broken by the internal processes .
20060092	The cultural context	 is even broken	  be even break	by the internal processes	0.50	The cultural context influences the development , but is reinforced , modified or even broken by the internal processes .
20060092	The cultural context	 is reinforced	  be reinforce	by the internal processes	0.45	The cultural context influences the development , but is reinforced , modified or even broken by the internal processes .
20060092	The cultural context	 is modified	  be modify	by the internal processes	0.34	The cultural context influences the development , but is reinforced , modified or even broken by the internal processes .
20060101	The cultural context of the workplaces	 influences	  influence	the developments	1.00	The cultural context of the workplaces influences the developments .
20060102	This	 suggests	  suggest	the development of process-oriented research approaches	1.00	This suggests the development of process-oriented research approaches .
20060111	Its impact	 can be reinforced	  can be reinforce	by company-internal processes	0.44	Its impact can be reinforced , modified but also broken by company-internal processes .
20060111	Its impact	 can be broken	  can be break	by company-internal processes	0.36	Its impact can be reinforced , modified but also broken by company-internal processes .
20060111	Its impact	 can be modified	  can be modify	by company-internal processes	0.20	Its impact can be reinforced , modified but also broken by company-internal processes .
20060121	This	 suggests	  suggest	developing process-oriented research approaches	1.00	This suggests developing process-oriented research approaches .
20070001	Children from lower-educated minority families	 generally start	  generally start	primary school at a deficit	0.24	`` Children from lower-educated and/or immigrant minority families generally start primary school at a deficit .
20070001	Children from immigrant minority families	 generally start	  generally start	primary school at a deficit	0.06	`` Children from lower-educated and/or immigrant minority families generally start primary school at a deficit .
20070002	Children from educationally disadvantaged households	 have	  have	an unfavorable starting position at the beginning of their primary school years	0.87	`` Children from educationally disadvantaged households and/or immigrant children have an unfavorable starting position at the beginning of their primary school years .
20070002	Children from immigrant children	 have	  have	an unfavorable starting position at the beginning of their primary school years	0.23	`` Children from educationally disadvantaged households and/or immigrant children have an unfavorable starting position at the beginning of their primary school years .
20070011	One way of improving these children 's initial position	 is	  be	by stimulating the development of relevant abilities before the start of formal elementary education , e.g	0.46	One way of improving these children 's initial position is by stimulating the development of relevant knowledge and abilities before the start of formal elementary education , e.g . through participation in centers for preschool education .
20070011	One way of improving these children 's initial position	 is	  be	by stimulating the development of relevant knowledge before the start of formal elementary education , e.g	0.41	One way of improving these children 's initial position is by stimulating the development of relevant knowledge and abilities before the start of formal elementary education , e.g . through participation in centers for preschool education .
20070012	One of the ways to improve the starting position	 is	  be	to stimulate knowledge at preschool age	0.35	One of the ways to improve the starting position is to stimulate knowledge and skills at preschool age .
20070012	One of the ways to improve the starting position	 is	  be	to stimulate skills at preschool age	0.35	One of the ways to improve the starting position is to stimulate knowledge and skills at preschool age .
20070021	such centers	 aim	  aim	to improve the school careers of all children at risk	0.94	Although such centers aim to improve the school careers of all children at risk , it can be assumed that children differ in the extent to which they benefit from taking part .
20070021	such centers	 aim to improve	  aim to improve	the school careers of all children at risk	0.91	Although such centers aim to improve the school careers of all children at risk , it can be assumed that children differ in the extent to which they benefit from taking part .
20070021	the extent they	 benefit	  benefit	from taking part	0.50	Although such centers aim to improve the school careers of all children at risk , it can be assumed that children differ in the extent to which they benefit from taking part .
20070022	preschool education centers	 aim	  aim	to improve the school career of at-risk children	0.95	Although preschool education centers aim to improve the school career of at-risk children , it can be assumed that children differ in the extent to which they benefit from participation .
20070022	preschool education centers	 aim to improve	  aim to improve	the school career of at-risk children	0.93	Although preschool education centers aim to improve the school career of at-risk children , it can be assumed that children differ in the extent to which they benefit from participation .
20070022	the extent they	 benefit	  benefit	from participation	0.47	Although preschool education centers aim to improve the school career of at-risk children , it can be assumed that children differ in the extent to which they benefit from participation .
20070031	two variables	 are assumed to moderate	  be assume to moderate	the effectiveness of preschool center participation a study	0.47	This paper describes the results of a study , conducted in the Netherlands , in which two variables were examined that are assumed to moderate the effectiveness of preschool center participation : ( i ) the ( structural and process ) quality of centers and ( ii ) the family backgrounds of articipating children .
20070031	This paper	 describes	  describe	the results of a study , the Netherlands	0.40	This paper describes the results of a study , conducted in the Netherlands , in which two variables were examined that are assumed to moderate the effectiveness of preschool center participation : ( i ) the ( structural and process ) quality of centers and ( ii ) the family backgrounds of articipating children .
20070031	two variables	 were examined	  be examine	to moderate the effectiveness of preschool center participation a study the Netherlands	0.31	This paper describes the results of a study , conducted in the Netherlands , in which two variables were examined that are assumed to moderate the effectiveness of preschool center participation : ( i ) the ( structural and process ) quality of centers and ( ii ) the family backgrounds of articipating children .
20070031	a study two variables	 conducted	  conduct	in the Netherlands	0.24	This paper describes the results of a study , conducted in the Netherlands , in which two variables were examined that are assumed to moderate the effectiveness of preschool center participation : ( i ) the ( structural and process ) quality of centers and ( ii ) the family backgrounds of articipating children .
20070031	two variables	 were examined	  be examine	moderate the effectiveness of preschool center participation a study the Netherlands	0.19	This paper describes the results of a study , conducted in the Netherlands , in which two variables were examined that are assumed to moderate the effectiveness of preschool center participation : ( i ) the ( structural and process ) quality of centers and ( ii ) the family backgrounds of articipating children .
20070032	This paper	 describes	  describe	the results of a study in the Netherlands	0.94	This paper describes the results of a study in the Netherlands that examined two variables that are assumed to modify the effectiveness of preschool education centers : ( i ) the ( structural and procedural ) quality of the centers and ( ii ) the family background of the participating children .
20070032	two variables	 are assumed	  be assume	to modify the effectiveness of preschool education centers	0.91	This paper describes the results of a study in the Netherlands that examined two variables that are assumed to modify the effectiveness of preschool education centers : ( i ) the ( structural and procedural ) quality of the centers and ( ii ) the family background of the participating children .
20070032	two variables	 to modify	  to modify	the effectiveness of preschool education centers	0.91	This paper describes the results of a study in the Netherlands that examined two variables that are assumed to modify the effectiveness of preschool education centers : ( i ) the ( structural and procedural ) quality of the centers and ( ii ) the family background of the participating children .
20070032	a study in the Netherlands	 examined	  examine	two variables that are assumed to modify the effectiveness of preschool education centers : ( ii )	0.61	This paper describes the results of a study in the Netherlands that examined two variables that are assumed to modify the effectiveness of preschool education centers : ( i ) the ( structural and procedural ) quality of the centers and ( ii ) the family background of the participating children .
20070032	a study in the Netherlands	 examined	  examine	two variables that are assumed to modify the effectiveness of preschool education centers : ( i ) ( )	0.34	This paper describes the results of a study in the Netherlands that examined two variables that are assumed to modify the effectiveness of preschool education centers : ( i ) the ( structural and procedural ) quality of the centers and ( ii ) the family background of the participating children .
20070041	preschool center participation	 contributes	  contribute	to children 's early literacy development	0.94	The study reveals that preschool center participation contributes to children 's early literacy development but that effects fade away over time .
20070041	The study	 reveals	  reveal	that preschool center participation contributes to children 's early literacy development	0.86	The study reveals that preschool center participation contributes to children 's early literacy development but that effects fade away over time .
20070041	effects	 fade	  fade	away over time	0.46	The study reveals that preschool center participation contributes to children 's early literacy development but that effects fade away over time .
20070041	The study	 reveals	  reveal	that effects fade away over time	0.07	The study reveals that preschool center participation contributes to children 's early literacy development but that effects fade away over time .
20070042	participation in preschool education centers	 contributes	  contribute	to early literacy development	0.94	The study found that participation in preschool education centers contributes to early literacy development , but the effects diminish over time .
20070042	the effects	 diminish	  diminish	over time	0.92	The study found that participation in preschool education centers contributes to early literacy development , but the effects diminish over time .
20070042	The study	 found	  find	that participation in preschool education centers contributes to early literacy development	0.87	The study found that participation in preschool education centers contributes to early literacy development , but the effects diminish over time .
20070042	The study	 found	  find	that the effects diminish over time	0.39	The study found that participation in preschool education centers contributes to early literacy development , but the effects diminish over time .
20070051	effective-ness	 is	  be	partly dependent on the adult-child ratio	0.96	Furthermore , the study shows that effective-ness is partly dependent on the adult-child ratio and , for children from immigrant minority families , on their home language situation . '' (
20070051	the study	 shows	  show	that effective-ness is partly dependent on the adult-child ratio	0.90	Furthermore , the study shows that effective-ness is partly dependent on the adult-child ratio and , for children from immigrant minority families , on their home language situation . '' (
20070051	effective-ness	 is	  be	partly dependent for children from immigrant minority families	0.23	Furthermore , the study shows that effective-ness is partly dependent on the adult-child ratio and , for children from immigrant minority families , on their home language situation . '' (
