document_id,subject_str,predicate_org,predicate,object_str,text
30160001,a heterogeneous group of carcinomas,has advanced,have advance,in recent years,Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160001,Tumors in the neck region,include,include,a heterogeneous group of carcinomas whose treatment has advanced in recent years,Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160001,Tumors in the head region,include,include,a heterogeneous group of carcinomas whose treatment has advanced in recent years,Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160002,Tumors in the neck region,comprise,comprise,a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years,Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160002,Tumors in the head region,comprise,comprise,a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years,Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160002,carcinomas progress,has been observed,have be observe,in recent years,Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160002,heterogeneous group carcinomas therapy progress,has been observed,have be observe,in recent years,Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160021,This shift,changes,change,the understanding of the disease,"This shift changes the understanding of the disease , its therapy , and the life expectancy of those affected ."
30160021,This shift,changes,change,the life expectancy of those,"This shift changes the understanding of the disease , its therapy , and the life expectancy of those affected ."
30160021,This shift,changes,change,its therapy,"This shift changes the understanding of the disease , its therapy , and the life expectancy of those affected ."
30160022,This,changes,change,the understanding of the disease,"This changes the understanding of the disease , its therapy and the life expectancy of those affected ."
30160022,This,changes,change,the life expectancy of those,"This changes the understanding of the disease , its therapy and the life expectancy of those affected ."
30160022,This,changes,change,its therapy,"This changes the understanding of the disease , its therapy and the life expectancy of those affected ."
30160031,This work,focuses,focus,on radiation therapy,"This work focuses on radiation therapy , a treatment option with possible short- and long-term complications , and the resulting consequences for the patients ' quality of life ."
30160031,This work,focuses,focus,on the resulting consequences for the patients ' quality of life,"This work focuses on radiation therapy , a treatment option with possible short- and long-term complications , and the resulting consequences for the patients ' quality of life ."
30160032,The focus here,will be,will be,on radiation treatment,"The focus here will be on radiation treatment , a treatment option with potential short- and long-term complications and the resulting consequences for patients ' quality of life ."
30160041,which supportive measures,can be taken,can be take,after radiation therapy with the help of clinical pharmacists,"Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists ."
30160041,we,show,show,which supportive measures can be taken during radiation therapy with the help of clinical pharmacists,"Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists ."
30160041,we,show,show,which supportive measures can be taken after radiation therapy with the help of clinical pharmacists,"Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists ."
30160041,which supportive measures,can be taken,can be take,during radiation therapy with the help of clinical pharmacists,"Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists ."
30160042,which supportive measures,can be taken,can be take,after radiation treatment with the participation of clinical pharmacists,"Furthermore , it will be shown which supportive measures can be taken during and after radiation treatment with the participation of clinical pharmacists ."
30160042,which supportive measures,can be taken,can be take,during radiation treatment with the participation of clinical pharmacists,"Furthermore , it will be shown which supportive measures can be taken during and after radiation treatment with the participation of clinical pharmacists ."
30170001,Daunorubicin,has been established,have be establish,as important cornerstone in ALL- and AML-treatment since many years,Daunorubicin has been established as important cornerstone in ALL- and AML-treatment since many years .
