document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
30160001,tumors,MESH:D009369,Disease,include,include,carcinomas,MESH:D002277,Disease,Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160001,tumors,MESH:D009369,Disease,include,include,treatment,MESH:D013812,Method,Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160002,tumors,MESH:D009369,Disease,comprise,comprise,carcinomas,MESH:D002277,Disease,Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160002,tumors,MESH:D009369,Disease,comprise,comprise,therapy,MESH:D013812,Method,Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160041,measures,MESH:D014894,Method,can be taken,can be take,radiation therapy,MESH:D011878,Method,"Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists ."
30160042,measures,MESH:D014894,Method,can be taken,can be take,radiation treatment,MESH:D011878,Method,"Furthermore , it will be shown which supportive measures can be taken during and after radiation treatment with the participation of clinical pharmacists ."
30170002,daunorubicin,CHEMBL178,Drug,has been,have be,treatment,MESH:D013812,Method,The anthracycline daunorubicin has been an integral part of ALL and AML treatment for many years .
30170031,leukemia,MESH:D007938,Disease,may receive,may receive,daunorubicin,CHEMBL178,Drug,"As a consequence , a leukemia patient may receive daunorubicin full dose in the US , and 50 % of curative dose in Germany in case of e.g . GFR 43 ml/min ."
30180001,infections,MESH:D007239,Disease,involving,involve,strains,MESH:D013180,Disease,Vancomycin ( VAN ) is an established treatment option for infections involving methicillin-resistant Staphylococcus aureus strains ( MRSA ) .
30180001,vancomycin,CHEMBL262777,Drug,is,be,treatment,MESH:D013812,Method,Vancomycin ( VAN ) is an established treatment option for infections involving methicillin-resistant Staphylococcus aureus strains ( MRSA ) .
30180001,vancomycin,CHEMBL262777,Drug,is,be,infections,MESH:D007239,Disease,Vancomycin ( VAN ) is an established treatment option for infections involving methicillin-resistant Staphylococcus aureus strains ( MRSA ) .
30180002,vancomycin,CHEMBL262777,Drug,is,be,therapeutic,MESH:D013812,Method,Vancomycin ( VAN ) is an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains .
30180002,vancomycin,CHEMBL262777,Drug,is,be,infections,MESH:D007239,Disease,Vancomycin ( VAN ) is an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains .
30180002,vancomycin,CHEMBL262777,Drug,is,be,strains,MESH:D013180,Disease,Vancomycin ( VAN ) is an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains .
30180041,impact,CHEMBL2272076,Drug,ranges,range,treatment,MESH:D013812,Method,"Using the data of 1122 patients from the years 1990 to 2011 , we investigated the impact of dose regimens and patient characteristics on the attainment of the newly defined target ranges until day 3 and later in the course of treatment ."
30190001,ceftazidime,CHEMBL44354,Drug,are commonly used,be commonly use,antibiotics,CHEMBL606111,Drug,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,ceftazidime,CHEMBL44354,Drug,are commonly used,be commonly use,intensive care,MESH:D003422,Method,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,meropenem,CHEMBL127,Drug,are commonly used,be commonly use,antibiotics,CHEMBL606111,Drug,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,meropenem,CHEMBL127,Drug,are commonly used,be commonly use,intensive care,MESH:D003422,Method,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,piperacillin,CHEMBL1200820,Drug,are commonly used,be commonly use,antibiotics,CHEMBL606111,Drug,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,piperacillin,CHEMBL1200820,Drug,are commonly used,be commonly use,intensive care,MESH:D003422,Method,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,piperacillin,CHEMBL702,Drug,are commonly used,be commonly use,antibiotics,CHEMBL606111,Drug,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,piperacillin,CHEMBL702,Drug,are commonly used,be commonly use,intensive care,MESH:D003422,Method,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190002,antibiotics,CHEMBL606111,Drug,are used,be use,intensive care,MESH:D003422,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,antibiotics,CHEMBL606111,Drug,are used,be use,treatment,MESH:D013812,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,antibiotics,CHEMBL606111,Drug,are used,be use,infectious diseases,MESH:D003141,Disease,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,meropenem,CHEMBL127,Drug,are used,be use,intensive care,MESH:D003422,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,meropenem,CHEMBL127,Drug,are used,be use,treatment,MESH:D013812,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,meropenem,CHEMBL127,Drug,are used,be use,infectious diseases,MESH:D003141,Disease,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,ceftazidime,CHEMBL44354,Drug,are used,be use,intensive care,MESH:D003422,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,ceftazidime,CHEMBL44354,Drug,are used,be use,treatment,MESH:D013812,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,ceftazidime,CHEMBL44354,Drug,are used,be use,infectious diseases,MESH:D003141,Disease,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,piperacillin,CHEMBL1200820,Drug,are used,be use,intensive care,MESH:D003422,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
30190002,piperacillin,CHEMBL1200820,Drug,are used,be use,treatment,MESH:D013812,Method,"The beta-lactam antibiotics meropenem , piperacillin , and ceftazidime are used in intensive care for the treatment of life-threatening bacterial infectious diseases due to their broad spectrum of activity ."
