document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
30170001,daunorubicin,CHEMBL178,Drug,has been established,have be establish,as important cornerstone in ALL- and AML-treatment since many years,as important cornerstone in ALL- and AML-treatment since many years,Unknown,Daunorubicin has been established as important cornerstone in ALL- and AML-treatment since many years .
30180001,infections,MESH:D007239,Disease,involving,involve,methicillin-resistant Staphylococcus aureus strains,methicillin-resistant Staphylococcus aureus strains,Unknown,Vancomycin ( VAN ) is an established treatment option for infections involving methicillin-resistant Staphylococcus aureus strains ( MRSA ) .
30180001,vancomycin,CHEMBL262777,Drug,is,be,an established treatment option for infections,an established treatment option for infections,Unknown,Vancomycin ( VAN ) is an established treatment option for infections involving methicillin-resistant Staphylococcus aureus strains ( MRSA ) .
30180002,vancomycin,CHEMBL262777,Drug,is,be,an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains,an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains,Unknown,Vancomycin ( VAN ) is an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains .
30190001,ceftazidime,CHEMBL44354,Drug,are commonly used,be commonly use,broad spectrum beta-lactam antibiotics in intensive care units,broad spectrum beta-lactam antibiotics in intensive care units,Unknown,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,meropenem,CHEMBL127,Drug,are commonly used,be commonly use,broad spectrum beta-lactam antibiotics in intensive care units,broad spectrum beta-lactam antibiotics in intensive care units,Unknown,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,piperacillin,CHEMBL1200820,Drug,are commonly used,be commonly use,broad spectrum beta-lactam antibiotics in intensive care units,broad spectrum beta-lactam antibiotics in intensive care units,Unknown,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190001,piperacillin,CHEMBL702,Drug,are commonly used,be commonly use,broad spectrum beta-lactam antibiotics in intensive care units,broad spectrum beta-lactam antibiotics in intensive care units,Unknown,"Meropenem , piperacillin and ceftazidime are commonly used broad spectrum beta-lactam antibiotics in intensive care units ."
30190051,protein,Proteins,Excipient,was precipitated,be precipitate,Afterwards,Afterwards,Unknown,Afterwards protein was precipitated using acetonitrile/methanol ( 1:1 ) .
30200002,bacterial infections,MESH:D001424,Disease,are,be,antibiotics no longer effective,antibiotics no longer effective,Unknown,The frequency of bacterial infections for which antibiotics are no longer effective is increasing worldwide due to the development of resistance in pathogens .
30210022,cell cultures,MESH:D018929,LabMethod,were infected,be infect,with SARS-CoV-2 At the Fraunhofer Institute for Cell Therapy,with SARS-CoV-2 At the Fraunhofer Institute for Cell Therapy,Unknown,"At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units ."
30210022,cell cultures,MESH:D018929,LabMethod,using,use,Cystus Pandalis® extract,Cystus Pandalis® extract,Unknown,"At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units ."
30210022,cell cultures,MESH:D018929,LabMethod,were infected,be infect,with SARS-CoV-2 using Cystus Pandalis® At the Fraunhofer Institute for Immunology,with SARS-CoV-2 using Cystus Pandalis® At the Fraunhofer Institute for Immunology,Unknown,"At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures were infected with SARS-CoV-2 using Cystus Pandalis® extract ( CPE ) , and the reduction in infection rate was evaluated by comparing foci-forming units ."
30210031,cell cultures,MESH:D018929,LabMethod,treated,treat,with Cystus Pandalis® extract,with Cystus Pandalis® extract,Unknown,"At the Fraunhofer Institute for Cell Therapy and Immunology ( IZI ) , cell cultures treated with Cystus Pandalis® extract were infected with SARS-CoV-2 , and the reduction in the infection rate was evaluated by comparing focus-forming units ."
30230021,methylamine,CHEMBL43280,Drug,forming,form,the hemiaminale,the hemiaminale,Unknown,It has been found that the foregoing reaction of 4-chlorobenzaldehyde with methylamine forming the hemiaminale and the subsequent addition of β-mercaptopropionic acid leads to a remarkable better yield ( 67 % of th . )
30230032,methylamine,CHEMBL43280,Drug,reacts,react,with β-mercaptopropionic acid then,with β-mercaptopropionic acid then,Unknown,"of 2 is obtained when the half-aminal is first formed from 4-chlorobenzaldehyde and methylamine , which then reacts with β-mercaptopropionic acid , than when the reverse is added via the half-mercaptal ( 42 % d.th . ) ."
30230042,sodium perborate,CHEMBL3707333,Excipient,is,be,clearly superior to potassium permanganate as an oxidizing agent,clearly superior to potassium permanganate as an oxidizing agent,Unknown,Sodium perborate is clearly superior to potassium permanganate as an oxidizing agent .
30230042,sodium perborate,CHEMBL3707333,Excipient,to,to,potassium permanganate as an oxidizing agent,potassium permanganate as an oxidizing agent,Unknown,Sodium perborate is clearly superior to potassium permanganate as an oxidizing agent .
