document id	subject	predicate	predicate lemmatized	object	confidence	sentence
30160001	a heterogeneous group of carcinomas	 has advanced	  have advance	in recent years	0.94	Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160001	Tumors in the neck region	 include	  include	a heterogeneous group of carcinomas whose treatment has advanced in recent years	0.58	Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160001	Tumors in the head region	 include	  include	a heterogeneous group of carcinomas whose treatment has advanced in recent years	0.45	Tumors in the head and neck region include a heterogeneous group of carcinomas whose treatment has advanced in recent years .
30160002	Tumors in the neck region	 comprise	  comprise	a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years	0.66	Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160002	Tumors in the head region	 comprise	  comprise	a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years	0.53	Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160002	carcinomas progress	 has been observed	  have be observe	in recent years	0.23	Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160002	heterogeneous group carcinomas therapy progress	 has been observed	  have be observe	in recent years	0.18	Tumors in the head and neck region comprise a heterogeneous group of carcinomas for whose therapy progress has been observed in recent years .
30160021	those	 affected	  affect		0.92	This shift changes the understanding of the disease , its therapy , and the life expectancy of those affected .
30160021	This shift	 changes	  change	the understanding of the disease	0.40	This shift changes the understanding of the disease , its therapy , and the life expectancy of those affected .
30160021	This shift	 changes	  change	the life expectancy of those	0.39	This shift changes the understanding of the disease , its therapy , and the life expectancy of those affected .
30160021	This shift	 changes	  change	its therapy	0.04	This shift changes the understanding of the disease , its therapy , and the life expectancy of those affected .
30160022	those	 affected	  affect		0.92	This changes the understanding of the disease , its therapy and the life expectancy of those affected .
30160022	This	 changes	  change	the understanding of the disease	0.38	This changes the understanding of the disease , its therapy and the life expectancy of those affected .
30160022	This	 changes	  change	the life expectancy of those	0.23	This changes the understanding of the disease , its therapy and the life expectancy of those affected .
30160022	This	 changes	  change	its therapy	0.02	This changes the understanding of the disease , its therapy and the life expectancy of those affected .
30160031	This work	 focuses	  focus	on radiation therapy	0.98	This work focuses on radiation therapy , a treatment option with possible short- and long-term complications , and the resulting consequences for the patients ' quality of life .
30160031	This work	 focuses	  focus	on the resulting consequences for the patients ' quality of life	0.46	This work focuses on radiation therapy , a treatment option with possible short- and long-term complications , and the resulting consequences for the patients ' quality of life .
30160032	The focus here	 will be	  will be	on radiation treatment	1.00	The focus here will be on radiation treatment , a treatment option with potential short- and long-term complications and the resulting consequences for patients ' quality of life .
30160041	which supportive measures	 can be taken	  can be take	after radiation therapy with the help of clinical pharmacists	0.68	Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists .
30160041	we	 show	  show	which supportive measures can be taken during radiation therapy with the help of clinical pharmacists	0.54	Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists .
30160041	we	 show	  show	which supportive measures can be taken after radiation therapy with the help of clinical pharmacists	0.51	Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists .
30160041	which supportive measures	 can be taken	  can be take	during radiation therapy with the help of clinical pharmacists	0.47	Furthermore , we show which supportive measures can be taken during and after radiation therapy with the help of clinical pharmacists .
30160042	it	 will be shown	  will be show		0.94	Furthermore , it will be shown which supportive measures can be taken during and after radiation treatment with the participation of clinical pharmacists .
30160042	which supportive measures	 can be taken	  can be take	after radiation treatment with the participation of clinical pharmacists	0.72	Furthermore , it will be shown which supportive measures can be taken during and after radiation treatment with the participation of clinical pharmacists .
30160042	which supportive measures	 can be taken	  can be take	during radiation treatment with the participation of clinical pharmacists	0.50	Furthermore , it will be shown which supportive measures can be taken during and after radiation treatment with the participation of clinical pharmacists .
30170001	Daunorubicin	 has been established	  have be establish	as important cornerstone in ALL- and AML-treatment since many years	0.98	Daunorubicin has been established as important cornerstone in ALL- and AML-treatment since many years .
30170002	The anthracycline daunorubicin	 has been	  have be	an integral part of ALL treatment for many years	0.59	The anthracycline daunorubicin has been an integral part of ALL and AML treatment for many years .
30170002	The anthracycline daunorubicin	 has been	  have be	an integral part of AML treatment for many years	0.58	The anthracycline daunorubicin has been an integral part of ALL and AML treatment for many years .
30170011	Its metabolite daunorubicinol	 does not contribute	  doe not contribute	to antineoplastic activities of the anthracycline	0.98	Its metabolite daunorubicinol does not contribute to antineoplastic activities of the anthracycline , however , it may have a potential impact on drug 's cardiotoxicity .
30170011	it	 may have	  may have	a potential impact on drug 's cardiotoxicity	0.97	Its metabolite daunorubicinol does not contribute to antineoplastic activities of the anthracycline , however , it may have a potential impact on drug 's cardiotoxicity .
30170012	The metabolite daunorubicinol	 plays	  play	less of a role in the antineoplastic effect	0.99	The metabolite daunorubicinol plays less of a role in the antineoplastic effect , but probably more in the potential cardiotoxicity of the cytostatic .
30170012	The metabolite daunorubicinol	 plays	  play	more in the potential cardiotoxicity of the cytostatic	0.57	The metabolite daunorubicinol plays less of a role in the antineoplastic effect , but probably more in the potential cardiotoxicity of the cytostatic .
30170021	Current guidelines in Germany	 consider	  consider	a daunorubicin dose reduction by 50 % in case of individual GFR between 30 and 50 ml/min	0.93	Current guidelines in Germany consider a daunorubicin dose reduction by 50 % in case of individual GFR between 30 and 50 ml/min which ( 1 ) is in contrast to FDA-based guidelines , and ( 2 ) which is somewhat confusing when the clinical pharmacokinetic behaviour of daunorubicin and doxorubicin are compared with each other .
30170021	30 and 50 ml/min	 is	  be	in contrast to FDA-based guidelines	0.84	Current guidelines in Germany consider a daunorubicin dose reduction by 50 % in case of individual GFR between 30 and 50 ml/min which ( 1 ) is in contrast to FDA-based guidelines , and ( 2 ) which is somewhat confusing when the clinical pharmacokinetic behaviour of daunorubicin and doxorubicin are compared with each other .
30170021	the clinical pharmacokinetic behaviour of doxorubicin	 are compared	  be compare	with each other	0.73	Current guidelines in Germany consider a daunorubicin dose reduction by 50 % in case of individual GFR between 30 and 50 ml/min which ( 1 ) is in contrast to FDA-based guidelines , and ( 2 ) which is somewhat confusing when the clinical pharmacokinetic behaviour of daunorubicin and doxorubicin are compared with each other .
30170021	the clinical pharmacokinetic behaviour of daunorubicin	 are compared	  be compare	with each other	0.72	Current guidelines in Germany consider a daunorubicin dose reduction by 50 % in case of individual GFR between 30 and 50 ml/min which ( 1 ) is in contrast to FDA-based guidelines , and ( 2 ) which is somewhat confusing when the clinical pharmacokinetic behaviour of daunorubicin and doxorubicin are compared with each other .
30170021	30 and 50 ml/min	 is	  be	somewhat confusing when the clinical pharmacokinetic behaviour of daunorubicin are compared with each other	0.64	Current guidelines in Germany consider a daunorubicin dose reduction by 50 % in case of individual GFR between 30 and 50 ml/min which ( 1 ) is in contrast to FDA-based guidelines , and ( 2 ) which is somewhat confusing when the clinical pharmacokinetic behaviour of daunorubicin and doxorubicin are compared with each other .
30170022	The currently filed guidelines for dose modification	 stipulate	  stipulate	that the anthracycline should only be used at 50 % of the usual dose already at a glomerular filtration rate ( GFR ) between 50 ml/min and 30 ml/min	0.99	The currently filed guidelines for dose modification stipulate that the anthracycline should only be used at 50 % of the usual dose already at a glomerular filtration rate ( GFR ) between 50 ml/min and 30 ml/min .
30170022	the anthracycline	 should only be used	  should only be use	at 50 % of the usual dose already at a glomerular filtration rate ( GFR ) between 50 ml/min and 30 ml/min	0.98	The currently filed guidelines for dose modification stipulate that the anthracycline should only be used at 50 % of the usual dose already at a glomerular filtration rate ( GFR ) between 50 ml/min and 30 ml/min .
30170031	a leukemia patient	 may receive	  may receive	daunorubicin full dose in the US	0.96	As a consequence , a leukemia patient may receive daunorubicin full dose in the US , and 50 % of curative dose in Germany in case of e.g . GFR 43 ml/min .
