document_id,subject_str,predicate_org,predicate,object_str,text
10010001,Albert Einstein,was,be,"a German-born theoretical physicist , widely acknowledged to be one of the most influential physicists of all time","Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,a German-born theoretical physicist,to be,to be,one of the most influential physicists of all time,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,Albert Einstein,was,be,"a German-born theoretical physicist , widely acknowledged to be one of the greatest physicists of all time","Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,a German-born theoretical physicist,to be,to be,one of the greatest physicists of all time,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010002,Albert Einstein,was,be,a German-born physicist with US citizenship,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,Albert Einstein,was,be,a German-born physicist with Swiss citizenship,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010011,Einstein,is,be,best known for developing the theory of relativity,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,Einstein,best known,well know,for developing the theory of relativity,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,he,made,make,important contributions to the development of the theory of quantum mechanics,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,Einstein,for developing,for develope,the theory of relativity,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010012,He,worldwide,worldwide,one of the best-known scientists of the modern era,He is considered one of the most important theoretical physicists in the history of science and one of the best-known scientists of the modern era worldwide .
10010021,quantum mechanics,are together,be together,the two pillars of modern physics,Relativity and quantum mechanics are together the two pillars of modern physics .
10010021,Relativity,are together,be together,the two pillars of modern physics,Relativity and quantum mechanics are together the two pillars of modern physics .
10010022,"His research on the structure of time , as well as on the nature of gravity",significantly changed,significantly change,the previously held Newtonian worldview,"His research on the structure of matter , space , and time , as well as on the nature of gravity , significantly changed the previously held Newtonian worldview ."
10010022,"His research on the structure of space , as well as on the nature of gravity",significantly changed,significantly change,the previously held Newtonian worldview,"His research on the structure of matter , space , and time , as well as on the nature of gravity , significantly changed the previously held Newtonian worldview ."
10010022,"His research on the structure of matter , as well as on the nature of gravity",significantly changed,significantly change,the previously held Newtonian worldview,"His research on the structure of matter , space , and time , as well as on the nature of gravity , significantly changed the previously held Newtonian worldview ."
10010031,"His mass–energy equivalence formula E = mc2 , which arises from relativity theory",has been dubbed,have be dub,the world 's most famous equation,"His mass–energy equivalence formula E = mc2 , which arises from relativity theory , has been dubbed `` the world 's most famous equation '' ."
10010031,His mass–energy equivalence formula E = mc2,arises,arise,from relativity theory,"His mass–energy equivalence formula E = mc2 , which arises from relativity theory , has been dubbed `` the world 's most famous equation '' ."
10010032,Einstein 's main work,made,make,him world famous,"Einstein 's main work , the theory of relativity , made him world famous ."
10010041,His work,is also known,be also know,for its influence on the philosophy of science,His work is also known for its influence on the philosophy of science .
10010042,the contents of which,are known,be know,as the Special Theory of Relativity now,"In 1905 , his work entitled On the Electrodynamics of Moving Bodies was published , the contents of which are now known as the Special Theory of Relativity ."
10010042,his work,entitled,entitle,On the Electrodynamics of Moving Bodies,"In 1905 , his work entitled On the Electrodynamics of Moving Bodies was published , the contents of which are now known as the Special Theory of Relativity ."
10010042,his work the contents of which,was published,be publish,In 1905 as the Special Theory of Relativity now,"In 1905 , his work entitled On the Electrodynamics of Moving Bodies was published , the contents of which are now known as the Special Theory of Relativity ."
10010051,He,received,receive,the 1921 Nobel Prize in Physics,"He received the 1921 Nobel Prize in Physics `` for his services to theoretical physics , and especially for his discovery of the law of the photoelectric effect '' , a pivotal step in the development of quantum theory ."
10010052,he,published,publish,the General Theory of Relativity In 1915,In 1915 he published the General Theory of Relativity .
10010061,Einstein,becoming,become,synonymous with `` genius,His intellectual achievements and originality resulted in `` Einstein '' becoming synonymous with `` genius '' .
10010061,His intellectual achievements,resulted,result,in `` Einstein becoming synonymous with `` genius,His intellectual achievements and originality resulted in `` Einstein '' becoming synonymous with `` genius '' .
10010061,His originality,resulted,result,in `` Einstein,His intellectual achievements and originality resulted in `` Einstein '' becoming synonymous with `` genius '' .
10010062,He,made,make,significant contributions to quantum physics.,He also made significant contributions to quantum physics. ``
10010071,a year,described,describe,as his annus mirabilis sometimes,"In 1905 , a year sometimes described as his annus mirabilis ( 'miracle year ' ) , Einstein published four groundbreaking papers ."
10010071,Einstein,published,publish,four groundbreaking papers In 1905,"In 1905 , a year sometimes described as his annus mirabilis ( 'miracle year ' ) , Einstein published four groundbreaking papers ."
10010072,the Nobel Prize of 1921,was presented,be present,to him in 1922,"For his services to theoretical physics , especially for his discovery of the law of the photoelectric effect , '' he was awarded the Nobel Prize of 1921 , which was presented to him in 1922 ."
10010072,he,was awarded,be award,the Nobel Prize of 1921,"For his services to theoretical physics , especially for his discovery of the law of the photoelectric effect , '' he was awarded the Nobel Prize of 1921 , which was presented to him in 1922 ."
10010081,These,outlined,outline,the theory of the photoelectric effect,"These outlined the theory of the photoelectric effect , explained Brownian motion , introduced special relativity , and demonstrated mass-energy equivalence ."
10010081,These,explained,explain,Brownian motion,"These outlined the theory of the photoelectric effect , explained Brownian motion , introduced special relativity , and demonstrated mass-energy equivalence ."
10010081,These,demonstrated,demonstrate,mass-energy equivalence,"These outlined the theory of the photoelectric effect , explained Brownian motion , introduced special relativity , and demonstrated mass-energy equivalence ."
10010081,These,introduced,introduce,special relativity,"These outlined the theory of the photoelectric effect , explained Brownian motion , introduced special relativity , and demonstrated mass-energy equivalence ."
10010082,his theoretical work,played,play,only an indirect role in the construction of the atomic bomb,"Contrary to popular belief , his theoretical work played only an indirect role in the construction of the atomic bomb and the development of nuclear energy ."
10010082,his theoretical work,played,play,only an indirect role in the development of nuclear energy,"Contrary to popular belief , his theoretical work played only an indirect role in the construction of the atomic bomb and the development of nuclear energy ."
10010091,Einstein,thought,think,that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010091,the laws of classical mechanics,could be reconciled,can be reconcile,with those of the electromagnetic field no longer,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010091,the electromagnetic field,led,lead,him to develop his special theory of relativity,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010091,him,to develop,to develop,his special theory of relativity,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010101,he,published,publish,a paper on general relativity in 1916,"He then extended the theory to gravitational fields ; he published a paper on general relativity in 1916 , introducing his theory of gravitation ."
10010101,He,extended,extend,the theory to gravitational fields then,"He then extended the theory to gravitational fields ; he published a paper on general relativity in 1916 , introducing his theory of gravitation ."
10010101,he,the published a paper on general relativity introducing,the publish a paper on general relativity introduce,his theory of gravitation,"He then extended the theory to gravitational fields ; he published a paper on general relativity in 1916 , introducing his theory of gravitation ."
