document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
10010001,albert einstein,Albert Einstein,PERSON,was,be,"a German-born theoretical physicist , widely acknowledged to be one of the most influential physicists of all time","a German-born theoretical physicist , widely acknowledged to be one of the most influential physicists of all time",Unknown,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,"a German-born theoretical physicist , widely acknowledged to be one of the most influential physicists of all time","a German-born theoretical physicist , widely acknowledged to be one of the most influential physicists of all time",Unknown,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,Albert Einstein,PERSON,was,be,"a German-born theoretical physicist , widely acknowledged to be one of the greatest physicists of all time","a German-born theoretical physicist , widely acknowledged to be one of the greatest physicists of all time",Unknown,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,"a German-born theoretical physicist , widely acknowledged to be one of the greatest physicists of all time","a German-born theoretical physicist , widely acknowledged to be one of the greatest physicists of all time",Unknown,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010002,albert einstein,Albert Einstein,PERSON,was,be,a German-born physicist with US citizenship,a German-born physicist with US citizenship,Unknown,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,a German-born physicist with US citizenship,a German-born physicist with US citizenship,Unknown,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,Albert Einstein,PERSON,was,be,a German-born physicist with Swiss citizenship,a German-born physicist with Swiss citizenship,Unknown,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,a German-born physicist with Swiss citizenship,a German-born physicist with Swiss citizenship,Unknown,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010011,einstein,Einstein,PERSON,is,be,best known for developing the theory of relativity,best known for developing the theory of relativity,Unknown,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,einstein,http://www.wikidata.org/entity/Q937,Person,is,be,best known for developing the theory of relativity,best known for developing the theory of relativity,Unknown,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,einstein,Einstein,PERSON,best known,well know,for developing the theory of relativity,for developing the theory of relativity,Unknown,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,einstein,http://www.wikidata.org/entity/Q937,Person,best known,well know,for developing the theory of relativity,for developing the theory of relativity,Unknown,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,einstein,Einstein,PERSON,for developing,for develope,the theory of relativity,the theory of relativity,Unknown,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010011,einstein,http://www.wikidata.org/entity/Q937,Person,for developing,for develope,the theory of relativity,the theory of relativity,Unknown,"Einstein is best known for developing the theory of relativity , but he also made important contributions to the development of the theory of quantum mechanics ."
10010061,einstein,Einstein,PERSON,becoming,become,synonymous with `` genius,synonymous with `` genius,Unknown,His intellectual achievements and originality resulted in `` Einstein '' becoming synonymous with `` genius '' .
10010061,einstein,http://www.wikidata.org/entity/Q937,Person,becoming,become,synonymous with `` genius,synonymous with `` genius,Unknown,His intellectual achievements and originality resulted in `` Einstein '' becoming synonymous with `` genius '' .
10010071,a year,a year,DATE,described,describe,as his annus mirabilis sometimes,as his annus mirabilis sometimes,Unknown,"In 1905 , a year sometimes described as his annus mirabilis ( 'miracle year ' ) , Einstein published four groundbreaking papers ."
10010071,einstein,Einstein,PERSON,published,publish,four groundbreaking papers In 1905,four groundbreaking papers In 1905,Unknown,"In 1905 , a year sometimes described as his annus mirabilis ( 'miracle year ' ) , Einstein published four groundbreaking papers ."
10010071,einstein,http://www.wikidata.org/entity/Q937,Person,published,publish,four groundbreaking papers In 1905,four groundbreaking papers In 1905,Unknown,"In 1905 , a year sometimes described as his annus mirabilis ( 'miracle year ' ) , Einstein published four groundbreaking papers ."
10010091,einstein,Einstein,PERSON,thought,think,that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field,that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field,Unknown,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010091,einstein,http://www.wikidata.org/entity/Q937,Person,thought,think,that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field,that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field,Unknown,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010181,einstein,Einstein,PERSON,was born,be bear,in the German Empire,in the German Empire,Unknown,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,http://www.wikidata.org/entity/Q937,Person,was born,be bear,in the German Empire,in the German Empire,Unknown,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,Einstein,PERSON,moved,move,to Switzerland in 1895,to Switzerland in 1895,Unknown,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,http://www.wikidata.org/entity/Q937,Person,moved,move,to Switzerland in 1895,to Switzerland in 1895,Unknown,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,Einstein,PERSON,forsaking,forsake,his German citizenship ( as a subject of the Kingdom of Württemberg,his German citizenship ( as a subject of the Kingdom of Württemberg,Unknown,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,http://www.wikidata.org/entity/Q937,Person,forsaking,forsake,his German citizenship ( as a subject of the Kingdom of Württemberg,his German citizenship ( as a subject of the Kingdom of Württemberg,Unknown,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010221,einstein,Einstein,PERSON,moved,move,to Berlin in order In 1914,to Berlin in order In 1914,Unknown,"In 1914 , Einstein moved to Berlin in order to join the Prussian Academy of Sciences and the Humboldt University of Berlin ."
10010221,einstein,http://www.wikidata.org/entity/Q937,Person,moved,move,to Berlin in order In 1914,to Berlin in order In 1914,Unknown,"In 1914 , Einstein moved to Berlin in order to join the Prussian Academy of Sciences and the Humboldt University of Berlin ."
10010231,einstein,Einstein,PERSON,became,become,director of the Kaiser Wilhelm Institute for Physics In 1917,director of the Kaiser Wilhelm Institute for Physics In 1917,Unknown,"In 1917 , Einstein became director of the Kaiser Wilhelm Institute for Physics ; he also became a German citizen again , this time Prussian ."
10010231,einstein,http://www.wikidata.org/entity/Q937,Person,became,become,director of the Kaiser Wilhelm Institute for Physics In 1917,director of the Kaiser Wilhelm Institute for Physics In 1917,Unknown,"In 1917 , Einstein became director of the Kaiser Wilhelm Institute for Physics ; he also became a German citizen again , this time Prussian ."
10010241,einstein,Einstein,PERSON,was visiting,be visit,the United States,the United States,Unknown,"In 1933 , while Einstein was visiting the United States , Adolf Hitler came to power in Germany ."
10010241,einstein,http://www.wikidata.org/entity/Q937,Person,was visiting,be visit,the United States,the United States,Unknown,"In 1933 , while Einstein was visiting the United States , Adolf Hitler came to power in Germany ."
10010241,adolf hitler,Adolf Hitler,PERSON,came,come,to power In 1933 in Germany,to power In 1933 in Germany,Unknown,"In 1933 , while Einstein was visiting the United States , Adolf Hitler came to power in Germany ."
10010251,einstein,Einstein,PERSON,objected,object,to the policies of the newly elected Nazi government,to the policies of the newly elected Nazi government,Unknown,"Einstein , as Jewish , objected to the policies of the newly elected Nazi government ; he settled in the United States and became an American citizen in 1940 ."
10010251,einstein,http://www.wikidata.org/entity/Q937,Person,objected,object,to the policies of the newly elected Nazi government,to the policies of the newly elected Nazi government,Unknown,"Einstein , as Jewish , objected to the policies of the newly elected Nazi government ; he settled in the United States and became an American citizen in 1940 ."
10010261,the us,http://www.wikidata.org/entity/Q30,Country,begin,begin,similar research,similar research,Unknown,"On the eve of World War II , he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research ."
10010271,einstein,Einstein,PERSON,supported,support,the Allies,the Allies,Unknown,Einstein supported the Allies but generally denounced the idea of nuclear weapons .
10010271,einstein,http://www.wikidata.org/entity/Q937,Person,supported,support,the Allies,the Allies,Unknown,Einstein supported the Allies but generally denounced the idea of nuclear weapons .
10010271,einstein,Einstein,PERSON,generally denounced,generally denounce,the idea of nuclear weapons,the idea of nuclear weapons,Unknown,Einstein supported the Allies but generally denounced the idea of nuclear weapons .
10010271,einstein,http://www.wikidata.org/entity/Q937,Person,generally denounced,generally denounce,the idea of nuclear weapons,the idea of nuclear weapons,Unknown,Einstein supported the Allies but generally denounced the idea of nuclear weapons .
10020021,penrose,Penrose,ORG,has contributed,have contribute,to the mathematical physics of cosmology,to the mathematical physics of cosmology,Unknown,Penrose has contributed to the mathematical physics of general relativity and cosmology .
10020021,penrose,Penrose,ORG,has contributed,have contribute,to the mathematical physics of general relativity,to the mathematical physics of general relativity,Unknown,Penrose has contributed to the mathematical physics of general relativity and cosmology .
10030001,fritz haber,Fritz Haber,PERSON,was,be,a German chemist who received the Nobel Prize in Chemistry in 1918 for his invention of the Haber–Bosch,a German chemist who received the Nobel Prize in Chemistry in 1918 for his invention of the Haber–Bosch,Unknown,"Fritz Haber was a German chemist who received the Nobel Prize in Chemistry in 1918 for his invention of the Haber–Bosch process , a method used in industry to synthesize ammonia from nitrogen gas and hydrogen gas ."
10030002,fritz jakob haber,Fritz Jakob Haber,PERSON,was,be,a German chemist,a German chemist,Unknown,"Fritz Jakob Haber , also Fritz Jacob Haber , was a German chemist and Nobel Prize winner for chemistry ."
10030002,fritz jakob haber,Fritz Jakob Haber,PERSON,was,be,a German Nobel Prize winner for chemistry,a German Nobel Prize winner for chemistry,Unknown,"Fritz Jakob Haber , also Fritz Jacob Haber , was a German chemist and Nobel Prize winner for chemistry ."
10030032,haber,Haber,PERSON,developed,develope,the Born-Haber circular process for the quantitative determination of the lattice energy in crystals,the Born-Haber circular process for the quantitative determination of the lattice energy in crystals,Unknown,"Together with Max Born , Haber developed the Born-Haber circular process for the quantitative determination of the lattice energy in crystals ."
