"ent_str","ent_id","ent_type","count"
"two","two","CARDINAL",1366
"three","three","CARDINAL",800
"US","US","GPE",792
"one","one","CARDINAL",788
"China","China","GPE",761
"1","1","CARDINAL",722
"EU","EU","ORG",698
"2","2","CARDINAL",625
"European","European","NORP",556
"the United States","the United States","GPE",498
"American","American","NORP",450
"Europe","Europe","LOC",424
"3","3","CARDINAL",418
"U.S.","U.S.","GPE",333
"India","India","GPE",326
"four","four","CARDINAL",321
"Chinese","Chinese","NORP",309
"Africa","Africa","LOC",290
"Russia","Russia","GPE",281
"British","British","NORP",261
"Germany","Germany","GPE",260
"4","4","CARDINAL",257
"today","today","DATE",238
"Japan","Japan","GPE",236
"German","German","NORP",233
"Soviet","Soviet","NORP",224
"One","One","CARDINAL",206
"African","African","NORP",199
"UK","UK","GPE",188
"France","France","GPE",180
"Israel","Israel","GPE",178
"Canada","Canada","GPE",175
"Congress","Congress","ORG",166
"Indian","Indian","NORP",164
"Australia","Australia","GPE",161
"Western","Western","NORP",159
"five","five","CARDINAL",158
"the European Union","the European Union","ORG",156
"Iraq","Iraq","GPE",155
"America","America","GPE",152
"Russian","Russian","NORP",148
"Turkey","Turkey","GPE",146
"5","5","CARDINAL",143
"Brazil","Brazil","GPE",138
"Asia","Asia","LOC",136
"South Africa","South Africa","GPE",134
"Sweden","Sweden","GPE",132
"Two","Two","CARDINAL",130
"2008","2008","DATE",127
"Islamic","Islamic","NORP",124
"UN","UN","ORG",123
"Japanese","Japanese","NORP",123
"2004","2004","DATE",122
"Mexico","Mexico","GPE",120
"Latin America","Latin America","LOC",119
"Iran","Iran","GPE",118
"the Middle East","the Middle East","LOC",118
"NATO","NATO","ORG",117
"English","English","LANGUAGE",116
"French","French","NORP",116
"Indonesia","Indonesia","GPE",115
"2006","2006","DATE",112
"six","six","CARDINAL",110
"Taiwan","Taiwan","GPE",105
"2010","2010","DATE",105
"Muslim","Muslim","NORP",103
"2005","2005","DATE",102
"Asian","Asian","NORP",102
"2009","2009","DATE",102
"2000","2000","DATE",102
"Arab","Arab","NORP",101
"the Cold War","the Cold War","EVENT",100
"Italy","Italy","GPE",99
"6","6","CARDINAL",99
"2003","2003","DATE",98
"Canadian","Canadian","NORP",97
"Pakistan","Pakistan","GPE",97
"House of Representatives","House of Representatives","ORG",96
"recent years","recent years","DATE",95
"Australian","Australian","NORP",94
"2002","2002","DATE",91
"the 1990s","the 1990s","DATE",91
"Poland","Poland","GPE",88
"Swedish","Swedish","NORP",87
"Washington","Washington","GPE",87
"10","10","CARDINAL",82
"Three","Three","CARDINAL",81
"1999","1999","DATE",81
"Spain","Spain","GPE",80
"Italian","Italian","NORP",80
"Israeli","Israeli","NORP",79
"2011","2011","DATE",78
"Nigeria","Nigeria","GPE",78
"Britain","Britain","GPE",77
"2007","2007","DATE",76
"West","West","LOC",76
"Ukraine","Ukraine","GPE",76
"Jewish","Jewish","NORP",75
"Netherlands","Netherlands","GPE",75
"Christian","Christian","NORP",74
"Bangladesh","Bangladesh","GPE",74
"1990","1990","DATE",74
"Americans","Americans","NORP",74
"USA","USA","GPE",73
"Egypt","Egypt","GPE",73
"Palestinian","Palestinian","NORP",71
"Turkish","Turkish","NORP",71
"2001","2001","DATE",71
"8","8","CARDINAL",70
"1996","1996","DATE",69
"Afghanistan","Afghanistan","GPE",68
"OECD","OECD","ORG",65
"the 1980s","the 1980s","DATE",65
"New York","New York","GPE",65
"House","House","ORG",64
"ASEAN","ASEAN","ORG",64
"Vietnam","Vietnam","GPE",63
"Kosovo","Kosovo","GPE",63
"2012","2012","DATE",62
"WTO","WTO","ORG",62
"seven","seven","CARDINAL",62
"Latin American","Latin American","NORP",61
"Syria","Syria","GPE",61
"Singapore","Singapore","GPE",61
"years","years","DATE",61
"12","12","CARDINAL",61
"Muslims","Muslims","NORP",61
"IMF","IMF","ORG",60
"Senate","Senate","ORG",60
"7","7","CARDINAL",60
"annual","annual","DATE",60
"the United States Government","the United States Government","ORG",60
"Bush","Bush","PERSON",59
"New Zealand","New Zealand","GPE",59
"Eastern Europe","Eastern Europe","LOC",59
"North Korea","North Korea","GPE",58
"20","20","CARDINAL",58
"1994","1994","DATE",58
"Brazilian","Brazilian","NORP",58
"Spanish","Spanish","NORP",58
"USSR","USSR","GPE",57
"the Soviet Union","the Soviet Union","GPE",57
"Argentina","Argentina","GPE",57
"Sage Publications Inc.","Sage Publications Inc.","ORG",57
"1997","1997","DATE",56
"London","London","GPE",56
"Sage Publications Ltd.","Sage Publications Ltd.","ORG",56
"World War II","World War II","EVENT",55
"United States","United States","GPE",55
"1989","1989","DATE",55
"1998","1998","DATE",55
"Commission","Commission","ORG",55
"Cold War","Cold War","EVENT",55
"15","15","CARDINAL",55
"2014","2014","DATE",54
"the United Kingdom","the United Kingdom","GPE",54
"Lebanon","Lebanon","GPE",54
"2013","2013","DATE",54
"Democratic","Democratic","NORP",53
"11","11","CARDINAL",53
"Ireland","Ireland","GPE",53
"Hong Kong","Hong Kong","GPE",52
"Mexican","Mexican","NORP",52
"England","England","GPE",52
"18","18","CARDINAL",52
"Dutch","Dutch","NORP",52
"Islam","Islam","NORP",52
"Republican","Republican","NORP",51
"State","State","ORG",51
"1991","1991","DATE",50
"South African","South African","NORP",49
"Southeast Asia","Southeast Asia","LOC",49
"United States Senate","United States Senate","ORG",49
"Egyptian","Egyptian","NORP",49
"Hungary","Hungary","GPE",49
"16","16","CARDINAL",49
"Kenya","Kenya","GPE",49
"14","14","CARDINAL",49
"Yugoslavia","Yugoslavia","GPE",48
"Chile","Chile","GPE",48
"Court","Court","ORG",48
"9","9","CARDINAL",47
"1995","1995","DATE",47
"Thailand","Thailand","GPE",47
"Polish","Polish","NORP",47
"European Union","European Union","ORG",47
"Colombia","Colombia","GPE",47
"13","13","CARDINAL",47
"Beijing","Beijing","GPE",46
"Switzerland","Switzerland","GPE",46
"Malaysia","Malaysia","GPE",45
"California","California","GPE",45
"Uganda","Uganda","GPE",45
"Irish","Irish","NORP",45
"Romania","Romania","GPE",45
"Berlin","Berlin","GPE",45
"Democrats","Democrats","NORP",44
"Ghana","Ghana","GPE",44
"South","South","LOC",44
"Denmark","Denmark","GPE",44
"Philippines","Philippines","GPE",44
"Arctic","Arctic","LOC",44
"Cuba","Cuba","GPE",43
"21","21","CARDINAL",43
"Bulgaria","Bulgaria","GPE",43
"Greece","Greece","GPE",43
"1992","1992","DATE",43
"Islam","Islam","ORG",43
"Moscow","Moscow","GPE",43
"Today","Today","DATE",43
"zero","zero","CARDINAL",42
"Western Europe","Western Europe","LOC",42
"17","17","CARDINAL",42
"eight","eight","CARDINAL",41
"19","19","CARDINAL",41
"1993","1993","DATE",41
"Myanmar","Myanmar","GPE",41
"South Asia","South Asia","LOC",40
"Four","Four","CARDINAL",40
"the 1960s","the 1960s","DATE",40
"Hungarian","Hungarian","NORP",40
"Jews","Jews","NORP",39
"North America","North America","LOC",39
"Islamist","Islamist","NORP",39
"Slovenia","Slovenia","GPE",39
"the European Parliament","the European Parliament","ORG",39
"Finland","Finland","GPE",38
"daily","daily","DATE",38
"the European Commission","the European Commission","ORG",38
"Parliament","Parliament","ORG",38
"the United Nations","the United Nations","ORG",37
"nine","nine","CARDINAL",37
"Korea","Korea","GPE",37
"ICRC","ICRC","ORG",36
"Norway","Norway","GPE",36
"Christianity","Christianity","NORP",36
"decades","decades","DATE",36
"J. Lindroth","J. Lindroth","PERSON",36
"Pacific","Pacific","LOC",36
"24","24","CARDINAL",35
"Portuguese","Portuguese","NORP",35
"Gulf","Gulf","LOC",35
"Kant","Kant","PERSON",35
"Indonesian","Indonesian","NORP",35
"Palestinians","Palestinians","NORP",35
"23","23","CARDINAL",34
"22","22","CARDINAL",34
"Austria","Austria","GPE",34
"Belgium","Belgium","GPE",34
"Latino","Latino","NORP",34
"1980","1980","DATE",33
"Danish","Danish","NORP",33
"1945","1945","DATE",33
"Saudi Arabia","Saudi Arabia","GPE",33
"Tanzania","Tanzania","GPE",33
"United Nations","United Nations","ORG",33
"Marx","Marx","PERSON",33
"the 1970s","the 1970s","DATE",32
"40","40","CARDINAL",32
"millions","millions","CARDINAL",32
"Communist","Communist","NORP",32
"Kazakhstan","Kazakhstan","GPE",32
"30","30","CARDINAL",32
