"ent_str","ent_id","ent_type","count"
"conflict","Q185407","War",811
"conditions","Q4230506","Coup",679
"conflicts","Q185407","War",286
"condition","Q4230506","Coup",131
"the cold war","Q8683","War",122
"civil war","Q188972","War",73
"civil war","Q8465","War",73
"civil war","Q8676","War",73
"world war ii","Q362","War",47
"cold war","Q8683","War",34
"cold war","Q1936011","War",34
"war on terror","Q185729","War",32
"presidential election","Q858439","Election",30
"presidential elections","Q858439","Election",26
"civil wars","Q8676","War",23
"civil wars","Q8465","War",23
"civil wars","Q188972","War",23
"arab spring","Q33761","War",21
"the second world war","Q362","War",20
"the civil war","Q8676","War",19
"general election","Q6542936","Election",18
"general election","Q30173038","Election",18
"general election","Q918503","Election",18
"general election","Q3586935","Election",18
"general election","Q428598","Election",18
"general election","Q1076105","Election",18
"general election","Q590740","Election",18
"general election","Q25052149","Election",18
"general election","Q215622","Election",18
"world war i","Q361","War",15
"war of","Q26013","War",14
"vietnam war","Q8740","War",11
"reelection","Q481394","Election",11
"iraq war","Q545449","War",10
"world war","Q103495","War",10
"world war","Q361","War",10
"iraq war","Q37643","War",10
"korean war","Q8663","War",10
"total war","Q154605","War",9
"gulf war","Q82664","War",8
"parliamentary election","Q3558599","Election",8
"war on terrorism","Q185729","War",8
"gulf war","Q37643","War",8
"the first world war","Q361","War",8
"military intervention","Q5919191","War",8
"free elections","Q16837727","Election",6
"local elections","Q15966540","Election",6
"free elections","Q9252355","Election",6
"world wars","Q361","War",6
"free elections","Q16837740","Election",6
"free elections","Q9252351","Election",6
"military coup","Q10290447","Coup",6
"global war","Q103495","War",6
"p&c","Q185407","War",6
"re-election","Q481394","Election",6
"free elections","Q16837743","Election",6
"free elections","Q16837735","Election",6
"free elections","Q11696542","Election",6
"world wars","Q103495","War",6
"free elections","Q16837722","Election",6
"synonym","id","type",5
"the spanish civil war","Q10859","War",5
"heading","id","type",5
"la violencia","Q185407","War",5
"war in iraq","Q545449","War",5
"general elections","Q30173038","Election",4
"general elections","Q25052149","Election",4
"general elections","Q6542936","Election",4
"general elections","Q1076105","Election",4
"parliamentary elections","Q3558599","Election",4
"military interventions","Q5919191","War",4
"general elections","Q215622","Election",4
"general elections","Q428598","Election",4
"ogaden war","Q318250","War",4
"early elections","Q1333366","Election",4
"general elections","Q3586935","Election",4
"midterm elections","Q13256577","Election",4
"general elections","Q918503","Election",4
"drug war","Q77597785","War",4
"state elections","Q107394355","Election",4
"general elections","Q590740","Election",4
"british general election","Q4971351","Election",3
"european parliament elections","Q60528229","Election",3
"british general election","Q4971353","Election",3
"european parliament elections","Q61355665","Election",3
"british general election","Q4971362","Election",3
"european parliament elections","Q61522535","Election",3
"invasion of iraq","Q107802","War",3
"municipal election","Q15966540","Election",3
"municipal election","Q16968582","Election",3
"wwi","Q361","War",3
"european parliament elections","Q60863510","Election",3
"british general election","Q4971357","Election",3
"british general election","Q4971350","Election",3
"gubernatorial elections","Q15261477","Election",3
"six-day war","Q49077","War",3
"british general election","Q4971369","Election",3
"european parliament elections","Q55119918","Election",3
"municipal election","Q24190679","Election",3
"european parliament elections","Q596633","Election",3
"british general election","Q4971358","Election",3
"the great war","Q361","War",3
"european parliament elections","Q15427735","Election",3
"british general election","Q4971367","Election",3
"european parliament elections","Q58853228","Election",3
"invasion of iraq","Q545449","War",3
"british general election","Q4971349","Election",3
"british general election","Q4971360","Election",3
"european parliament elections","Q70253009","Election",3
"syrian civil war","Q178810","War",3
"headings","id","type",3
"british general election","Q10854279","Election",3
"persian gulf war","Q37643","War",3
"suez crisis","Q49101","War",3
"european parliament elections","Q56192519","Election",3
"direct election","Q1196727","Election",3
"european parliament elections","Q1451109","Election",3
"spectre","Q2583092","War",3
"european parliament elections","Q61360276","Election",3
"british general election","Q4971370","Election",3
"european parliament elections","Q15057715","Election",3
"british general election","Q4971371","Election",3
"european parliament elections","Q61121995","Election",3
"british general election","Q4971361","Election",3
"european parliament elections","Q60965483","Election",3
"british general election","Q4971359","Election",3
"2010 general election","Q215622","Election",3
"british general election","Q4971364","Election",3
"british general election","Q4971368","Election",3
"putsch","Q3449092","Coup",3
"svac","Q185407","War",2
"canadian federal elections","Q909860","Election",2
"first crusade","Q51649","War",2
"local election","Q15966540","Election",2
"military coups","Q10290447","Coup",2
"us elections","Q279283","Election",2
"canadian federal elections","Q1723529","Election",2
"the yugoslav wars","Q242352","War",2
"canadian federal elections","Q787147","Election",2
"canadian federal elections","Q374646","Election",2
"franco-prussian war","Q46083","War",2
"retention elections","Q3563181","Election",2
"kosovo war","Q190029","War",2
"asymmetric wars","Q752673","War",2
"municipal elections","Q16968582","Election",2
"municipal elections","Q15966540","Election",2
"land warfare","Q1190472","War",2
"canadian federal elections","Q951012","Election",2
"canadian federal elections","Q909839","Election",2
"canadian federal elections","Q937472","Election",2
"canadian federal elections","Q1723528","Election",2
"2007 french presidential election","Q245238","Election",2
"canadian federal elections","Q73837865","Election",2
"canadian federal elections","Q3586269","Election",2
"direct elections","Q1196727","Election",2
"canadian federal elections","Q909849","Election",2
"canadian federal elections","Q1723532","Election",2
"canadian federal elections","Q1723524","Election",2
"canadian federal elections","Q954886","Election",2
"canadian federal elections","Q1717224","Election",2
"canadian federal elections","Q909878","Election",2
"canadian federal elections","Q951046","Election",2
"us elections","Q7892465","Election",2
"canadian federal elections","Q954802","Election",2
"world war two","Q362","War",2
"italian municipal elections","Q3722186","Election",2
"canadian federal elections","Q108803782","Election",2
"war of attrition","Q322607","War",2
"municipal elections","Q24190679","Election",2
"canadian federal elections","Q1723544","Election",2
