"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"the kyrgyz republic","The Kyrgyz Republic","GPE","to sign","to sign","the collective security treaty","the Collective Security Treaty","LAW","The Kyrgyz Republic was a co-founder of the Shanghai Cooperation Organisation ( SCO ) and the Commonwealth of Independent States ( CIS ) , one of the first countries to sign the Collective Security Treaty ( CST ) ."
"calhoun","Calhoun","PERSON","is","be","the social sciences","the Social Sciences","ORG","The making and remaking of connections changes the connected parties ( whether these are individuals or formal organizations or solidarities at various scales ) .Craig CALHOUN is Professor of the Social Sciences at New York University and is the founding director of NYUs Institute for Public Knowledge ."
"the ends of history","the Ends of History","WORK_OF_ART",": Exploring",": Exploring","hegel","Hegel","PERSON","Multicultural Dynamics and the Ends of History : Exploring Kant , Hegel , and Marx ."
"hindus","Hindus","NORP","organized a major conference to position","organize a major conference to position","the vishwa hindu parishad","the Vishwa Hindu Parishad","ORG","In 1985 , Hindus organized a major conference to position the Vishwa Hindu Parishad ( World Hindu Council ) as the umbrella organization for Hinduism in Denmark ."
"george ryan","George Ryan","PERSON","is Governor a Republican from","be Governor a Republican from","illinois","Illinois","GPE","On January 11 , 2003 , Illinois Governor George Ryan -- a Republican on record as saying that `` some crimes are so horrendous ... that society has a right to demand the ultimate penalty '' -- Commuted the capital sentences of all 167 prisoners on his state 's death row ."
"alexander lukashenko","Alexander Lukashenko","PERSON","is president of","be president of","belarussian","Belarussian","NORP","View that the introduction of capitalism in the independent Belarus severely damaged the economy , both agricultural and industrial , that had flourished , 1945-89 ; focus on the career and policies of the first Belarussian president , Alexander Lukashenko , elected in 1994 ."
"ronald reagan","Ronald Reagan","PERSON","to drop","to drop","marcos","Marcos","PERSON","In a 1985-86 crisis , communism 's lack of credibility allowed Ronald Reagan to drop Marcos and permit democracy . ["
"harold wilson","Harold Wilson","PERSON","is Prime Minister from","be Prime Minister from","gb","GB","ORG","This article investigates the claim of GB 's Prime Minister , Harold Wilson , to have `` killed '' the Multilateral Force ( MLF ) , an attempt to bring about nuclear sharing within the North Atlantic Treaty Organization ( NATO ) & answer the supposed German desire for equality of status ."
"enrico berlinguer","Enrico Berlinguer","PERSON","is Secretary of","be Secretary of","pci","PCI","ORG","When the Central Committee of the Italian Communist Party met in February , 1973 , PCI Secretary Enrico Berlinguer reported that `` membership in the party and , to a less satisfactory extent , in the Youth Federation ( FGCI ) , shows a constant increase . ''"
"shell","Shell","ORG","commissioned ERM to conduct","commission ERM to conduct","the eia rectification process","the EIA Rectification Process","ORG","Shell commissioned ERM , an independent consultancy , to conduct the EIA Rectification Process ."
"beaumont","Beaumont","PERSON","warned","warn","nearly 200 years ago","nearly 200 years ago","DATE","Tocqueville and Beaumont warned nearly 200 years ago : While society in the United States gives the example of the most extended liberty , the prisons of the same country offer the spectacle of the most complete despotism ( 1979 , 79 ) ."
