"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"three major crossnational survey projects","three major crossnational survey projects","Unknown","address","address","the issue of ethnicity","the issue of ethnicity","Unknown","This article focuses on how three major crossnational survey projects address the issue of ethnicity ."
"we","we","Unknown","demonstrate","demonstrate","that DC can migrate from the blood into some lymphoid tissues First","that DC can migrate from the blood into some lymphoid tissues First","Unknown","First we demonstrate that DC can migrate from the blood into some lymphoid and nonlymphoid tissues ."
"they","they","Unknown","uniquely complement","uniquely complement","bombers to advantage the attacker In a first strike","bombers to advantage the attacker In a first strike","Unknown","In a first strike , they uniquely complement bombers , ICBMs and reconnaissance systems to advantage the attacker , where otherwise ad vantage might lie with the defence ."
"This book","This book","Unknown","to this effort by designing","to this effort by design","a strategy for further growth.","a strategy for further growth.","Unknown","This book contributes to this effort by examining the growth performance of countries in Latin America and the Caribbean , explaining the underlying sources of their economic growth , and designing a strategy for further growth. -- Publisher 's description ."
"the 'artisans ' quarter","the 'artisans ' quarter","Unknown","was probably","be probably","his masterwork of spatial design Hampstead Garden Suburb","his masterwork of spatial design Hampstead Garden Suburb","Unknown","In his 1912 pamphlet for the Garden Cities and Town Planning Association Nothing Gained by Overcrowding , Raymond Unwin set out in detail the lessons learnt from his formidable practical experience in the design and layout of housing : at New Earswick from 1902 , Letchworth Garden City from 1905 , and most significantly at Hampstead Garden Suburb , where the 'artisans ' quarter 1907-9 was probably his masterwork of spatial design ."
"Seasonal collections","Seasonal collections","Unknown","were made","be make","over a 16 month period in seven seagrass communities on the west coast of Florida","over a 16 month period in seven seagrass communities on the west coast of Florida","Unknown","Seasonal collections were made over a 16 month period in seven seagrass communities on the west coast of Florida ."
"the outcomes of international wars","the outcomes of international wars","Unknown","affect","affect","domestic social change","domestic social change","Unknown","How do the outcomes of international wars affect domestic social change ?"
"Vesna A. Wallace","Vesna A. Wallace","Unknown","brings","bring","together an interdisciplinary group of leading scholars to explore the interaction between the Mongolian indigenous culture , the features that Buddhism acquired through its adaptation to the Mongolian cultural sphere , and the ways","together an interdisciplinary group of leading scholars to explore the interaction between the Mongolian indigenous culture , the features that Buddhism acquired through its adaptation to the Mongolian cultural sphere , and the ways","Unknown","Vesna A. Wallace brings together an interdisciplinary group of leading scholars to explore the interaction between the Mongolian indigenous culture and Buddhism , the features that Buddhism acquired through its adaptation to the Mongolian cultural sphere , and the ways Mongols have constructed their Buddhist identity ."
"he","he","Unknown","to have been","to have be","a weak ruler , powerless in the face of the ambitions of the nobles of the West Frankish realm","a weak ruler , powerless in the face of the ambitions of the nobles of the West Frankish realm","Unknown","Enthroned by rebels as well as cast down by a rebellion he is said to have been a weak ruler , powerless in the face of the ambitions of the nobles of the West Frankish realm ."
"four environmental carcinogens","four environmental carcinogens","Unknown","have been examined","have be examine","Thus far","Thus far","Unknown","Thus far , four environmental carcinogens have been examined using the Hupki embryo fibroblast immortalization assay : ( a ) UV light , which is linked to human skin cancer ; ( b ) benzo [ a ] pyrene , which is associated with tobacco smoke-induced lung cancer ; ( c ) 3-nitrobenzanthrone , a suspected human lung carcinogen linked to diesel exposure ; and ( d ) aristolochic acid , which is linked to Balkan endemic nephropathy-associated urothelial cancer ."
