"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"un-habitat","UN-Habitat","ORG","p.","p.","2011","2011","DATE","UN-Habitat , 2011 , p. 115 ) ."
"eu","EU","ORG","im","i be","vergleich","Vergleich","PERSON","Transformation und Integration - die acht EU-Beitrittslander im Vergleich ."
"eu","EU","ORG","has been defined","have be define","eu","EU","ORG","The extremely complex system of economic governance set up for answering the euro crisis has been defined and implemented on the basis of the intergovernmental constitution of the EU ."
"alan l. ellis","Alan L. Ellis","PERSON","Norms helping","Norms help","norbert l. kerr","Norbert L. Kerr","PERSON","An introduction to social dilemmas / David A. Schroeder -- Reward structure and cooperation in the N-person prisoner 's dilemma / S.S. Komorita and Alan L. Ellis -- Norms in social dilemmas / Norbert L. Kerr -- Helping the group or helping yourself ?"
"two","Two","CARDINAL","were","be","2","2","CARDINAL","Two of the important issues that came up in the course of the programme were : ( 1 ) the impact of wood and biomass fuels on the health of the rural women and children ; and ( 2 ) the use of the commercialisation approach as against the subsidy and welfare approach ."
"the house of commons","the House of Commons","ORG","appointed","appoint","council","Council","ORG","They include staff members of a senator or member of the House of Commons persons appointed to any office or body by or with the approval of the Governor in Council or a minister of the Crown other than a judge or the lieutenant governor of a province officers directors or employees of a federal board commission or tribunal members of the Canadian Armed Forces members of the Royal Canadian Mounted Police ."
"hindu","Hindu","NORP","had become","have become","surat","Surat","GPE","According to knowledgeable observers , the Hindu businessmen , but most particularly the shroffs , had become the wealthiest sector of the Surat merchant class ."
"colorado","Colorado","GPE","requiring","require","two-year","two-year","DATE","This study examines the 2003 Colorado Commission on Higher Education 's ( CCHE ) policy requiring minimum course requirements for entrance into a Colorado two-year or four-year public college or university ."
"church","Church","ORG","were placed","be place","ussr","USSR","GPE","After the peace treaty with Poland ( 18 March 1921 ) and after the reorganization of the Church administration in 1921 and in 1923 , ten administrative units of the Catholic Church were placed within the borders of the USSR ; eight were of the Latin rite and two of the Eastern rite ."
"the raoul family papers","the Raoul Family Papers","WORK_OF_ART","pertain","pertain","1915","1915","DATE","Items copied from the Raoul Family Papers at Emory University pertain to the first suffrage parade in Georgia , 1915 , and correspondence between Raoul and the National Woman 's Party , the National American Women 's Suffragist Association and the Equal Suffrage Party of Georgia , 1915-1921 ."
"us","US","GPE","asserting","assert","muslim","Muslim","NORP","The values gap between the US & Muslims is next considered , asserting that Muslim dislike of the US centers on a perceived inconsistent application of its values ; attention is given to US consumer culture & the rise of Muslim business as a moral challenge to it ."
"the association of southeast asian nations","the Association of Southeast Asian Nations","ORG","was founded","be found","five","five","CARDINAL","In 1967 , the Association of Southeast Asian Nations , or ASEAN in short , was founded by five countries in Southeast Asia which had just gained independence from their former colonial masters , united by a determination for the region to live in peace and stability ."
