"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"vietnam","Vietnam","GPE","to manage","to manage","its relations with China","its relations with China","Unknown","The article argues that hedging is the most rational and viable option for Vietnam to manage its relations with China given its historical experiences , domestic and bilateral conditions , as well as changes in Vietnam 's external relations and the international strategic environment ."
"the next few years","The next few years","DATE","to be","to be","of critical importance in the development of the technique of international legislation by means of multipartite agreements","of critical importance in the development of the technique of international legislation by means of multipartite agreements","Unknown","The next few years are likely to be of critical importance in the development of the technique of international legislation by means of multipartite agreements ."
"miroslava chavez-garcia","Miroslava Chavez-Garcia","PERSON","gives","give","meaning to the hope","meaning to the hope","Unknown","Drawing upon a personal collection of more than 300 letters exchanged between her parents and other family members across the U.S.-Mexico border , Miroslava Chavez-Garcia recreates and gives meaning to the hope , fear , and longing migrants experienced in their everyday lives both `` here '' and `` there '' ( `` aqui y alla '' ) ."
"samuel p. huntington","Samuel P. Huntington","PERSON","argues","argue","that the In his influential book","that the In his influential book","Unknown","In his influential book The Clash of Civilizations , Samuel P. Huntington argues that the"
"fox","Fox","PERSON","shows","show","how tough times also give potential rainmakers the opportunity","how tough times also give potential rainmakers the opportunity","Unknown","Fox shows how tough times also give solid companies , strong managers , and potential rainmakers the opportunity to seize market share ."
"j. t. jost","J. T. Jost","PERSON","proposed","propose","that political conservatism uniquely serves epistemic needs","that political conservatism uniquely serves epistemic needs","Unknown","Presenting an impressive model based on a large body of evidence , J. T. Jost , J. Glaser , A.W . Kruglanski , and F. J. Sulloway ( 2003 ) proposed that political conservatism uniquely serves epistemic , existential , and ideological needs driven by fears and uncertainties ."
"washington","Washington","GPE","to talk","to talk","to each other","to each other","Unknown","The US and Iran have been locked in a historically rare relationship : Washington and Tehran have not been able to talk to each other in a meaningful and consistent way ."
"rosen","Rosen","PERSON","reviews","review","Blanche Wiesen Cook 's 'Eleanor Roosevelt","Blanche Wiesen Cook 's 'Eleanor Roosevelt","Unknown","Rosen reviews Blanche Wiesen Cook 's 'Eleanor Roosevelt : Volume Two , 1933-1938 . ' ."
"a big society","A Big Society","ORG","needs","need","an active state","an active state","Unknown","Debate : A Big Society needs an active state ."
"civil wars","Q8676","War","are","be","among the most difficult problems in world politics","among the most difficult problems in world politics","Unknown","Civil wars are among the most difficult problems in world politics ."
"the european parliament","the European Parliament","ORG","had maintained","have maintain","a Register of Accredited Lobbyists since 1996","a Register of Accredited Lobbyists since 1996","Unknown","11 ] Prior to the introduction of the Transparency Register the European Parliament had maintained a Register of Accredited Lobbyists since 1996 while the European Commission had kept a Register of Interest Representatives since 2008 ."
"the united states","the United States","GPE","has responded","have respond","Finally","Finally","Unknown","Finally , how has the United States responded and why ?"
"the existing trips agreement","the existing TRIPs Agreement","LAW","seeing","see","considerable merit in strengthening the exchanges of information on national experiences","considerable merit in strengthening the exchanges of information on national experiences","Unknown","shares the views of the Australian Government that the existing TRIPs Agreement is adequate for the protection of indigenous intellectual property and traditional knowledge , while seeing considerable merit in strengthening the exchanges of information on national experiences ."
"beijing","Beijing","GPE","refusing to commit","refuse to commit","to binding emission reduction targets at the international level","to binding emission reduction targets at the international level","Unknown","For some time now , Beijing has been known as a climate change laggard , refusing to commit to binding emission reduction targets at the international level ."
"bulgaria","Bulgaria","GPE","were represented","be represent","at the meeting by their respective Prime Ministers","at the meeting by their respective Prime Ministers","Unknown","Bulgaria , Czechoslovakia , East Germany , Hungary , Poland , Rumania , and the Soviet Union were represented at the meeting by their respective Prime Ministers and Foreign and Defense Ministers and by the First Secretaries of their Communist Parties ."
"recent decades","Recent decades","DATE","have also seen","have also see","the pressure on the marine environment grow","the pressure on the marine environment grow","Unknown","Recent decades have also seen user groups multiply , competition for space and resources increase , and the pressure on the marine environment and its living natural resources grow ."
"the innovative entrepreneur","The Innovative Entrepreneur","ORG","addresses","address","inefficiencies in markets for inventions through adoption of innovative ideas","inefficiencies in markets for inventions through adoption of innovative ideas","Unknown","The innovative entrepreneur addresses inefficiencies in markets for inventions through own-use of discoveries and adoption of innovative ideas ."
"david w. jourdan","David W. Jourdan","PERSON","recovers","recover","the sunken history of the Japanese cargo-carrying submarine","the sunken history of the Japanese cargo-carrying submarine","Unknown","David W. Jourdan recovers the sunken history of the Japanese cargo-carrying submarine `` I-52 , '' exploring air-sea-undersea warfare and Japanese technology during World War II . '' --"
"miller","Miller","PERSON","contends","contend","however","however","Unknown","Miller contends , however , that the appearance of domesticated plants in eastern North America is the result of individuals adjusting to periods of both abundance and shortfall driven by climate change , rather then simply being an example of necessity as the mother of invention '' -- Provided by publisher"
"flinders","Flinders","PERSON","view","view","the problem in terms of an expectations 'gap","the problem in terms of an expectations 'gap","Unknown","Riddell and Flinders , it is argued , view the problem in terms of an expectations 'gap ' , while Kane and Patapan , and Medvic cast it as a leadership 'paradox ' or an expectations 'trap ' ."
"lobbyists","Lobbyists","ORG","should comply","should comply","with standards of professionalism they share responsibility for fostering a culture of integrity in lobbying","with standards of professionalism they share responsibility for fostering a culture of integrity in lobbying","Unknown","Lobbyists should comply with standards of professionalism and transparency they share responsibility for fostering a culture of transparency and integrity in lobbying ."
"the fukushima accident","the Fukushima Accident","ORG","suggested","suggest","the possibility of simultaneous release from RPV","the possibility of simultaneous release from RPV","Unknown","However , the Fukushima Accident suggested the possibility of simultaneous release from RPV and SFP which indicated the necessity of re-evaluation of the maximum source term ."
"zambia","Zambia","GPE","to ban","to ban","exports","exports","Unknown","3 ) a revival and refocus of agriculture extension services and research , with an emphasis on promoting diversity of production and a de-emphasis on the mono-cropping of maize ; and ( 4 ) a revisiting of the Government 's approach to the maize sector , including whether there is still a need for Zambia to be self-sufficient in maize , to provide inputs on arbitrarily changing terms , or to ban exports ."
"john gray","John Gray","PERSON","adds","add","an extensive postscript which defends the interpretation of Mill","an extensive postscript which defends the interpretation of Mill","Unknown","To this , John Gray adds an extensive postscript which defends the interpretation of Mill set out in the first edition , but develops radical criticisms of the substance of Millian and other liberalism ."
"cohen","Cohen","PERSON","traces","trace","global histories of race , from Boston to Bengal","global histories of race , from Boston to Bengal","Unknown","Crisscrossing the hemispheres , Cohen traces global histories of race , slavery , and class , from Boston to Bengal ."
"miles larmer","Miles Larmer","PERSON","provide","provide","a history of the Katangese gendarmes","a history of the Katangese gendarmes","Unknown","Erik Kennes and Miles Larmer provide a history of the Katangese gendarmes and their largely undocumented role in many of the most important political and military conflicts in Central Africa ."
"eec","EEC","ORG","spokesmen","spokesman","times at","times at","Unknown","Or do we make our calculations on the basis of the rhetoric ? EEC spokesmen at times stress the freedom of its sovereign parts ."
"jameson","Jameson","PERSON","presents","present","the postmodern problem of Utopia In three parts","the postmodern problem of Utopia In three parts","Unknown","In three parts , Jameson presents the postmodern problem of Utopia , attempting to diagnose the cultural present and to open a perspective on the future of a world that is all but impossible to predict with any certainty - `` a telling of the future , '' as Jameson calls it , `` with an imperfect deck . ''"
"eric reinders","Eric Reinders","PERSON","was awarded","be award","a doctorate In 1997","a doctorate In 1997","Unknown","In 1997 , Eric Reinders was awarded a doctorate on the topic of `` Buddhist Rituals of Obeisance and the Contestation of the Monk 's Body in Medieval China . ''"
"sweden","Sweden","GPE","sides","side","with skepti cal states like Fourth Republic France","with skepti cal states like Fourth Republic France","Unknown","As to judicial intervention in politics , Sweden sides with skepti cal states like the United Kingdom or Third and Fourth Republic France ."
"turkey","Turkey","GPE","to adopt","to adopt","a long-term strategy for dealing with Syrian refugees","a long-term strategy for dealing with Syrian refugees","Unknown","They should also push Turkey to adopt a long-term strategy for dealing with Syrian refugees . ("
"kissinger","Kissinger","PERSON","tried much harder to create","try much hard to create","a foreign policy consensus behind detente than previously understood","a foreign policy consensus behind detente than previously understood","Unknown","By analyzing those `` heartland '' speeches using recently released documents , the article shows that Kissinger and the State Department tried much harder to create a foreign policy consensus behind detente and realism than previously understood ."
"lobbyists","Lobbyists","ORG","openly to act","openly to act","with integrity in their relations with EU institutions","with integrity in their relations with EU institutions","Unknown","The code of conduct requires lobbyists openly to identify themselves and to act with honesty and integrity in their relations with EU institutions ."
