predicate	count	relation
be	76223	
have	24485	
be in	22100	
provide	8135	
examine	6386	
present	3772	
offer	3531	
focus on	3468	
be with	3393	
may	3110	
use	3076	
can	3024	
explore	2703	
make	2646	
consider	2220	
show	2009	
represent	1930	
include	1905	
discuss	1865	
will	1773	
become	1714	
investigate	1710	
develop	1634	
describe	1624	
of	1600	
address	1545	
lead to	1437	
demonstrate	1434	
analyze	1323	
reveal	1293	
contribute to	1278	
could	1277	
take	1226	
find	1215	
assess	1174	
die	1161	
need	1140	
explain	1128	
begin	1114	
identify	1114	
suggest	1105	
propose	1095	
allow	1094	
reflect	1078	
have become	1039	
appear	1023	
study	1021	
be base on	1017	
remain	1001	
highlight	997	
affect	974	
illustrate	971	
require	971	
be of	940	
be associate with	931	
draw on	926	
understand	920	
result in	908	
adopt	906	
continue	891	
increase	852	
reduce	819	
give	813	
promote	807	
create	783	
tend	774	
support	754	
should	737	
analyse	720	
improve	718	
focus	707	
have on	696	
play	695	
evaluate	673	
reflect on	670	
seem	659	
constitute	649	
in	614	
problem of	612	
report	602	
test	594	
look at	593	
produce	590	
determine	583	
respond to	573	
compare	571	
indicate	571	
raise	566	
face	565	
bring	544	
can happen because	528	
aim	526	
trace	526	
be at	524	
see	522	
confirm	514	
fail	514	
influence	510	
review	509	
comprise	507	
introduce	502	
cause	498	
estimate	498	
pose	494	
play role in	476	
appearance of be	469	
challenge	461	
seek	461	
build	455	
serve as	451	
be on	445	
issue of be	438	
establish	435	
be make	427	
range from	427	
measure	425	
hold	422	
have lead to	418	
display	417	
shape	415	
change in	404	
be conclude	401	
build on	400	
grow from	400	
be important	397	
integrate	391	
exhibit	390	
contribute	387	
achieve	383	
involve	383	
contain	382	
depend on	378	
be among	376	
yield	376	
undertake	375	
emphasize	374	
will assess	374	
call	370	
consist of	370	
conclude with	369	
depend	369	
maintain	365	
allow for	364	
engage in	358	
cover	351	
facilitate	351	
advocate	347	
reject	342	
deal with	341	
be see as	340	
have become in	336	
draw	334	
be due	333	
be show	333	
article	332	
generate	331	
be find	321	
prove	319	
be as	318	
conduct	316	
change	315	
have add to	315	
form	314	
probe	311	
report on	310	
look	308	
apply	306	
must	306	
assess ability give	304	
prevent	303	
argue	302	
to	302	
feature	300	
gain	299	
have see	299	
receive	296	
enable	294	
on	294	
book	292	
be contemporaneous with	290	
imply	288	
protect	286	
outline	285	
be assess	284	
induce	281	
refer to	280	
have have	279	
encourage	277	
paper	275	
return	269	
have retain	268	
be about	266	
have apparently retain	264	
idea of	264	
be provide	263	
draw upon	261	
combine	259	
effect on	259	
focus of be	259	
do	258	
predict	258	
relate to	258	
define	257	
would	257	
avoid	256	
study of be	256	
be become	255	
enhance	255	
ensure	255	
implement	253	
exploit	252	
have increase	252	
be below	251	
follow	250	
explain variation	248	
experience	247	
account for	246	
consistent be associate with	245	
have witness	245	
be give to	243	
analysis of	242	
be relate to	241	
have emphasise	241	
have mostly emphasise	240	
be characterize by	239	
be consider	239	
be use	239	
be apply to	238	
note	238	
foster	237	
derive	236	
employ	236	
rely on	235	
differ	234	
recognize	234	
obtain	232	
be influence by	231	
be investigate	230	
be give	228	
contrast	228	
locate	228	
help	227	
meet	227	
will of	225	
attempt	222	
perform	222	
be part of	221	
rather depend	216	
will report	216	
be present	214	
know	214	
serve	214	
have at	211	
choose	210	
link	210	
advance	209	
call for	209	
have make	209	
illuminate	209	
impact on	208	
point to	207	
rise in	207	
have develop	205	
start with	205	
lacanian idea of	204	
associate with	202	
be under	202	
lack	201	
reach	201	
have remain	200	
strengthen	199	
be use as	198	
exist	197	
leave	196	
second present	196	
emerge from	195	
furthermore provide	195	
participate in	195	
observe	194	
be compatible	193	
be consistent with	193	
however suggest	193	
result from	193	
utilize	193	
