"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"immunotherapy","MESH:D007167","Method","in","in","lung cancer","MESH:D008175","Disease","Immunotherapy in Lung Cancer ."
"children","9606","Species","have","have","infantile malignant osteopetrosis","MESH:C564915","Disease","Recently , experience with this treatment has also been favorable with small numbers of children who have Wiskott-Aldrich syndrome , several types of inherited storage diseases , Fanconi 's anemia , thalassemia , infantile malignant osteopetrosis , and selected cases of lymphoma and other solid tumors ."
"patients","9606","Species","undergoing","undergo","thyroidectomy","MESH:D013965","Method","When compared to standard vessel ligation , EVSD use was associated with a lower risk of PNH in patients undergoing thyroidectomy ."
"estrogen","CHEMBL592868","Drug","in","in","women","9606","Species","Estrogen and cognitive functioning in women ."
"diabetic macular edema","MESH:D008269","Disease","Developing","Developing","therapies","MESH:D013812","Method","Diabetic Macular Edema : Current Understanding , Pharmacologic Treatment Options , and Developing Therapies ."
"patients","9606","Species","underwent","undergo","sphincterotomy","MESH:D000074432","Method","Patients who underwent sphincterotomy were divided into dilated group and undilated group based on their common channel diameter ."
"mitotic abnormalities","MESH:C536987","Disease","produce","produce","chromosomal instability","MESH:D043171","Disease","Numerous observations have suggested that mitotic abnormalities produce chromosomal instability and aneuploidy ."
"gastrointestinal endoscopy","MESH:D016099","Method","revealed","reveal","gastritis","MESH:D005756","Disease","Gastrointestinal endoscopy revealed gastritis ."
"colonoscopy","MESH:D003113","Method","revealed","reveal","ulcerative colitis","MESH:D003093","Disease","Peranal bleeding restarted 7 weeks after discharge and colonoscopy revealed ulcerative colitis ."
"esrd","MESH:D007676","Disease","receiving","receive","hemodialysis","MESH:D006435","Method","Ten studies ( 35.7 % ) focused on dietary adherence/non adherence in patients with ESRD and the remaining seven ( 25 % ) articles were descriptive studies on the relationship between depressive symptoms and dietary non adherence in patients with ESRD receiving hemodialysis ."
"mitotic abnormalities","MESH:C536987","Disease","produce","produce","aneuploidy","MESH:D000782","Disease","Numerous observations have suggested that mitotic abnormalities produce chromosomal instability and aneuploidy ."
"pci","MESH:D062645","Method","using","use","bivalirudin","CHEMBL2103749","Drug","MATERIALS AND METHODS : In a multicenter study , blood samples were obtained at six pre-defined time-points in 170 consecutive patients undergoing PCI using bivalirudin ."
"women","9606","Species","undergoing","undergo","gynecological surgery","MESH:D013509","Method","The aim of this study was to systematically analyze the effect of chewing gum on postoperative gastrointestinal function and complications in women undergoing gynecological surgery ."
"dn","MESH:D003928","Disease","independently predicted","independently predict","rrt","MESH:D017582","Method","In an adjusted Cox model , biopsy diagnosed DN independently predicted RRT ( OR 4.43 ; 95 % CI 1.54-12.7 , p = 0.006 ) ."
"mice","10090","Species","bearing","bear","a549 xenografted tumors","MESH:D009369","Disease","The effect of HSPA12B overexpression on chemoresistance in mice bearing A549 xenografted tumors was then determined via stable HSPA12B transfection ."
"hydroxyzine","CHEMBL896","Drug","is","be","cetirizine","CHEMBL1607273","Drug","Hydroxyzine is a first-generation antihistamine and cetirizine , a second-generation antihistamine and active metabolite of hydroxyzine ."
"tnfalpha","7124","Gene","is  of","be   of","tumor","MESH:D009369","Disease","Tumor Necrosis Factor alpha ( TNFalpha ) regulates CD40 expression through SMAR1 phosphorylation ."
"rats","10116","Species","undergoing","undergo","chemotherapy","MESH:D004358","Method","To determine the role of telomerase activity in the growth of tumors in rats undergoing chemotherapy , a comparison of the volumes of telomerase-positive transplantable osteosarcomas was made in rats treated with the antineoplastic agent cis-diammine dichloroplatinum ( CDDP ) or the angiogenesis inhibitor O- ( chloroacetylcarbamoyl ) fumagillol ( AGM-1470 ) ."
"agmatine","CHEMBL58343","Drug","inhibiting","inhibit","morphine dependence","MESH:D009021","Disease","In the present study , we investigated the function of I1 imidazoline receptor and its candidate protein imidazoline receptor antisera-selected ( IRAS ) /Nischarin in morphine dependence as well as in the effect of agmatine inhibiting morphine dependence by pharmacological and molecular approaches ."
"hcg","CHEMBL1201509","Drug","increased","increase","bmp","Proteins","Excipient","HCG decreased gene expression of BMP-2 and increased BMP and activin membrane-bound inhibitor ( BAMBI ) , an antagonist of BMP-2 ."
"patients","9606","Species","received","receive","ac","MESH:D017024","Method","Then , we compared patients who received CCRT and AC ( CCRT + AC group ) with those who received CCRT alone ( CCRT group ) ."
"ifn","CHEMBL2108506","Drug","causes","cause","anorexia","MESH:D000855","Disease","This observation suggests that IFN causes anorexia by modulating the LH and VMH glucose-sensitive neurons ."
"hie","MESH:D007589","Disease","received","receive","th","MESH:D007036","Method","STUDY DESIGN : We conducted a retrospective study of neonates with gestational age ( GA ) & gt ; =35 weeks with HIE who received TH ."
