"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"We","We","Unknown","discuss","discuss","and antagonists","and antagonists","Unknown","We discuss Wnt ligands , agonists , and antagonists , and their interactions with Wnt receptors ."
"Publications","Publications","Unknown","were searched","be search","on EMBASE up to December 30 , 2015","on EMBASE up to December 30 , 2015","Unknown","Publications were searched on Pub Med and EMBASE up to December 30 , 2015 ."
"Matrix Gla protein","Matrix Gla protein","Unknown","regulates","regulate","adipogenesis","adipogenesis","Unknown","Matrix Gla protein regulates adipogenesis and is serum marker of visceral adiposity ."
"the frequencies of hyponatremia","the frequencies of hyponatremia","Unknown","were","be","30.4 % on days 5 of treatment","30.4 % on days 5 of treatment","Unknown","Changes in serum Na levels from baseline were 0.4+-4.1 , -1.1+-4.8 , -4.0+-7.0 , -6.5+-9.1 , and -6.1+-11.2 mEq/L , whereas the frequencies of hyponatremia and severe hyponatremia were 13.6 % , 30.4 % , 50.8 % , 63.5 % , and 66.9 % and 0 % , 8.8 % , 23.3 % , 33.0 % , and 38.8 % on days 1 , 2 , 3 , 4 , and 5 of treatment , respectively ."
"AITC","AITC","Unknown","is","be","a potent anti-human brain malignant glioma drug","a potent anti-human brain malignant glioma drug","Unknown","Our results suggest that AITC is a potent anti-human brain malignant glioma drug and it shows a remarkable action on cell cycle arrest before commitment for apoptosis is reached ."
"We","We","Unknown","tested","test","the hypothesis that response to prednisolone is related to the presence of eosinophilic airway inflammation","the hypothesis that response to prednisolone is related to the presence of eosinophilic airway inflammation","Unknown","We tested the hypothesis that response to prednisolone is related to the presence of eosinophilic airway inflammation ."
"The wild-type ( ATB-wt ) mutants of recombinant acutobin","The wild-type ( ATB-wt ) mutants of recombinant acutobin","Unknown","were prepared","be prepare","from HEK293T","from HEK293T","Unknown","The wild-type ( ATB-wt ) and single glycan-knockout mutants of recombinant acutobin were prepared from HEK293T , demonstrating that mutations at Asn ( 77 ) , Asn ( 81 ) and Asn ( 100 ) impaired the folding while the S79A mutant and various Asn ( 229 ) -deglycosylated mutants were correctly folded ."
"the transformation rate of exogenously supplied","the transformation rate of exogenously supplied","Unknown","was","be","MMA rather slow within 60 days","MMA rather slow within 60 days","Unknown","The exogenously supplied DMA was demethylated into As ( V ) within 30 days , accompanied by a little As ( III ) , while the transformation rate of exogenously supplied MMA was rather slow within 60 days , accompanied by a little As ( III ) and DMA ."
"The photophysical properties of the assemblies","The photophysical properties of the assemblies","Unknown","have been studied","have be study","by both time-resolved fluorescence techniques","by both time-resolved fluorescence techniques","Unknown","The photophysical properties of the assemblies have been studied by both steady-state and time-resolved fluorescence techniques , yielding approximate rates and efficiencies for porphyrin-porphyrin energy transfer ."
"The underlying etiology of the stenosis","The underlying etiology of the stenosis","Unknown","is","be","critical in directing the most effective endobronchial therapy","critical in directing the most effective endobronchial therapy","Unknown","The underlying etiology of the stenosis is critical in directing the most effective and safe endobronchial therapy ."
"The V. sphaerocephala extracts","The V. sphaerocephala extracts","Unknown","showed respectively","show respectively","scavenging activity against ABTS + radicals","scavenging activity against ABTS + radicals","Unknown","The V. sphaerocephala extracts showed scavenging activity against DPPH and ABTS + radicals ( IC50 and 5.83 +- 0.50 and 0.93 +- 0.01 mg/mL , respectively ) as well as relevant antioxidant capacity ( 51.05 +- 0.36 mg of ascorbic acid/g of dry tissue ) ."
