"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"berberine","CHEMBL295124","Drug","is considered","be consider","as the effective component from C. chinensis","as the effective component from C. chinensis","Unknown","CONCLUSIONS : Berberine is considered as the representative and effective component from C. chinensis , but many other chemical components isolated from C. chinensis also have therapeutic effects for the treatment of IBD , which need deep research and further exploration ."
"rats","10116","Species","fed","feed","the HF diet","the HF diet","Unknown","VFA ( particularly acetate and propionate ) were absorbed in very large amounts in rats fed the HF diet ."
"multiple sclerosis","MESH:D009103","Disease","is","be","a demyelinating disease of the central nervous system ( CNS ) of unknown etiology","a demyelinating disease of the central nervous system ( CNS ) of unknown etiology","Unknown","Multiple sclerosis ( MS ) is a demyelinating disease of the central nervous system ( CNS ) of unknown etiology ."
"diagnosis","MESH:D003933","Method","recognize","recognize","the limitations of therapy in each dimension for the nongrowing patient","the limitations of therapy in each dimension for the nongrowing patient","Unknown","Diagnosis should include evaluation of all three dimensions and recognize the limitations of therapy in each dimension for the nongrowing patient ."
"cpfx","CHEMBL8","Drug","is considered","be consider","here as a representative of the fluoroquinolone antibiotics class","here as a representative of the fluoroquinolone antibiotics class","Unknown","CPFX is considered here as a representative of the fluoroquinolone antibiotics class ."
"pramipexole","CHEMBL301265","Drug","upregulates","upregulates","dopamine receptor D3 expression in rat striatum","dopamine receptor D3 expression in rat striatum","Unknown","Pramipexole upregulates dopamine receptor D2 and D3 expression in rat striatum ."
"vascular endothelial growth factor","22339","Gene","serves","serve","an important role in promoting tissue regeneration","an important role in promoting tissue regeneration","Unknown","Vascular endothelial growth factor ( VEGF ) serves an important role in promoting angiogenesis and tissue regeneration ."
"progesterone","CHEMBL103","Chemical","revealed","reveal","no effect","no effect","Unknown","The same amounts of pregnenolone-sulphate and oestrone-sulphate also enhanced the enzymatic activity , while cholesterol-sulphate , free steroids such as DHA , progesterone , cortisol and oestrogens revealed no effect ."
"rats","10116","Species","were exposed","be expose","to 10 ppm SO2 1 hr/day for 6 weeks","to 10 ppm SO2 1 hr/day for 6 weeks","Unknown","Rats were exposed to 10 ppm SO2 1 hr/day , 7 days/week for 6 weeks ."
"insulin","3630","Gene","were measured","be measure","before a 75 g oral glucose tolerance test ( OGTT ) at baseline","before a 75 g oral glucose tolerance test ( OGTT ) at baseline","Unknown","Serum glucose and insulin were measured before and during a 75 g oral glucose tolerance test ( OGTT ) at baseline and after 3 , 6 and 13 cycles and areas under the curve ( AUC ) were calculated ."
"seizures","MESH:D012640","Disease","affect","affect","hormones thereby disturbing reproductive endocrine function","hormones thereby disturbing reproductive endocrine function","Unknown","There is a complex , bidirectional interdependence between sex steroid hormones and epilepsy ; hormones affect seizures , while seizures affect hormones thereby disturbing reproductive endocrine function ."
"patients","9606","Species","living","live","in remote areas","in remote areas","Unknown","BACKGROUND : The recent growth in telehealth has been facilitated by the need to deliver healthcare to patients living in remote or rural areas ."
"amylases","CHEMBL1201648","Chemical","are","be","important hydrolase enzymes , which have been widely used in variety of industrial process such as fermentation industries","important hydrolase enzymes , which have been widely used in variety of industrial process such as fermentation industries","Unknown","Amylases are important hydrolase enzymes , which have been widely used in variety of industrial process such as pharmaceutical , food , and fermentation industries ."
"crp","1401","Gene","of binding","of bind","Fn Ca2+ -bound state","Fn Ca2+ -bound state","Unknown","CRP , in its Ca2+ -bound state , is capable of binding Fn but only at the inflammatory sites and tumors with low pH . CRP , Fn , and the ECM all have been implicated in cancer ."
"yersinia","187410","Species","pestis","pestis","KIM","KIM","Unknown","In this study we defined a new Lcr locus , lcrR , in Yersinia pestis KIM ."
"angiotensin ii","24179","Gene","mediates","mediate","its cellular actions","its cellular actions","Unknown","Angiotensin II ( Ang II ) is the major octapeptide of RAS and mediates its cellular and physiological actions by acting on AT1 and AT2 receptor ."
"actinomycosis","MESH:D000196","Disease","is","be","an uncommon entity caused by an anaerobic bacterium , Actinomyces species","an uncommon entity caused by an anaerobic bacterium , Actinomyces species","Unknown","Actinomycosis is an uncommon entity caused by an anaerobic bacterium , Actinomyces species , most often Actinomyces israelii ."
"p. ginseng","4054","Species","was administered orally","be administer orally","to rats for 7 days","to rats for 7 days","Unknown","P. ginseng was administered orally to rats for 7 days , after which liver microsome samples were prepared and then incubated with diester alkaloids ."
"therapy","MESH:D013812","Method","must be individualised","must be individualise","with careful patient selection","with careful patient selection","Unknown","However , therapy must be individualised , with careful patient selection and minimal surgical morbidity ."
"nicotinamide adenine dinucleotide","CHEMBL1234613","Drug","may support","may support","reparative processes against central nervous system diseases such as multiple sclerosis","reparative processes against central nervous system diseases such as multiple sclerosis","Unknown","Nicotinamide adenine dinucleotide ( NAD + ) is an essential cofactor in numerous metabolic pathways , and so may support protective and reparative processes against central nervous system diseases such as multiple sclerosis ( MS ) ."
"myocardial infarction","MESH:D009203","Disease","increased","increase","AT ( 2 ) in myocytes","AT ( 2 ) in myocytes","Unknown","Myocardial infarction increased AT ( 1 ) and AT ( 2 ) in myocytes and stretch further up-regulated these receptors ."
"primary effusion lymphoma","MESH:D054685","Disease","harbors","harbor","consistent infection by human herpesvirus-8","consistent infection by human herpesvirus-8","Unknown","Primary effusion lymphoma ( PEL ) harbors consistent infection by human herpesvirus-8 , preferentially develops in immunodeficient patients and selectively localizes to the serous body cavities ."
