"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"in vitro","MESH:D066298","LabMethod",NULL,"demonstrate","associated","VEGFR2","3791","Gene","In vitro studies demonstrated that VEGF, via activation of VEGFR2, increased the number of CD133+ CSCs and enhanced their capacity for self-renewal by inducing the expression of Nanog."
"pigs","9823","Species",NULL,"administer","administered","pg/ml","FIDXLM1","LabMethod","Sixteen pigs (25-50 kg) were anesthetized with ketamine and isoflurane in O2, and administered 100 micrograms/kg Escherichia coli lipopolysaccharide i.v. ( Pigs were instrumented for hemodynamic determinations and blood sampling for CGRP assay (pg/ml) from the portal vein (PV) and the pulmonary (PA) and carotid (CA) arteries."
"blood pressure","MESH:D001794","Method",NULL,"increase","induces","injection","MESH:D007267","Method","RESULTS: Ten hours after the endotoxin injection, heart rate (HR) increased noticeably while the mean arterial blood pressure (MAP), left ventricular systolic pressure (LVSP), isovolumetric pressure (IP), myocardial contractility (MC), and the area of p-dp/dtmax vector loop (Lo) were all markedly decreased."
"mouse","10090","Species",NULL,"transduce","decreases","Human immunodeficiency virus type 1","11676","Species","Human immunodeficiency virus type 1-based defective lentiviral vectors (HIV-based vector) efficiently transduce a wide range of mammalian cell types, but little is known with respect to their utility for gene transfer applications involving primary mouse monocytes/macrophages."
"ketamine","CHEMBL742","Drug",NULL,"increase","induces","rapamycin","CHEMBL413","Drug","Additionally, ketamine and extinction exposure increased levels of mTORC1 in the medial prefrontal cortex (mPFC), a region involved in the acquisition and retrieval of extinction, and infusion of the selective mTORC1 inhibitor rapamycin into the mPFC blocked the effects of ketamine on extinction."
"prostaglandin e2","CHEMBL548","Drug",NULL,"stimulate","induces","CFTR","1080","Gene","Using the airway epithelial cell line Calu-3, we investigated the hypothesis that hydrogen peroxide (H2O2), which stimulates anion efflux through CFTR, does so via the production of prostaglandin E2 (PGE2)."
"cancers","MESH:D009369","Disease",NULL,"lose",NULL,"sensitivity","MESH:D012680","Method","Castration-resistant prostate cancers (CRPCs) lose sensitivity to androgen-deprivation therapies but frequently remain dependent on oncogenic transcription driven by the androgen receptor (AR) and its splice variants."
"erythrocytic SOD and catalase","847","Gene",NULL,"therapy","treats","therapy","MESH:D013812","Method","The efficiency of vitamin E therapy in hemodialysis patients was assessed by re-evaluating oxidant and antioxidant status of same patients after supplementation of vitamin E. Vitamin E supplementation caused decrease in serum MDA and increase in levels of serum nitric oxide, vitamin E, vitamin C and activities of erythrocytic SOD and catalase."
"screening","MESH:D008403","Method",NULL,"contain","associated","teicoplanin","CHEMBL4297166","Drug","Clinical isolates of methicillin-resistant Staphylococcus aureus (n = 1070) collected from 63 French general hospitals during June 2000 (n = 1070) were screened initially for reduced susceptibility to glycopeptides (GISA) on brain-heart infusion agar containing teicoplanin 6 mg/L. Glycopeptide MICs were determined for the 145 isolates that grew on the screening plates."
"alzheimer's disease","MESH:D000544","Disease",NULL,"halt",NULL,"disease progression","MESH:D018450","Disease","In this review, the case is made that amyloid-beta peptide in the brain of patients with Alzheimer's disease is a primary cause of the disease and that immunotherapy directed against this peptide has the potential to halt and/or reverse disease progression."
"serotonin","CHEMBL39","Chemical",NULL,"support",NULL,"fluoxetine","CHEMBL153036","Drug","Although the authors observed a greater density of 5-HT1A receptor immunoreactivity in H-Agg hamsters within several areas, it appears to be related to a lack of serotonin release, as supported by further observations of decreased immunoreactive perikarya and 5-HT1A receptors in fluoxetine-treated hamsters."
"CYP2D1","266684","Gene",NULL,"increase","induces","metoprolol","CHEMBL13","Drug","CONCLUSIONS: A low dosage of DM could induce the activity of CYP2D1 in liver and increase the metabolism of metoprolol when exposed for 2 weeks."
"P1825A","p.P1825A;RS#:28937591","ProteinMutation",NULL,"detect",NULL,"proteins","Proteins","Excipient","In the present study, we generated otoferlin fusion proteins containing two of the same amino acid substitutions detected in DFNB9 patients (P1825A in C2F and L1011P in C2D)."
"aciclovir","CHEMBL184","Drug",NULL,"stop",NULL,"ptosis","MESH:C564553","Disease","Ten days after stopping oral aciclovir, she presented with periorbital pain, visual loss, ptosis and complete ophthalmoplegia."
