"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"vitamin b6","CHEMBL1200756","Drug",NULL,"prevention","treats","diseases","MESH:D004194","Disease","The results of large clinical trials with dietary supplementation of folic acid, vitamin B12 and vitamin B6 have shown that this homocysteine-lowering therapy is effective in the secondary prevention of non-fatal strokes, but had no effect in the prevention of fatal cardiovascular diseases."
"estrogen","CHEMBL592868","Drug",NULL,"treatment","treats","vaginitis","MESH:D014627","Disease","Conclusion: This investigation showed that Vagifem is an appropriate medication for the treatment of atrophic vaginitis, which is as effective as vaginal estrogen creams and is more user-friendly."
"terazosin","CHEMBL611","Drug",NULL,"treatment","treats","prostatic hyperplasia","MESH:D011470","Disease","The alpha 1-adrenoceptor antagonists doxazosin and terazosin and the 5 alpha-reductase inhibitor finasteride are used in the treatment of benign prostatic hyperplasia."
"famotidine","CHEMBL902","Drug",NULL,"therapy","treats","peptic ulcer","MESH:D010437","Disease","As the mechanism of action of these new drugs differs from that of the histamine H2-receptor antagonists (H2-blockers), prostaglandin analogs will, whenever possible, be compared with the H2-blockers [cimetidine (Tagamet), ranitidine (Zantac), nizatidine (Axid) and famotidine (Pepcid)], currently the cornerstone of peptic ulcer therapy in this country."
"cisplatin","CHEMBL11359","Drug",NULL,"chemotherapy","treats","cervical cancer","MESH:D002583","Disease","Clinicopathological variables predictive of clinical outcome in patients with FIGO stage Ib2-IIb cervical cancer treated with cisplatin-based neoadjuvant chemotherapy followed by radical hysterectomy."
"clorgyline","CHEMBL8706","Drug",NULL,"treatment","treats","suhx","MESH:D000860","Disease","Clorgyline treatment reduced RV afterload and pulmonary vascular remodelling in SuHx rats, through reduced pulmonary vascular proliferation and oxidative stress."
"gemcitabine","CHEMBL888","Drug",NULL,"treatment","treats","pancreatic cancer","MESH:D010190","Disease","MCT4 inhibition suppressed the in vitro malignant characteristics of pancreatic cancer cells and showed a synergistic effect with gemcitabine treatment."
"valproic acid","CHEMBL109","Drug",NULL,"prevent","treats","hemorrhage","MESH:D006470","Disease","Valproic acid prevents hemorrhage-associated lethality and affects the acetylation pattern of cardiac histones."
"baclofen","CHEMBL701","Drug",NULL,"therapy","treats","syndrome","MESH:D013577","Disease","Although intrathecal baclofen therapy has a good clinical benefit-risk ratio for spinal spasticity, tolerance and the life-threatening withdrawal syndrome present serious problems for its management."
"rosiglitazone","CHEMBL121","Drug",NULL,"treatment","treats","obesity","MESH:D009765","Disease","In vivo, ATGL mRNA and protein are increased by rosiglitazone treatment in white and brown adipose tissue of mice with and without obesity due to high-fat diet or leptin deficiency."
"itraconazole","CHEMBL64391","Drug",NULL,"treat","treats","hemangiomas","MESH:D006391","Disease","We present six cases of infantile hemangiomas successfully treated with oral itraconazole approximately 5 mg/kg per day."
"paclitaxel","CHEMBL428647","Drug",NULL,"therapy","treats","cancer","MESH:D009369","Disease","We encountered a case of inflammatory local recurrence of breast cancer after breast conserving surgery which attained pathological CR after combination therapy with trastuzumab and paclitaxel."
"dox","CHEMBL53463","Drug",NULL,"treatment","treats","cardiotoxicity","MESH:D066126","Disease","Because resistance training (RT)-induced cardioprotection has been observed in other animal models, the objective of this study was to assess the effects of RT during DOX treatment on hemodynamics, arterial baroreflex, cardiac autonomic tone, left ventricular function and oxidative stress in rats with DOX-induced cardiotoxicity."
"estrogen","CHEMBL592868","Drug",NULL,"treatment","treats","diabetes","MESH:D003920","Disease","Risk factors for cholesterol gallstones in humans include obesity, aging, estrogen treatment, pregnancy and diabetes."
"antibiotics","CHEMBL606111","Drug",NULL,"treat","treats","acute kidney injury","MESH:D058186","Disease","He was treated with IV broad spectrum antibiotics, and high volume fluids to prevent rhabdomyolysis-induced acute kidney injury, total parenteral nutrition, topical silver sulfadiazine cream, and Granuflex for severe electrical burns."
"cisplatin","CHEMBL2068237","Drug",NULL,"use","treats","carcinoma","MESH:D002277","Disease","BACKGROUND/AIM: Neoadjuvant chemotherapy (NAC) using 5-FU (5-fluorouracil)/CDDP (cisplatin) is a standard therapy for stage II/III thoracic esophageal squamous cell carcinoma (ESCC) in Japan."
"carboplatin","CHEMBL288376","Drug",NULL,"treat","treats","tumor","MESH:D009369","Disease","The patient was treated by surgery and adjuvant combination chemotherapy of taxol and carboplatin for 6 courses and has been clinically free of tumor for 6 months."
"cisplatin","CHEMBL11359","Drug",NULL,"use","treats","escc","MESH:D002294","Disease","METHODS: An in-vitro model of acquired chemotherapy resistance in esophageal adeno- (EAC) and squamous cell carcinoma (ESCC) cells was used, and microRNA expression profiles for cisplatin or 5-fluorouracil (5-FU) resistant variants vs chemotherapy sensitive controls were compared using microarray and quantitative real-time polymerase chain reaction (PCR)."
"antibiotics","CHEMBL606111","Drug",NULL,"use","treats","syndrome","MESH:D013577","Disease","As for amendments, it was suggested to improve the syndrome differentiation, indications, prescriptions, and add characteristic TCM therapies in Chinese medicine; it was suggested to clarify the time to use antibiotics in Western medicine."
"isonicotinic acid","CHEMBL1203","Drug",NULL,"treat","treats","tuberculosis","MESH:D014376","Disease","[Histological picture of experimental tuberculosis in guinea pig treated with isonicotinic acid hydrazide]."
"oxaliplatin","CHEMBL414804","Drug",NULL,"chemotherapy","treats","portal hypertension","MESH:D006975","Disease","Surgical intervention for portal hypertension caused by oxaliplatin-based chemotherapy: a case report and a review of literature regarding radiological and/or surgical interventions for oxaliplatin-associated portal hypertension."
"levodopa","CHEMBL1009","Drug",NULL,"use","treats","dystonia","MESH:D004421","Disease","After long-term use of levodopa, Parkinson's patients almost inevitably develop dyskinesia, a kind of drug side effect manifesting as uncontrollable choreic movements and dystonia, which could be crippling yet have limited therapeutic options."
"moxifloxacin","CHEMBL32","Drug",NULL,"treatment","treats","respiratory tract infections","MESH:D012141","Disease","Intravenous moxifloxacin in routine hospital treatment of respiratory tract infections in China: results of a multicenter, noninterventional study."
"cocaine","CHEMBL370805","Drug",NULL,"use","treats","moud","MESH:D009293","Disease","PWID on MOUD who are Black or other races than White, as well as those who report recent cocaine or polysubstance use may require additional support to maintain optimal DAA adherence."
"octreotide","CHEMBL1680","Drug",NULL,"use","treats","pmt","MESH:D009369","Disease","To our knowledge, there are no reports of octreotide or peptide receptor radionuclide therapy use for malignant PMT."
"ganirelix acetate","CHEMBL1251","Drug",NULL,"treat","treats","syndrome","MESH:D013577","Disease","Forty-seven patients at high risk for ovarian hyperstimulation syndrome because of markedly elevated serum E2 levels on either long-luteal or microdose flare leuprolide acetate regimens were treated with ganirelix acetate."
