"predicate","relation","count"
"therapy","treats",14846
"use","treats",14498
"treatment","treats",12907
"induce","induces",11180
"associate","associated",9824
"increase","induces",9427
"treat","treats",7751
"show","associated",7545
"effect","associated",7278
"cause","induces",6125
"inhibitor","inhibits",5400
"reduce","decreases",5086
"receive","administered",4961
"evaluate","associated",4826
"chemotherapy","treats",4064
"investigate","compares",4039
"decrease","decreases",4038
"inhibit","inhibits",3961
"assess","associated",3909
"determine","compares",3731
"undergo",NULL,3611
"include","associated",3552
"administration","administered",3403
"find","associated",3282
"identify","associated",3173
"develop","associated",3153
"present","associated",2974
"development","associated",2971
"relate","compares",2920
"demonstrate","associated",2895
"detect",NULL,2836
"sensitivity","treats",2798
"study",NULL,2777
"result","induces",2707
"produce","associated",2662
"observe","associated",2620
"measure","compares",2618
"lead","induces",2602
"compare","compares",2598
"activation","induces",2511
"express",NULL,2482
"suggest","associated",2452
"improve","treats",2397
"examine","compares",2393
"reveal","associated",2378
"prevent","treats",2367
"perform","associated",2328
"involve","associated",2236
"follow",NULL,2083
"target","interacts",2007
"isolate","associated",1970
"reduction","decreases",1913
"inhibition","inhibits",1909
"mediate","decreases",1880
"correlate","compares",1868
"method","method",1841
"report","associated",1795
"analyze","compares",1764
"provide","associated",1741
"indicate","associated",1732
"complication","induces",1693
"occur","associated",1674
"contain","associated",1669
"regulate","interacts",1668
"characterize","compares",1662
"association","associated",1637
"obtain","associated",1579
"stimulate","induces",1570
"test",NULL,1568
"activate","induces",1544
"metabolic","metabolises",1514
"enhance","induces",1496
"promote","treats",1451
"affect","associated",1422
"confirm","associated",1397
"regulation","interacts",1388
"diagnose","treats",1352
"base",NULL,1350
"exhibit","associated",1345
"infect",NULL,1334
"achieve",NULL,1321
"remain",NULL,1313
"interaction","interacts",1279
"contribute","associated",1276
"control",NULL,1263
"suppress","inhibits",1253
"administer","administered",1248
"form","associated",1232
"link","decreases",1219
"bind","interacts",1215
"stimulation","induces",1163
"require","associated",1160
"play","associated",1148
"lower","decreases",1130
"radiotherapy","treats",1117
"block","interacts",1113
"consider","associated",1113
"give","associated",1094
"attenuate","decreases",1094
"prevention","treats",1091
"derive","associated",1068
"establish","associated",1004
"describe","compares",984
"protect","treats",968
"make","associated",930
"predict","compares",924
"encode","associated",897
"evaluation","associated",878
"expose",NULL,865
"combine","associated",864
"comparison","compares",852
"modulate","decreases",828
"apply","treats",821
"metabolism","metabolises",802
"upregulate","induces",747
"see",NULL,741
"know","associated",733
"carry","associated",726
"ameliorate","treats",721
"support",NULL,711
"transform",NULL,695
"consist","associated",679
"display","associated",678
"take",NULL,677
"allow","treats",668
"blockade","interacts",663
"represent","compares",649
"implicate","associated",636
"appear","compares",634
"define","compares",627
"immunotherapy","treats",626
"inject",NULL,622
"accompany","associated",621
"limit","associated",604
"enrol",NULL,600
"generate","associated",589
"prepare","associated",588
"act","interacts",574
"suffer","induces",573
"activator","induces",570
"review",NULL,570
"upregulation","induces",566
"experience",NULL,559
"release",NULL,554
"improvement","treats",539
"exert","decreases",537
"add",NULL,537
"divide",NULL,530
"estimate","compares",526
"admit",NULL,519
"become",NULL,517
"collect",NULL,513
"elicit","induces",513
"comprise","associated",503
"need",NULL,496
"fail",NULL,482
"randomize",NULL,479
"explore","compares",478
"elevate","associated",476
"feed",NULL,474
"facilitate","treats",471
"discuss",NULL,470
"suppressor","inhibits",465
"couple",NULL,462
"influence","associated",457
"impair","associated",450
"conduct",NULL,443
"process","associated",442
"suppression","inhibits",440
"metabolite","metabolises",436
"understand","associated",434
"focus",NULL,426
"alter","associated",421
"modify","associated",418
"synthesize","associated",418
"restore","associated",418
"screen",NULL,414
"reverse",NULL,409
"respond",NULL,404
"alleviate","treats",396
"offer","treats",392
"promoter","treats",382
"maintain",NULL,380
"die",NULL,377
"emerge","associated",374
"diminish","associated",373
"bear",NULL,371
"differ","associated",368
"abolish","inhibits",368
"continue",NULL,364
"interact","interacts",364
"trigger","induces",361
"sensitive","treats",358
"change","decreases",357
"aim","compares",355
"downregulate","decreases",354
"acquire","associated",354
"raise",NULL,353
"yield","associated",353
"record",NULL,349
"assign",NULL,346
"monitor",NULL,346
"enable","treats",343
"approve",NULL,343
"coat",NULL,342
"blocker","interacts",341
"select","associated",338
"convert","associated",336
"overexpress","decreases",332
"confer","decreases",327
"purify",NULL,324
"serve","associated",323
"analyse","compares",323
"deliver",NULL,320
"account","associated",320
"utilize","associated",318
"regulator","interacts",316
"subject",NULL,311
"initiate","induces",310
"recommend","treats",310
"mimic",NULL,310
"grow","associated",309
"introduce","associated",309
"complete",NULL,309
"extract",NULL,307
"recognize","interacts",306
"leave",NULL,305
"tolerate",NULL,304
"manage","treats",299
"participate","associated",294
"propose","associated",291
"catalyze",NULL,291
"start",NULL,290
"assay",NULL,289
"note",NULL,287
"culture",NULL,285
"meet",NULL,282
"help","treats",281
"drive","associated",278
"adjust",NULL,277
"contribution","associated",277
"extend",NULL,277
"load",NULL,276
"sensitize","treats",275
"delay",NULL,274
"incubate",NULL,274
"design",NULL,274
"seem","associated",273
"part of","associated",272
"emphasize","associated",271
"downregulation","decreases",269
"accelerate","treats",268
"transfect",NULL,268
"comparable","compares",266
"recruit",NULL,265
"enhancement","induces",264
"embed",NULL,258
"disruption","inhibits",258
"underlie","decreases",258
"compose","associated",255
"secrete","associated",254
"exacerbate","treats",250
"pharmacotherapy","treats",249
"label",NULL,248
"implant",NULL,245
"reflect","compares",245
"elucidate","compares",244
"match",NULL,244
"prove","associated",243
"range",NULL,243
"explain","associated",241
"quantify","compares",239
"assist","treats",238
"manifest","associated",238
"localize",NULL,236
"incorporate","associated",234
"complicate",NULL,233
"prolong",NULL,233
"attribute","associated",228
"conjugate",NULL,228
"antagonize","inhibits",228
"highlight","associated",227
"reductase","decreases",227
"differentiate",NULL,227
"guide","treats",225
"calculate","compares",225
"inhibitory","inhibits",219
"reach",NULL,217
"document","compares",216
"classify",NULL,215
"discover","associated",213
"compute",NULL,212
"augment","associated",212
"disturbance","inhibits",212
"employ","associated",211
"randomise",NULL,210
"direct",NULL,208
"fix",NULL,206
"constitute","associated",206
"recover",NULL,204
"Therapy",NULL,204
"scan",NULL,203
"exclude",NULL,202
"possess","associated",202
"verify","compares",199
"lack",NULL,198
"vomit",NULL,197
"characterise","compares",197
"lose",NULL,195
"distinguish","compares",195
"chemoradiotherapy","treats",195
"Prevention",NULL,194
"optimize","treats",190
"age",NULL,189
"arise","associated",188
"mean",NULL,187
"side effect","induces",187
"supplement",NULL,186
"depend","associated",185
"react","interacts",185
"prescribe","treats",180
"avoid","treats",179
"slow",NULL,179
"precede","compares",179
"circulate",NULL,179
"challenge",NULL,178
"counteract","treats",177
"refer",NULL,176
"degrade","associated",175
"deem",NULL,175
"sustain","associated",174
"stain",NULL,174
"separate",NULL,173
"place",NULL,172
"cleave","interacts",170
"evoke","induces",170
"share","associated",168
"potentiate","induces",168
"Use",NULL,167
"choose","associated",165
"repress",NULL,164
"allocate",NULL,163
"clarify","compares",161
"function",NULL,158
"monotherapy","treats",157
"set",NULL,157
"designate",NULL,157
"Associated","associated",156
"evidence",NULL,156
"suspect",NULL,156
"burn",NULL,155
"hospitalize",NULL,154
"locate","associated",152
"pretreat",NULL,152
"evolve","associated",152
"enter",NULL,151
"aid","treats",150
"live",NULL,150
"create","associated",149
"correct",NULL,149
"exist","associated",148
"program",NULL,147
"stabilize","inhibits",146
"enrich",NULL,146
"render","associated",146
"decline","decreases",146
"correspond","compares",145
"retain","associated",145
"clone","associated",144
"replace","associated",144
"address",NULL,143
"impact","associated",142
"pemetrex",NULL,142
"vary","associated",141
"think",NULL,137
"construct",NULL,137
"mutate",NULL,136
"overcome",NULL,136
"transplant",NULL,134
"seek","associated",134
"deplete",NULL,131
"entrap",NULL,131
"therapeutic",NULL,131
"operate",NULL,130
"begin",NULL,129
"complain",NULL,128
"encounter",NULL,127
"mitigate","treats",126
"coincide","compares",126
"stem",NULL,124
"Association",NULL,124
"abrogate","inhibits",124
"relieve","treats",124
"accumulate","associated",123
"remove",NULL,122
"inherit",NULL,122
"owe",NULL,122
"benefit",NULL,122
"vaccinate",NULL,122
"immunize",NULL,121
"interfere","inhibits",120
"resemble","compares",120
"combat",NULL,118
