"ent_str","ent_id","ent_type","count"
"American","American","NORP",747
"Earth","Earth","LOC",470
"the United States","the United States","GPE",409
"Xavier","Xavier","PERSON",403
"Ph.D.","Ph.D.","WORK_OF_ART",396
"British","British","NORP",359
"London","London","GPE",354
"Russian","Russian","NORP",322
"Einstein","Einstein","PERSON",321
"Doctor","Doctor","PERSON",307
"German","German","NORP",283
"New York","New York","GPE",276
"Soviet","Soviet","NORP",270
"Peter","Peter","PERSON",250
"English","English","LANGUAGE",250
"India","India","GPE",238
"Germany","Germany","GPE",236
"Australia","Australia","GPE",230
"Russia","Russia","GPE",228
"England","England","GPE",226
"France","France","GPE",221
"Asimov","Asimov","PERSON",218
"Moscow","Moscow","GPE",210
"Paris","Paris","GPE",206
"Batman","Batman","PERSON",200
"Galileo","Galileo","PERSON",197
"Cambridge","Cambridge","GPE",195
"New Zealand","New Zealand","GPE",194
"Thatcher","Thatcher","PERSON",190
"French","French","NORP",189
"Britain","Britain","GPE",182
"California","California","GPE",170
"World War II","World War II","EVENT",168
"Europe","Europe","LOC",164
"Richardson","Richardson","PERSON",164
"Clarke","Clarke","PERSON",153
"Humboldt","Humboldt","PERSON",149
"Jewish","Jewish","NORP",138
"China","China","GPE",137
"Canada","Canada","GPE",134
"Indian","Indian","NORP",133
"New York City","New York City","GPE",133
"Korolev","Korolev","PERSON",131
"Australian","Australian","NORP",130
"Spider-Man","Spider-Man","WORK_OF_ART",127
"Avicenna","Avicenna","PERSON",123
"Summers","Summers","PERSON",122
"Magneto","Magneto","PERSON",121
"Washington","Washington","GPE",119
"Harvard University","Harvard University","ORG",118
"Harvard","Harvard","ORG",118
"Superman","Superman","PERSON",118
"Columbia University","Columbia University","ORG",112
"today","today","DATE",110
"the Soviet Union","the Soviet Union","GPE",109
"Keely","Keely","PERSON",109
"Fuller","Fuller","PERSON",108
"Brazil","Brazil","GPE",108
"Oxford","Oxford","GPE",105
"European","European","NORP",105
"Chicago","Chicago","GPE",104
"Banner","Banner","PERSON",104
"Israel","Israel","GPE",104
"Spanish","Spanish","NORP",101
"Berlin","Berlin","GPE",100
"two years","two years","DATE",100
"Ivins","Ivins","PERSON",98
"Spider-Man","Spider-Man","PERSON",98
"Phoenix","Phoenix","GPE",97
"United States","United States","GPE",97
"Synod","Synod","ORG",95
"Clynes","Clynes","PERSON",94
"Thawne","Thawne","PERSON",94
"the University of Cambridge","the University of Cambridge","ORG",94
"Chinese","Chinese","NORP",94
"Italy","Italy","GPE",94
"Freeze","Freeze","PERSON",93
"Smith","Smith","PERSON",91
"America","America","GPE",91
"Massachusetts","Massachusetts","GPE",89
"Texas","Texas","GPE",89
"Spain","Spain","GPE",89
"New Jersey","New Jersey","GPE",88
"Pennsylvania","Pennsylvania","GPE",88
"Manhattan","Manhattan","GPE",87
"the United Kingdom","the United Kingdom","GPE",86
"Lehrer","Lehrer","PERSON",85
"Islamic","Islamic","NORP",84
"Boston","Boston","GPE",84
"Brian","Brian","PERSON",83
"seven","seven","CARDINAL",83
"Japan","Japan","GPE",82
"Stanford University","Stanford University","ORG",82
"Brown","Brown","PERSON",81
"Dirac","Dirac","PERSON",81
"Switzerland","Switzerland","GPE",80
"Cornell University","Cornell University","ORG",80
"University","University","ORG",79
"Young","Young","PERSON",79
"the same year","the same year","DATE",78
"Lawrence","Lawrence","PERSON",78
"Italian","Italian","NORP",77
"Christian","Christian","NORP",76
"Dickinson","Dickinson","PERSON",76
"Wolverine","Wolverine","PERSON",75
"Dutch","Dutch","NORP",74
"Jean Grey","Jean Grey","PERSON",73
"the National Academy of Sciences","the National Academy of Sciences","ORG",73
"Greek","Greek","NORP",73
"Armstrong","Armstrong","PERSON",71
"a year","a year","DATE",71
"eight","eight","CARDINAL",71
"Philadelphia","Philadelphia","GPE",71
"the Royal Society","the Royal Society","ORG",70
"Mexico","Mexico","GPE",70
"Sivana","Sivana","PERSON",70
"Capaldi","Capaldi","PERSON",70
"African","African","NORP",70
"Sexton","Sexton","PERSON",69
"many years","many years","DATE",69
"Maestlin","Maestlin","PERSON",69
"Cyclops","Cyclops","PERSON",68
"Espejo","Espejo","PERSON",68
"Brazilian","Brazilian","NORP",67
"Africa","Africa","LOC",67
"the University of Chicago","the University of Chicago","ORG",67
"the American Association for the Advancement of Science","the American Association for the Advancement of Science","ORG",66
"Debye","Debye","PERSON",66
"Parliament","Parliament","ORG",66
"Humboldt","Humboldt","ORG",66
"Florida","Florida","GPE",66
"Barry","Barry","PERSON",65
"Baker","Baker","PERSON",65
"Rossello","Rossello","PERSON",65
"Canadian","Canadian","NORP",65
"Thompson","Thompson","PERSON",65
"Netherlands","Netherlands","GPE",65
"Los Angeles","Los Angeles","GPE",64
"Marvel","Marvel","ORG",64
"three years","three years","DATE",64
"Baltimore","Baltimore","GPE",63
"World War I","World War I","EVENT",63
"Charles","Charles","PERSON",63
"Princeton University","Princeton University","ORG",63
"South Africa","South Africa","GPE",62
"Giganta","Giganta","PERSON",62
"Meyer","Meyer","PERSON",62
"Harvard Medical School","Harvard Medical School","ORG",62
"Luzhkov","Luzhkov","PERSON",61
"Virginia","Virginia","GPE",61
"Ter-Petrosyan","Ter-Petrosyan","PERSON",61
"Malthus","Malthus","PERSON",60
"Reilly","Reilly","PERSON",60
"Philippines","Philippines","GPE",60
"Scotland","Scotland","GPE",60
"Puerto Rico","Puerto Rico","GPE",59
"Poland","Poland","GPE",59
"Presbytery","Presbytery","ORG",59
"Sydney","Sydney","GPE",59
"Catholic","Catholic","NORP",59
"Polish","Polish","NORP",59
"Parker","Parker","PERSON",59
"years","years","DATE",59
"Richards","Richards","PERSON",59
"Sweden","Sweden","GPE",58
"Maryland","Maryland","GPE",58
"the 1970s","the 1970s","DATE",57
"several years","several years","DATE",57
"Miller","Miller","PERSON",57
"Israeli","Israeli","NORP",57
"Japanese","Japanese","NORP",57
"Armenia","Armenia","GPE",56
"the Swamp Thing","the Swamp Thing","WORK_OF_ART",56
"Muller","Muller","PERSON",55
"the University of Michigan","the University of Michigan","ORG",55
"the Phoenix Force","the Phoenix Force","ORG",55
"Denmark","Denmark","GPE",55
"Latin","Latin","LANGUAGE",55
"Congress","Congress","ORG",54
"Alberti","Alberti","PERSON",54
"Marconi","Marconi","PERSON",53
"Yale University","Yale University","ORG",53
"Americans","Americans","NORP",52
"Vienna","Vienna","GPE",52
"the University of California, Berkeley","the University of California, Berkeley","ORG",52
"Gallifrey","Gallifrey","PERSON",52
"Doctor Manhattan","Doctor Manhattan","PERSON",52
"Humboldt","Humboldt","LOC",52
"Johns Hopkins University","Johns Hopkins University","ORG",52
"Elliott","Elliott","PERSON",52
"DC Comics","DC Comics","ORG",51
"Georgia","Georgia","GPE",51
