"ent_str","ent_id","ent_type","count"
"university","http://www.wikidata.org/entity/Q917874","Language",4131
"school","http://www.wikidata.org/entity/Q98399111","Language",2059
"professor","http://www.wikidata.org/entity/Q37226","Profession",1958
"doctor","http://www.wikidata.org/entity/Q96633923","Award",1880
"member","http://www.wikidata.org/entity/Q59820617","Award",1385
"director","http://www.wikidata.org/entity/Q5280518","Profession",1077
"director","http://www.wikidata.org/entity/Q1162163","Profession",1077
"director","http://www.wikidata.org/entity/Q3387717","Profession",1077
"director","http://www.wikidata.org/entity/Q2824523","Profession",1077
"director","http://www.wikidata.org/entity/Q2526255","Profession",1077
"director","http://www.wikidata.org/entity/Q3455803","Profession",1077
"director","http://www.wikidata.org/entity/Q2493761","Profession",1077
"president","http://www.wikidata.org/entity/Q4376769","Award",1056
"president","http://www.wikidata.org/entity/Q61061","Award",1056
"fellow","http://www.wikidata.org/entity/Q10519151","Award",808
"fellow","http://www.wikidata.org/entity/Q1404101","Award",808
"award","http://www.wikidata.org/entity/Q66744316","Award",775
"scientist","http://www.wikidata.org/entity/Q901","Profession",702
"the doctor","http://www.wikidata.org/entity/Q34358","Person",618
"march","http://www.wikidata.org/entity/Q611694","Award",609
"the united states","http://www.wikidata.org/entity/Q30","Country",571
"degree","http://www.wikidata.org/entity/Q189533","Award",518
"degree","http://www.wikidata.org/entity/Q6008527","Award",518
"position","http://www.wikidata.org/entity/Q11488158","Award",517
"position","http://www.wikidata.org/entity/Q7810129","Award",517
"position","http://www.wikidata.org/entity/Q11488158","Profession",517
"russian","http://www.wikidata.org/entity/Q7737","Language",514
"academic","http://www.wikidata.org/entity/Q3400985","Profession",456
"author","http://www.wikidata.org/entity/Q36180","Profession",400
"doctor","http://www.wikidata.org/entity/Q4618975","Profession",376
"doctor","http://www.wikidata.org/entity/Q34358","Person",376
"doctor","http://www.wikidata.org/entity/Q4618975","Award",376
"spider-man","http://www.wikidata.org/entity/Q79037","Person",368
"spider-man","http://www.wikidata.org/entity/Q2343504","Person",368
"computer","http://www.wikidata.org/entity/Q11202952","Profession",362
"change","http://www.wikidata.org/entity/Q5071694","Language",360
"scientists","http://www.wikidata.org/entity/Q901","Profession",355
"chief","http://www.wikidata.org/entity/Q20920693","Profession",351
"chief","http://www.wikidata.org/entity/Q1162163","Profession",351
"academy of sciences","http://www.wikidata.org/entity/Q414147","Scientific Society",349
