"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"the family","the family","Unknown","moved","move","to Munich In 1880","to Munich In 1880","Unknown","In 1880 , the family moved to Munich , where Einstein 's father and his uncle Jakob founded `` Elektrotechnische Fabrik J. Einstein & amp ; Cie '' , a company that manufactured electrical equipment based on direct current ."
"uncle Jakob Elektrotechnische Fabrik J. Einstein & amp","uncle Jakob Elektrotechnische Fabrik J. Einstein & amp","Unknown","is  of","be   of","Munich","Munich","Unknown","In 1880 , the family moved to Munich , where Einstein 's father and his uncle Jakob founded `` Elektrotechnische Fabrik J. Einstein & amp ; Cie '' , a company that manufactured electrical equipment based on direct current ."
"Einstein 's `` Zur Elektrodynamik bewegter Körper","Einstein 's `` Zur Elektrodynamik bewegter Körper","Unknown","was published","be publish","26 September of same that year","26 September of same that year","Unknown","Einstein 's `` Zur Elektrodynamik bewegter Körper '' ( `` On the Electrodynamics of Moving Bodies '' ) was received on 30 June 1905 and published 26 September of that same year ."
"the citation","the citation","Unknown","does not treat","doe not treat","even the cited photoelectric work as an `` explanation '' but merely as a `` discovery of the law","even the cited photoelectric work as an `` explanation '' but merely as a `` discovery of the law","Unknown","While the general theory of relativity was still considered somewhat controversial , the citation also does not treat even the cited photoelectric work as an `` explanation '' but merely as a `` discovery of the law '' , as the idea of photons was considered outlandish and did not receive universal acceptance until the 1924 derivation of the Planck spectrum by S. N. Bose ."
"a secretary Betty Neumann","a secretary Betty Neumann","Unknown","is the niece of","be the niece of","a close friend","a close friend","Unknown","In 1923 , Einstein fell in love with a secretary named Betty Neumann , the niece of a close friend , Hans Mühsam ."
"Einstein , along with other refugees such as Eugene Wigner","Einstein , along with other refugees such as Eugene Wigner","Unknown","regarded","regard","it as their responsibility","it as their responsibility","Unknown","Einstein and Szilárd , along with other refugees such as Edward Teller and Eugene Wigner , `` regarded it as their responsibility to alert Americans to the possibility that German scientists might win the race to build an atomic bomb , and to warn that Hitler would be more than willing to resort to such a weapon . ''"
"Einstein","Einstein","Unknown","displayed","display","a deep love of the music","a deep love of the music","Unknown","What struck the examiner , writes Botstein , was that Einstein `` displayed a deep love of the music , a quality that was and remains in short supply ."
"Locker-Lampson","Locker-Lampson","Unknown","took Einstein to meet","take Einstein to meet","former Prime Minister Lloyd George","former Prime Minister Lloyd George","Unknown","Locker-Lampson took Einstein to meet Winston Churchill at his home , and later , Austen Chamberlain and former Prime Minister Lloyd George ."
"Einstein","Einstein","Unknown","said","say","to his old friend In 1954","to his old friend In 1954","Unknown","In 1954 , a year before his death , Einstein said to his old friend , Linus Pauling , `` I made one great mistake in my life—when I signed the letter to President Roosevelt recommending that atom bombs be made ; but there was some justification—the danger that the Germans would make them ... '' In 1955 , Einstein and ten other intellectuals and scientists , including British philosopher Bertrand Russell , signed a manifesto highlighting the danger of nuclear weapons ."
"World War I","World War I","Unknown","broke out","break out","that year","that year","Unknown","As World War I broke out that year , the plan for Kaiser Wilhelm Institute for Physics was aborted ."
"I","I","Unknown","am","be","that is no other possible way of eliminating the most terrible danger","that is no other possible way of eliminating the most terrible danger","Unknown","He wrote `` I advocate world government because I am convinced that there is no other possible way of eliminating the most terrible danger in which man has ever found himself . ''"
"him","him","Unknown","assimilate","assimilate","into German culture","into German culture","Unknown","His mother played the piano reasonably well and wanted her son to learn the violin , not only to instill in him a love of music but also to help him assimilate into German culture ."
"He","He","Unknown","clarified","clarify","however","however","Unknown","He clarified , however , that `` I am not an atheist '' , preferring to call himself an agnostic , or a `` deeply religious nonbeliever '' ."
"Einstein","Einstein","Unknown","showed","show","that Max Planck 's energy quanta must have well-defined momenta in an earlier 1909 paper","that Max Planck 's energy quanta must have well-defined momenta in an earlier 1909 paper","Unknown","In `` Über die Entwicklung unserer Anschauungen über das Wesen und die Konstitution der Strahlung '' ( `` '' ) , on the quantization of light , and in an earlier 1909 paper , Einstein showed that Max Planck 's energy quanta must have well-defined momenta and act in some respects as independent , point-like particles ."
"he","he","Unknown","expressed","express","happiness that the Jewish people were beginning to be recognized as a force in the world In Einstein 's talk to the audience","happiness that the Jewish people were beginning to be recognized as a force in the world In Einstein 's talk to the audience","Unknown","In Einstein 's talk to the audience , he expressed happiness that the Jewish people were beginning to be recognized as a force in the world ."
