"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"naval officer","http://www.wikidata.org/entity/Q10669499","Profession","had become","have become","einstein","Einstein","PERSON","In late July 1933 , he went to England for about six weeks at the personal invitation of British naval officer Commander Oliver Locker-Lampson , who had become friends with Einstein in the preceding years ."
"diploma","http://www.wikidata.org/entity/Q217577","Award","naming","name","member","http://www.wikidata.org/entity/Q59820617","Award","Einstein visited Spain for two weeks in 1923 , where he briefly met Santiago Ramón y Cajal and also received a diploma from King Alfonso XIII naming him a member of the Spanish Academy of Sciences ."
"einstein","Einstein","ORG","asked","ask","german","http://www.wikidata.org/entity/Q188","Language","Einstein asked them to help bring Jewish scientists out of Germany ."
"gandhi","Gandhi","PERSON","met","meet","leader","http://www.wikidata.org/entity/Q978044","Profession","Sundaram was Gandhi 's disciple and special envoy , whom Wilfrid Israel met while visiting India and visiting the Indian leader 's home in 1925 ."
"wilfrid israel","Wilfrid Israel","PERSON","took his Indian guest to meet","take his Indian guest to meet","summer","summer","DATE","The initial connection was established on 27 September 1931 , when Wilfrid Israel took his Indian guest V. A. Sundaram to meet his friend Einstein at his summer home in the town of Caputh ."
"alfred kleiner","Alfred Kleiner","PERSON","recommended","recommend","university","http://www.wikidata.org/entity/Q917874","Language","The following year , after he gave a lecture on electrodynamics and the relativity principle at the University of Zurich , Alfred Kleiner recommended him to the faculty for a newly created professorship in theoretical physics ."
"einstein","Einstein","PERSON","wrote","write","philosopher","http://www.wikidata.org/entity/Q4964182","Profession","In a German-language letter to philosopher Eric Gutkind , dated 3 January 1954 , Einstein wrote : The word God is for me nothing more than the expression and product of human weaknesses , the Bible a collection of honorable , but still primitive legends which are nevertheless pretty childish ."
"german","http://www.wikidata.org/entity/Q188","Language","had passed","have pass","position","http://www.wikidata.org/entity/Q11488158","Award","In April 1933 , Einstein discovered that the new German government had passed laws barring Jews from holding any official positions , including teaching at universities ."
"member","http://www.wikidata.org/entity/Q59820617","Award","included","include","professor","http://www.wikidata.org/entity/Q37226","Profession","Membership in the academy included paid salary and professorship without teaching duties at Humboldt University of Berlin ."
"einstein","Einstein","PERSON","proposed","propose","model","http://www.wikidata.org/entity/Q1630100","Profession","In 1907 , Einstein proposed a model of matter where each atom in a lattice structure is an independent harmonic oscillator ."
"einstein","Einstein","ORG","visited","visit","march","http://www.wikidata.org/entity/Q611694","Award","In the months of March and April 1925 , Einstein visited South America , where he spent about a month in Argentina , a week in Uruguay , and a week in Rio de Janeiro , Brazil ."
"german","German","NORP","had passed","have pass","position","http://www.wikidata.org/entity/Q11488158","Profession","In April 1933 , Einstein discovered that the new German government had passed laws barring Jews from holding any official positions , including teaching at universities ."
"gandhi","Gandhi","PERSON","visiting","visit","india","http://www.wikidata.org/entity/Q668","Country","Sundaram was Gandhi 's disciple and special envoy , whom Wilfrid Israel met while visiting India and visiting the Indian leader 's home in 1925 ."
"einstein","Einstein","PERSON","explored","explore","model","http://www.wikidata.org/entity/Q1630100","Profession","In a hitherto overlooked manuscript , apparently written in early 1931 , Einstein explored a model of the expanding universe in which the density of matter remains constant due to a continuous creation of matter , a process he associated with the cosmological constant ."
"planck","Planck","PERSON","visited him the next week to persuade additionally","visit him the next week to persuade additionally","director","http://www.wikidata.org/entity/Q1162163","Profession","Max Planck and Walther Nernst visited him the next week in Zurich to persuade him to join the academy , additionally offering him the post of director at the Kaiser Wilhelm Institute for Physics , which was soon to be established ."
"german","http://www.wikidata.org/entity/Q188","Language","praised","praise","einstein","Einstein","ORG","In his place , the banquet speech was made by a German diplomat , who praised Einstein not only as a scientist but also as an international peacemaker and activist ."
"einstein","Einstein","PERSON","was","be","physicists","http://www.wikidata.org/entity/Q169470","Profession","Albert Einstein ( ; ; 14 March 1879 – 18 April 1955 ) was a German-born theoretical physicist , widely acknowledged to be one of the greatest physicists of all time ."
"max born","Max Born","PERSON","had emigrated","have emigrate","germany","Germany","GPE","In a subsequent letter to physicist and friend Max Born , who had already emigrated from Germany to England , Einstein wrote , `` ... I must confess that the degree of their brutality and cowardice came as something of a surprise . ''"
