"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"einstein","Einstein","PERSON","thought","think","that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field","that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field","Unknown","Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
"einstein","Einstein","ORG","became","become","an American citizen in 1940","an American citizen in 1940","Unknown","Einstein became an American citizen in 1940 ."
"lincoln","Lincoln","ORG","was","be","the first university in the United States","the first university in the United States","Unknown","Lincoln was the first university in the United States to grant college degrees to African Americans ; alumni include Langston Hughes and Thurgood Marshall ."
"einstein","http://www.wikidata.org/entity/Q937","Person","had paid","have pay","the college tuition for a black student once","the college tuition for a black student once","Unknown","A resident of Princeton recalls that Einstein had once paid the college tuition for a black student ."
"einstein","Einstein","ORG","surrendered","surrender","his passport","his passport","Unknown","Upon landing in Antwerp , Belgium on 28 March , Einstein immediately went to the German consulate and surrendered his passport , formally renouncing his German citizenship ."
"einstein","Einstein","ORG","tried to refute unsuccessfully","try to refute unsuccessfully","the accepted interpretation of quantum physics","the accepted interpretation of quantum physics","Unknown","During this period , Einstein tried to develop a unified field theory and to refute the accepted interpretation of quantum physics , both unsuccessfully ."
"einstein","http://www.wikidata.org/entity/Q937","Person","visited","visit","Lincoln University in Pennsylvania In 1946","Lincoln University in Pennsylvania In 1946","Unknown","In 1946 Einstein visited Lincoln University in Pennsylvania , a historically black college , where he was awarded an honorary degree ."
"the us","http://www.wikidata.org/entity/Q30","Country","entered the `` race to develop the bomb drawing","enter the ` ` race to develop the bomb draw","on its `` immense financial resources to initiate the Manhattan Project","on its `` immense financial resources to initiate the Manhattan Project","Unknown","Some say that as a result of Einstein 's letter and his meetings with Roosevelt , the US entered the `` race '' to develop the bomb , drawing on its `` immense material , financial , and scientific resources '' to initiate the Manhattan Project ."
"einstein","http://www.wikidata.org/entity/Q937","Person","abandoned","abandon","his static model of the universe Following the discovery of the recession of the nebulae by Edwin Hubble in 1929","his static model of the universe Following the discovery of the recession of the nebulae by Edwin Hubble in 1929","Unknown","Following the discovery of the recession of the nebulae by Edwin Hubble in 1929 , Einstein abandoned his static model of the universe , and proposed two dynamic models of the cosmos , The Friedmann-Einstein universe of 1931 and the Einstein–de Sitter universe of 1932 ."
"einstein","http://www.wikidata.org/entity/Q937","Person","framed","frame","special relativity originally","special relativity originally","Unknown","Einstein originally framed special relativity in terms of kinematics ( the study of moving bodies ) ."
"einstein","Einstein","ORG","tried","try","to refute the accepted interpretation of quantum physics , both unsuccessfully During this period","to refute the accepted interpretation of quantum physics , both unsuccessfully During this period","Unknown","During this period , Einstein tried to develop a unified field theory and to refute the accepted interpretation of quantum physics , both unsuccessfully ."
"einstein","Einstein","ORG","attempted to generalize","attempt to generalize","his theory of gravitation to include electromagnetism as aspects of a single entity","his theory of gravitation to include electromagnetism as aspects of a single entity","Unknown","Following his research on general relativity , Einstein attempted to generalize his theory of gravitation to include electromagnetism as aspects of a single entity ."
"einstein","http://www.wikidata.org/entity/Q937","Person","attempted to generalize","attempt to generalize","his theory of gravitation to include electromagnetism as aspects of a single entity","his theory of gravitation to include electromagnetism as aspects of a single entity","Unknown","Following his research on general relativity , Einstein attempted to generalize his theory of gravitation to include electromagnetism as aspects of a single entity ."
"einstein","Einstein","PERSON","was","be","wrong about local realism","wrong about local realism","Unknown","Although Einstein was wrong about local realism , his clear prediction of the unusual properties of its opposite , entangled quantum states , has resulted in the EPR paper becoming among the top ten papers published in `` Physical Review '' ."
"einstein","http://www.wikidata.org/entity/Q937","Person","attempted","attempt","to generalize his theory of gravitation Following his research on general relativity","to generalize his theory of gravitation Following his research on general relativity","Unknown","Following his research on general relativity , Einstein attempted to generalize his theory of gravitation to include electromagnetism as aspects of a single entity ."
"einstein","Einstein","ORG","clashed","clash","with the authorities","with the authorities","Unknown","His father intended for him to pursue electrical engineering , but Einstein clashed with the authorities and resented the school 's regimen and teaching method ."
"einstein","Einstein","PERSON","had","have","some one-shot collaborations with various scientists","some one-shot collaborations with various scientists","Unknown","In addition to longtime collaborators Leopold Infeld , Nathan Rosen , Peter Bergmann and others , Einstein also had some one-shot collaborations with various scientists ."
"einstein","Einstein","ORG","traveled","travel","to California next","to California next","Unknown","Einstein next traveled to California , where he met Caltech president and Nobel laureate Robert A. Millikan ."
"einstein","http://www.wikidata.org/entity/Q937","Person","wrote","write","a short letter to Gandhi During the visit","a short letter to Gandhi During the visit","Unknown","During the visit , Einstein wrote a short letter to Gandhi that was delivered to him through his envoy , and Gandhi responded quickly with his own letter ."
"einstein","Einstein","ORG","published","publish","an article in `` Physikalische Zeitschrift the possibility of stimulated emission","an article in `` Physikalische Zeitschrift the possibility of stimulated emission","Unknown","In 1917 , at the height of his work on relativity , Einstein published an article in `` Physikalische Zeitschrift '' that proposed the possibility of stimulated emission , the physical process that makes possible the maser and the laser ."
"einstein","Einstein","ORG","to be","to be","a character witness for Du Bois","a character witness for Du Bois","Unknown","When Einstein offered to be a character witness for Du Bois , the judge decided to drop the case ."
"einstein","http://www.wikidata.org/entity/Q937","Person","was","be","that so well known in America that he would be stopped on the street by people","that so well known in America that he would be stopped on the street by people","Unknown","In the period before World War II , `` The New Yorker '' published a vignette in their `` The Talk of the Town '' feature saying that Einstein was so well known in America that he would be stopped on the street by people wanting him to explain `` that theory '' ."
"einstein","Einstein","ORG","returned","return","to quantum mechanics , in particular to the question of its completeness In 1935","to quantum mechanics , in particular to the question of its completeness In 1935","Unknown","In 1935 , Einstein returned to quantum mechanics , in particular to the question of its completeness , in the `` EPR paper '' ."
"einstein","http://www.wikidata.org/entity/Q937","Person","considered","consider","a steady-state model of the universe shortly after learning of Hubble 's observations of the recession of the nebulae","a steady-state model of the universe shortly after learning of Hubble 's observations of the recession of the nebulae","Unknown","In late 2013 , a team led by the Irish physicist Cormac O'Raifeartaigh discovered evidence that , shortly after learning of Hubble 's observations of the recession of the nebulae , Einstein considered a steady-state model of the universe ."
"einstein","http://www.wikidata.org/entity/Q937","Person","published","publish","his own articles describing its implications","his own articles describing its implications","Unknown","Einstein also published his own articles describing the model and its implications , among them the Bose–Einstein condensate phenomenon that some particulates should appear at very low temperatures ."
"thousands","thousands","CARDINAL","came","come","to watch the Imperial Palace","to watch the Imperial Palace","Unknown","After his first public lecture , he met the emperor and empress at the Imperial Palace , where thousands came to watch ."
"einstein","Einstein","ORG","to adopted","to adopt","stepdaughters Margot","stepdaughters Margot","Unknown","While traveling , Einstein wrote daily to his wife Elsa and adopted stepdaughters Margot and Ilse ."
"einstein","Einstein","PERSON","to finish","to finish","his studies at the Luitpold Gymnasium","his studies at the Luitpold Gymnasium","Unknown","When the family moved to Pavia , Einstein , then 15 , stayed in Munich to finish his studies at the Luitpold Gymnasium ."
"einstein","http://www.wikidata.org/entity/Q937","Person","predicted","predict","the phenomena of gravitational redshift In the same article","the phenomena of gravitational redshift In the same article","Unknown","In the same article , Einstein also predicted the phenomena of gravitational time dilation , gravitational redshift and deflection of light ."
"einstein","http://www.wikidata.org/entity/Q937","Person","renounced his citizenship to avoid","renounce his citizenship to avoid","military service","military service","Unknown","In January 1896 , with his father 's approval , Einstein renounced his citizenship in the German Kingdom of Württemberg to avoid military service ."
"einstein","Einstein","PERSON","attempted to generalize","attempt to generalize","his theory of gravitation to include electromagnetism as aspects of a single entity","his theory of gravitation to include electromagnetism as aspects of a single entity","Unknown","Following his research on general relativity , Einstein attempted to generalize his theory of gravitation to include electromagnetism as aspects of a single entity ."
"einstein","Einstein","ORG","to give","to give","judgments on matters often unrelated to theoretical physics","judgments on matters often unrelated to theoretical physics","Unknown","Einstein offered and was called on to give judgments and opinions on matters often unrelated to theoretical physics or mathematics ."
"einstein","http://www.wikidata.org/entity/Q937","Person","visited","visit","South America In the months of March 1925","South America In the months of March 1925","Unknown","In the months of March and April 1925 , Einstein visited South America , where he spent about a month in Argentina , a week in Uruguay , and a week in Rio de Janeiro , Brazil ."
"einstein","Einstein","ORG","took up","take up","a position at the Institute for Advanced Study In October 1933","a position at the Institute for Advanced Study In October 1933","Unknown","In October 1933 , Einstein returned to the US and took up a position at the Institute for Advanced Study , noted for having become a refuge for scientists fleeing Nazi Germany ."
"einstein","Einstein","ORG","was taken","be take","to various events , including Chinatown After arriving in New York City","to various events , including Chinatown After arriving in New York City","Unknown","After arriving in New York City , Einstein was taken to various places and events , including Chinatown , a lunch with the editors of `` The New York Times '' , and a performance of `` Carmen '' at the Metropolitan Opera , where he was cheered by the audience on his arrival ."
