"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"einstein","http://www.wikidata.org/entity/Q937","Person","has been","have be","the inspiration for many films","the inspiration for many films","Unknown","Einstein has been the subject of or inspiration for many novels , films , plays , and works of music ."
"einstein","http://www.wikidata.org/entity/Q937","Person","visited","visit","Spain two weeks for in 1923","Spain two weeks for in 1923","Unknown","Einstein visited Spain for two weeks in 1923 , where he briefly met Santiago Ramón y Cajal and also received a diploma from King Alfonso XIII naming him a member of the Spanish Academy of Sciences ."
"einstein","http://www.wikidata.org/entity/Q937","Person","developed","develope","an appreciation for music at an early age","an appreciation for music at an early age","Unknown","Einstein developed an appreciation for music at an early age ."
"einstein","http://www.wikidata.org/entity/Q937","Person","wrote daily","write daily","to adopted stepdaughters While traveling","to adopted stepdaughters While traveling","Unknown","While traveling , Einstein wrote daily to his wife Elsa and adopted stepdaughters Margot and Ilse ."
"einstein","http://www.wikidata.org/entity/Q937","Person","excelled","excel","at math from a young age","at math from a young age","Unknown","Einstein excelled at math and physics from a young age , reaching a mathematical level years ahead of his peers ."
"einstein","http://www.wikidata.org/entity/Q937","Person","was","be","aware that getting the frequency of the actual oscillations would be difficult","aware that getting the frequency of the actual oscillations would be difficult","Unknown","Einstein was aware that getting the frequency of the actual oscillations would be difficult , but he nevertheless proposed this theory because it was a particularly clear demonstration that quantum mechanics could solve the specific heat problem in classical mechanics ."
"einstein","http://www.wikidata.org/entity/Q937","Person","took","take","the entrance examinations for the Swiss Federal polytechnic school in Zürich","the entrance examinations for the Swiss Federal polytechnic school in Zürich","Unknown","In 1895 , at the age of 16 , Einstein took the entrance examinations for the Swiss Federal polytechnic school in Zürich ( later the Eidgenössische Technische Hochschule , ETH ) ."
"einstein","http://www.wikidata.org/entity/Q937","Person","was awarded","be award","a PhD by the University of Zürich","a PhD by the University of Zürich","Unknown","As a result , Einstein was awarded a PhD by the University of Zürich , with his dissertation `` A New Determination of Molecular Dimensions '' ."
"einstein","http://www.wikidata.org/entity/Q937","Person","is was a figurehead leader in helping","be be a figurehead leader in help","establish the Hebrew University of Jerusalem","establish the Hebrew University of Jerusalem","Unknown","Einstein was a figurehead leader in helping establish the Hebrew University of Jerusalem , which opened in 1925 and was among its first Board of Governors ."
"einstein","http://www.wikidata.org/entity/Q937","Person","was elected","be elect","president of the German Physical Society 1916–1918 In 1916","president of the German Physical Society 1916–1918 In 1916","Unknown","In 1916 , Einstein was elected president of the German Physical Society ( 1916–1918 ) ."
