"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"thawne","Thawne","PERSON","becomes","become","the reverse-flash","the Reverse-Flash","PERSON","Still seeking to spend time with the Flash and be his friend , Thawne becomes the Reverse-Flash , vowing to making Barry 's life a living hell until he learns to `` make time '' for him ."
"isma'il ibn ahmad","Isma'il ibn Ahmad","PERSON","is ruler from","be ruler from","samanid","Samanid","NORP","Bal'ami is first mentioned as serving under the Samanid ruler Isma'il ibn Ahmad , and was later appointed as vizier by the latter 's grandson , Nasr II ."
"rick kuhn","Rick Kuhn","PERSON","is center of","be center of","boston college","http://www.wikidata.org/entity/Q49118","Language","Hill and two Pittsburgh gamblers set up the 1978–79 Boston College basketball point-shaving scheme by convincing Boston College center Rick Kuhn to participate ."
"lynch","Lynch","PERSON","attended","attend","boylan catholic high school","Boylan Catholic High School","ORG","Lynch attended Boylan Catholic High School , where she was on the student council ."
"galileo","Galileo","WORK_OF_ART","observed","observe","the milky way","the Milky Way","LOC","Galileo observed the Milky Way , previously believed to be nebulous , and found it to be a multitude of stars packed so densely that they appeared from Earth to be clouds ."
"f. d. hole","F. D. Hole","PERSON","widely performed","widely perform","the antigo silt loam song","the Antigo Silt Loam Song","WORK_OF_ART","F. D. Hole wrote and widely performed the Antigo Silt Loam Song , whose melody and lyrics illustrated and celebrated the features , geography , and natural history of Wisconsin soils , entertaining audiences and appealing to students of all ages ."
"clynes","Clynes","ORG","gave a concert playing","give a concert play","the beethoven diabelli variations","the Beethoven Diabelli Variations","WORK_OF_ART","During his three years at UCSD , in La Jolla , Clynes gave a concert at Brubecker Hall , playing the Beethoven Diabelli Variations , as well as a first performance of a group of 5 songs he composed , called `` Sentone Songs , '' employing the remarkable vocal range of Linda Vickerman who performed them ."
"einstein","Einstein","PERSON","visited","visit","america","America","GPE","In December 1930 , Einstein visited America for the second time , originally intended as a two-month working visit as a research fellow at the California Institute of Technology ."
"rafael jordana butticaz","http://www.wikidata.org/entity/Q21339046","Person","born","bear","zaragoza","Zaragoza","GPE","Rafael Jordana Butticaz ( born Zaragoza , 17 July 1941 ) is a Spanish scientist , Emeritus Professor of Animal Physiology and Zoology , and specialist in springtails ( Collembola ) ."
"dirac","Dirac","PRODUCT","told","tell","abraham pais","Abraham Pais","PERSON","In 1928 , building on 2×2 spin matrices which he purported to have discovered independently of Wolfgang Pauli 's work on non-relativistic spin systems ( Dirac told Abraham Pais , `` I believe I got these [ matrices ] independently of Pauli and possibly Pauli got these independently of me . `` ) ,"
