"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"Borodaevskaya","Borodaevskaya","Unknown","headed","head","the Department of geology From 1972 to 1982","the Department of geology From 1972 to 1982","Unknown","From 1972 to 1982 , Borodaevskaya headed the Department of geology , forecasting methods and prospecting for copper deposits ."
"His research interests","His research interests","Unknown","span","spin","energy in general","energy in general","Unknown","His research interests span energy and environment in general and in particular chemistry and technology of coal , carbon and nano-materials , atmospheric aerosols and air pollution ."
"the that production of these computation means the need in coordination of usage of single computers , belonging to various organisations","the that production of these computation means the need in coordination of usage of single computers , belonging to various organisations","Unknown","is is getting","be be get","clear","clear","Unknown","In his article ‘ Computers – Assistants in each Thing ' from the 12th of July 1960 , A.I . Kitov declares , that : `` '' Taking under consideration exceptional importance of the computer development for the national economy and for the state defence , and also considering the fact that production of these computation means is steadily increasing , the need in centralised control over the work of computation centres of all kinds and categories and in control and coordination of usage of single computers , belonging to various organisations , is getting clear ."
"Stow","Stow","Unknown","returned","return","to Australia as a Wellcome Trust Senior Medical Research Fellow At the end of 1994","to Australia as a Wellcome Trust Senior Medical Research Fellow At the end of 1994","Unknown","At the end of 1994 Stow returned to Australia as a Wellcome Trust Senior Medical Research Fellow to set up a cell biology laboratory at the University of Queensland in Brisbane ."
"he","he","Unknown","was","be","able to focus more on his hydraulics research , especially on flow losses in pipes in that position","able to focus more on his hydraulics research , especially on flow losses in pipes in that position","Unknown","While in that position , he was able to focus more on his hydraulics research , especially on flow and friction losses in pipes ."
"Schook","Schook","Unknown","chaired","chair","the executive steering committee of the Alliance for Animal Genome Research","the executive steering committee of the Alliance for Animal Genome Research","Unknown","Schook chaired the executive steering committee of the Alliance for Animal Genome Research and served as project director for the International Swine Genome Sequencing Consortium and the International Pig SNP Chip consortium ."
"P. Xavier","P. Xavier","Unknown","was born","be bear","brain-dead","brain-dead","Unknown","Since P. Xavier was born brain-dead and stuck in a coma for a long time , Charles Xavier ca n't walk in his brother 's body and is forced to use his old wheelchair ."
"he","he","Unknown","crashed","crash","in a war-torn nation Earth","in a war-torn nation Earth","Unknown","The 2017-19 miniseries `` Doomsday Clock '' presented his survival as the act of Doctor Manhattan , who whisked Jor-El away as Krypton crumbled and taken to Earth , where he crashed in a war-torn nation ."
"Kneale","Kneale","Unknown","to write","to write","a new prose Quatermass story for serialisation in their newspaper a","a new prose Quatermass story for serialisation in their newspaper a","Unknown","In 1955 Kneale was invited by the publishers of the `` Daily Express '' to write a new prose Quatermass story for serialisation in their newspaper ; as he was unable to think of a new storyline , they suggested he simply adapt `` Quatermass II '' , which he agreed to do ."
"Hewitson 's research","Hewitson 's research","Unknown","has primarily focused","have primarily focus","on embryo metabolism","on embryo metabolism","Unknown","Hewitson 's research has primarily focused on embryo metabolism , cytoskeletal dynamics , centrosome abnormalities during fertilization , assisted reproductive technology ( ART ) in non-human primates and infant primate neonatal development ."
