"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"briskey","Briskey","ORG","left","leave","Wisconsin to become Vice President , Technical at Campbell Soup in Camden , New Jersey In 1970","Wisconsin to become Vice President , Technical at Campbell Soup in Camden , New Jersey In 1970","Unknown","In 1970 , Briskey left Wisconsin to become Vice President , Technical and Administration at Campbell Soup in Camden , New Jersey , a position he held until he became Dean of Agricultural Science at Oregon State University from 1979 to 1987 ."
"galileo","Galileo","WORK_OF_ART","to be","to be","careful not to advocate heliocentrism","careful not to advocate heliocentrism","Unknown","Earlier , Pope Urban VIII had personally asked Galileo to give arguments for and against heliocentrism in the book , and to be careful not to advocate heliocentrism ."
"debarati guha-sapir","http://www.wikidata.org/entity/Q58494445","Person","born","bear","in Kolkata","in Kolkata","Unknown","Debarati Guha-Sapir ( born in Kolkata , India ) is an Indian epidemiologist and public health researcher based in Belgium ."
"catherine potvin","Catherine Potvin","PERSON","grew up","grow up","with an appreciation for nature","with an appreciation for nature","Unknown","As the granddaughter of farmers , Catherine Potvin grew up with an appreciation for nature ."
"capaldi","Capaldi","PERSON","has said","have say","that the Doctor is still , `` fearless","that the Doctor is still , `` fearless","Unknown","In spite of his darker personality , Capaldi has said that the Doctor is still , `` funny , joyful , passionate , emphatic , and fearless . ''"
"griffith","Griffith","PERSON","discusses","discuss","the intricacies of time zones","the intricacies of time zones","Unknown","Griffith discusses the intricacies of time zones , something with which he had quite a lot of practice ."
"smythe","Smythe","ORG","lead","lead","their army to attack the site of John Jameson 's latest space mission","their army to attack the site of John Jameson 's latest space mission","Unknown","Smythe , Scorpion , and a new villain named Fly-Girl lead their army to attack the site of John Jameson 's latest space mission , sabotaging the launch and holding John for ransom ."
"wladek minor","http://www.wikidata.org/entity/Q28028610","Person","is","be","married to Iwona Minor","married to Iwona Minor","Unknown","Wladek Minor is married to Iwona Minor ."
"reistrup","Reistrup","ORG","released","release","his fourth album on 2 December 2013","his fourth album on 2 December 2013","Unknown","Reistrup released his fourth album on 2 December 2013 ."
"mccann","McCann","PERSON","began","begin","scuba diving in the early 1960s with Jacques Cousteau","scuba diving in the early 1960s with Jacques Cousteau","Unknown","McCann began scuba diving in the early 1960s with Jacques Cousteau , exploring ancient Roman shipwrecks near Marseille ."
"susskind","Susskind","ORG","explains","explain","that Weinberg calculated that if the cosmological constant was just a little different , our universe would cease to exist","that Weinberg calculated that if the cosmological constant was just a little different , our universe would cease to exist","Unknown","Susskind explains that Weinberg calculated that if the cosmological constant was just a little different , our universe would cease to exist ."
"peter parker","http://www.wikidata.org/entity/Q79037","Person","is a high school student from","be a high school student from","Queens Spider-Man identity","Queens Spider-Man identity","Unknown","The Spider-Man series broke ground by featuring Peter Parker , a high school student from Queens behind Spider-Man 's secret identity and with whose `` self-obsessions with rejection , inadequacy , and loneliness '' young readers could relate ."
"the swamp thing","the Swamp Thing","PERSON","tells","tell","him that he believed the Batman was the reason","him that he believed the Batman was the reason","Unknown","The Swamp Thing tells him that he believed the Batman was the reason he came , and because he knew that , he had no reason to stay ."
"fiebert","Fiebert","PERSON","has been involved","have be involve","in the area of Transpersonal Psychology as a student","in the area of Transpersonal Psychology as a student","Unknown","Fiebert has been involved in the area of Transpersonal Psychology as a student , teacher , and researcher ."
"olley","Olley","PERSON","becoming","become","senior vice-president in 1973","senior vice-president in 1973","Unknown","In 1972 Olley was elected junior vice-president of the Tasmanian Royal Society , becoming senior vice-president in 1973 ."
"urban","Urban","ORG","received","receive","his B.S . in environmental science at Muhlenberg College in 1998","his B.S . in environmental science at Muhlenberg College in 1998","Unknown","Urban received his B.S . in environmental science and political science at Muhlenberg College in 1998 ( summa cum laude ) ."
"canon","http://www.wikidata.org/entity/Q1486543","Profession","moved","move","to Spain subsequently","to Spain subsequently","Unknown","Canon studied at the Ateneo Municipal de Manila and subsequently moved to Spain where Canon pursued his medical studies at the Universidad Central De Madrid , now the Complutense University of Madrid ."
