"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"fellowship","http://www.wikidata.org/entity/Q20006438","Award",NULL,"take",NULL,"1992-1994","1992-1994","DATE","After completing his PhD he took up a postdoctoral research fellowship at the Centre National de la Recherche Scientifique, in Toulouse, France, from 1992-1994."
"Lisa Caserta","Lisa Caserta","PERSON",NULL,"marry",NULL,"his later years","his later years","DATE","In his later years, after his first divorce, he married Kelly Alor, followed by his fiancee, Lisa Caserta."
"written languages","http://www.wikidata.org/entity/Q1149626","Language",NULL,"write",NULL,"Leningrad","Leningrad","GPE","During the 1920s and 1930s he did important anthropological work creating and teaching written languages for indigenous Siberian peoples and founded the Institute of the Peoples of the North in Leningrad."
"Maryland","Maryland","GPE",NULL,"hold",NULL,"professional","http://www.wikidata.org/entity/Q1391344","Profession","A collection of her professional papers is held at the National Library of Medicine in Bethesda, Maryland."
"Kurgan","Kurgan","GPE",NULL,"continue",NULL,"Blagonravov","Blagonravov","PERSON","Stepping down as chief designer in 1989, Blagonravov continued to live and work in Kurgan, teaching at Kurgan State University and producing a number of academic works."
"the New Guardians","the New Guardians","ORG",NULL,"refer",NULL,"Philip Sylvian","Philip Sylvian","PERSON","The character Philip Sylvian, apparently unaware of Woodrue's transformation, refers to him as a ""poor old guy"" and states: ""Last I heard he was in Arkham ""Insane"" Asylum...""The Floronic Man was briefly a hero after the events of ""Millennium"", which led to him to become a member of the New Guardians."
"director","http://www.wikidata.org/entity/Q5280518","Profession",NULL,"serve",NULL,"Cordova","Cordova","GPE","In the wake of the 1989 Exxon Valdez oil spill, Treadwell left Yukon and went to Cordova, Alaska, to serve as the city's director of spill response."
"Goa Medical College","Goa Medical College","ORG",NULL,"member of","member of","portugal","http://www.wikidata.org/entity/Q45","Country","Rodrigues was the mayor of Coimbra, member of the ""Cortes Gerais"" in Portugal and one of the first directors of Goa Medical College (then known as the ""Escola MedicoCirurgica de Goa"")."
"Elon Spengler","Elon Spengler","PERSON",NULL,"portray",NULL,"Harold Ramis","Harold Ramis","PERSON","Although Egon Spengler does not appear in the 1990 ""The Earth Day Special"", his character and status as a Ghostbuster is mentioned, and Harold Ramis portrays his twin brother, named Elon Spengler, who is the President of the Wastebusters."
"priests","http://www.wikidata.org/entity/Q106983414","Award",NULL,"take",NULL,"Primetice","Primetice","ORG","In 1759, a drought threatened Primetice's farmers, who now took action against their priests' attempts to control the weather and consequently destroyed the first ""weather-machine""."
"Carpathian","Carpathian","PRODUCT",NULL,"utilize",NULL,"the Statue of Liberty","the Statue of Liberty","WORK_OF_ART","Ray and Egon experiment with the psychomagnotheric slime they find and eventually discover a way to not only positively charge the slime, but utilize it to animate objects, including the Statue of Liberty in their final assault on Vigo the Carpathian."
"the Helsinki University Eye Hospital","the Helsinki University Eye Hospital","ORG",NULL,"work","occupation","Helsinki","Helsinki","GPE","Lindberg spent the rest of 1914 working as an intern at the Department of Surgery in Maria Municipal Hospital, Helsinki, and as a voluntary unpaid resident in the Helsinki University Eye Hospital."
"doctor of philosophy","http://www.wikidata.org/entity/Q752297","Award",NULL,"work","occupation","masters","http://www.wikidata.org/entity/Q96678236","Award","After serving as an ensign in the U.S. Navy during World War II, he pursued graduate work at Ohio State University, receiving his masters in 1947 and his Doctor of Philosophy in 1948, working under the direction of Donald V. Josephson."
"canons","http://www.wikidata.org/entity/Q1486543","Profession",NULL,"dismiss",NULL,"Frickey","Frickey","ORG","The Eskridge and Frickey materials were part of Eskridge's file for tenure at the University of Virginia, whose tenure committee largely dismissed the contribution, in part because it devoted too much discussion to the canons and theories of statutory interpretation."
"and master's degree","and master's degree","WORK_OF_ART",NULL,"degree","academic degree","switzerland","http://www.wikidata.org/entity/Q39","Country","In 1997, Attinger received his combined Bachelors and master's degree in Mechanical Engineering from Ecole Polytechnique Federale de Lausanne (EPFL) in Switzerland."
"Richter","Richter","PERSON",NULL,"visit",NULL,"belmont university","http://www.wikidata.org/entity/Q3298359","Language","In the 1990s Richter was the Moscow Representative of the International Commission on Radio and Television Policy (co-chaired by Pres. Jimmy Carter and Eduard Sagalaev), Visiting Professor in Journalism at Belmont University in Nashville, Tennessee, and a visiting researcher at the Gannett Media Studies Center at Columbia University, NYC."
"dmitry zimin","http://www.wikidata.org/entity/Q4191933","Person",NULL,"leave",NULL,"position","http://www.wikidata.org/entity/Q11488158","Award","In 2001, at the age of 68, Dmitry Zimin sold his controlling stake in VimpelCom and left the position of general director of the company."
"19231924","19231924","DATE",NULL,"member of","member of","scientists","http://www.wikidata.org/entity/Q901","Profession","From 1922 to 1932, Einstein was a member of the International Committee on Intellectual Cooperation of the League of Nations in Geneva (with a few months of interruption in 19231924), a body created to promote international exchange between scientists, researchers, teachers, artists, and intellectuals."
"bishop","http://www.wikidata.org/entity/Q683731","Profession",NULL,"succeed",NULL,"George Wyndham Knight-Bruce","George Wyndham Knight-Bruce","PERSON","He was later elected Dean of Sidney Sussex and in 1892 chosen to succeed George Wyndham Knight-Bruce as Bishop of Bloemfontein, a post he held until his death on 12 October 1899."
"Luzhkov","Luzhkov","PERSON",NULL,"note",NULL,"""Moscow and Life""","""Moscow and Life""","WORK_OF_ART","In the autobiographical book ""Moscow and Life"", Luzhkov noted that in April 2010, businessman Boris Khayit came to him and asked him to support Medvedev in the 2012 elections."
"February 1949","February 1949","DATE",NULL,"meet",NULL,"Denis Thatcher","Denis Thatcher","PERSON","At a dinner following her formal adoption as Conservative candidate for Dartford in February 1949 she met divorce Denis Thatcher, a successful and wealthy businessman, who drove her to her Essex train."
"453 ah","http://www.wikidata.org/entity/Q854","Country",NULL,"know",NULL,"Maliki","Maliki","NORP","Muhammad ibn Ali ibn Omar ibn Muhammad al-Tamimi al-Maziri () (1061  1141 CE) (453 AH  536 AH ), simply known as Al-Maziri or as Imam al-Maziri and Imam al-Mazari, was an important Arab Muslim jurist in the Maliki school of Sunni Islamic Law."
"Solandt","Solandt","PERSON",NULL,"continue",NULL,"the Army Operational Research Group","the Army Operational Research Group","ORG","Dr. Solandt joined the Canadian Army in February 1944 with the rank of Colonel and continued as Director of the Army Operational Research Group until 1945 when he was appointed Director of the Operational Research Division, South-East Asia Command, and scientific advisor to Lord Louis Mountbatten, then Commander-in-Chief S.E.A.C.Returning to England in June 1945, he was soon appointed to the War Office as a member of the joint Military Mission sent to Japan to evaluate the effects of the atomic bomb."
"the Honey Research Unit","the Honey Research Unit","ORG",NULL,"Research",NULL,"director","http://www.wikidata.org/entity/Q3387717","Profession","He rose to the position of professor of biological sciences (2003), and was the director of the Honey Research Unit at Waikato from 1995 until 2013."
"one year later","one year later","DATE",NULL,"graduate",NULL,"degree","http://www.wikidata.org/entity/Q189533","Award","Allowed to submit some of his previous research toward his degree, he graduated one year later, in 1955."
