"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"griffin","http://www.wikidata.org/entity/Q1423956","Person",NULL,"award","award received","lifetime achievement award","http://www.wikidata.org/entity/Q28312048","Award","In 2016, Griffin was awarded the lifetime achievement award from the Alzheimers Association at its international conference."
"joan curran","http://www.wikidata.org/entity/Q6204983","Person",NULL,"award","award received","doctor of letters","http://www.wikidata.org/entity/Q837343","Award","Joan Curran was awarded an honorary degree of Doctor of Letters from the University of Strathclyde in 1987."
"atoms","http://www.wikidata.org/entity/Q4817193","Person",NULL,"win","award received","thesis prize","http://www.wikidata.org/entity/Q107600131","Award","She earned a MSc and PhD in physics at University of Toronto researching ferromagnetism in ultracold Fermi gas winning the 2011 CAP Division of Atomic, Molecular and Optical Physics Canada (DAMOPC) Thesis Prize for her PhD thesis on Exploring many-body physics with ultracold atoms."
"tahmasib hossein ajdarov","http://www.wikidata.org/entity/Q64607858","Person",NULL,"award","award received","degree","http://www.wikidata.org/entity/Q189533","Award","Tahmasib Hossein Ajdarov was awarded with the degree of Doctor of Economics under the Decree Dated 2002 of the Supreme Attestation Commission of Ukraine."
"qian xiuling","http://www.wikidata.org/entity/Q19828039","Person",NULL,"win","award received","medal","http://www.wikidata.org/entity/Q131647","Award","Qian Xiuling (19122008), or Siou-Ling Tsien de Perlinghi, was a Chinese-Belgian scientist who won a medal for saving nearly 100 lives during World War II in Belgium."
"the doctor","http://www.wikidata.org/entity/Q34358","Person",NULL,"award","award received","d.sc.","http://www.wikidata.org/entity/Q4618975","Award","In this, he personally submitted a thesis describing his principal contributions to defence technologies and was awarded the Doctor of Science (D.Sc.)"
"eight","http://www.wikidata.org/entity/Q4530108","Person",NULL,"award","award received","doctor of science","http://www.wikidata.org/entity/Q2628227","Award","In 2000, he was awarded a Honorary Doctor of Science from the University of Colorado at Boulder along with eight other astronaut alums."
"the doctor","http://www.wikidata.org/entity/Q34358","Person",NULL,"win","award received","master","http://www.wikidata.org/entity/Q3297843","Award","Kroton won the Glory, the Master was purged from the TARDIS and history was reverted, and the Doctor and Izzy took a well-earned break."
"moosavi-movahedi","http://www.wikidata.org/entity/Q61065129","Person",NULL,"award","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","Several awards are given to researchers by the society such as ISOBC Global Science Contribution for senior highly cited distinguished scientists, ISOBC for talented young (under 35 year) researcher, Moosavi-Movahedi Award for young (under 40 years) eminent PhD that confer to scientists in Annual ISOBC Congress."
"shamsuddin rahimtoola","http://www.wikidata.org/entity/Q29452548","Person",NULL,"award","award received","lifetime achievement award","http://www.wikidata.org/entity/Q105727509","Award","The Dow University bestowed the 'Lifetime Achievement Award' on Shamsuddin Rahimtoola in 2013 to honor his commitment, dedication and contribution to the institution for over four decades."
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"award","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","Mandelbrot's awards include the Wolf Prize for Physics in 1993, the Lewis Fry Richardson Prize of the European Geophysical Society in 2000, the Japan Prize in 2003, and the Einstein Lectureship of the American Mathematical Society in 2006."
