"predicate","relation","count"
"serve",NULL,37128
"work","occupation",36536
"become",NULL,34601
"award","award received",32468
"degree","academic degree",32363
"receive",NULL,31417
"bear",NULL,30154
"member of","member of",29902
"Research",NULL,22623
"Award",NULL,18062
"appoint",NULL,17035
"hold",NULL,16740
"study",NULL,16442
"join",NULL,15993
"take",NULL,14892
"earn",NULL,13508
"make",NULL,13162
"publish",NULL,11987
"return",NULL,11659
"move",NULL,11626
"graduate",NULL,10841
"appear",NULL,10625
"name",NULL,10263
"include",NULL,10124
"write",NULL,10057
"attend",NULL,9622
"know",NULL,9521
"complete",NULL,9378
"use",NULL,8266
"go",NULL,8032
"visit",NULL,7990
"elect",NULL,7985
"research","field of work",7595
"begin",NULL,7582
"spend",NULL,7496
"lead",NULL,7328
"give",NULL,7028
"marry",NULL,6945
"create",NULL,6765
"leave",NULL,6652
"win","award received",6205
"meet",NULL,6128
"play",NULL,6126
"teach",NULL,6096
"establish",NULL,5896
"call",NULL,5709
"obtain",NULL,5528
"die",NULL,5519
"send",NULL,5496
"travel",NULL,5181
"continue",NULL,5159
"Member of",NULL,5007
"see",NULL,4634
"start",NULL,4621
"found",NULL,4594
"find",NULL,4445
"develop",NULL,4381
"say",NULL,4359
"bear on",NULL,4333
"help",NULL,4233
"follow",NULL,3870
"come",NULL,3740
"live",NULL,3625
"accept",NULL,3556
"Studies",NULL,3356
"describe",NULL,3292
"state",NULL,3237
"bring",NULL,3176
"kill",NULL,3111
"responsible for","field of work",3068
"tell",NULL,3048
"feature",NULL,3035
"note",NULL,3032
"reveal",NULL,3031
"announce",NULL,3024
"involve",NULL,3010
"present",NULL,2998
"remain",NULL,2976
"promote",NULL,2954
"diploma","academic degree",2920
"offer",NULL,2858
"honor","award received",2807
"enter",NULL,2707
"base",NULL,2615
"run",NULL,2609
"educate",NULL,2603
"allow",NULL,2578
"defend",NULL,2561
"set",NULL,2552
"discover",NULL,2550
"ask",NULL,2442
"arrive",NULL,2337
"conduct",NULL,2306
"select",NULL,2211
"produce",NULL,2195
"learn",NULL,2188
"grow",NULL,2179
"retire",NULL,2168
"portray",NULL,2152
"death","date of death",2135
"introduce",NULL,2134
"release",NULL,2130
"get",NULL,2121
"show",NULL,2086
"report",NULL,2080
"participate",NULL,2071
"provide",NULL,2060
"gain",NULL,2053
"replace",NULL,2013
"career","occupation",2008
"succeed",NULL,2008
"save",NULL,2003
"support",NULL,1983
"direct",NULL,1980
"fight",NULL,1977
"represent",NULL,1967
"Awards",NULL,1961
"locate",NULL,1922
"consider",NULL,1921
"head",NULL,1904
"form",NULL,1891
"pursue",NULL,1887
"carry",NULL,1877
"speak",NULL,1847
"invite",NULL,1819
"pass",NULL,1818
"nominate",NULL,1784
"choose",NULL,1782
"build",NULL,1750
"hire",NULL,1747
"sign",NULL,1738
"read",NULL,1737
"launch",NULL,1733
"perform",NULL,1719
"attack",NULL,1715
"decide",NULL,1630
"change",NULL,1591
"occupation","occupation",1552
"act",NULL,1524
"destroy",NULL,1514
"defeat",NULL,1471
"recognize",NULL,1468
"manage",NULL,1464
"employ","occupation",1446
"claim",NULL,1434
"translate",NULL,1425
"mention",NULL,1410
"settle",NULL,1401
"turn",NULL,1387
"contribute",NULL,1365
"stop",NULL,1349
"explain",NULL,1348
"honour","award received",1340
"end",NULL,1340
"refer",NULL,1337
"discuss",NULL,1334
"put",NULL,1334
"inspire",NULL,1326
"train",NULL,1308
"seek",NULL,1306
"vote",NULL,1303
"accompany",NULL,1300
"associate",NULL,1291
"confront",NULL,1265
"transfer",NULL,1262
"confirm",NULL,1262
"star",NULL,1260
"praise",NULL,1258
"undertake",NULL,1254
"die on",NULL,1252
"focus",NULL,1251
"cite",NULL,1246
"deliver",NULL,1234
"rename",NULL,1222
"entitle",NULL,1220
"enrol",NULL,1220
"fall",NULL,1219
"organize",NULL,1216
"depict",NULL,1207
"lose",NULL,1205
"author",NULL,1204
"count",NULL,1203
"propose",NULL,1193
"share",NULL,1192
"oversee",NULL,1192
"result",NULL,1184
