document id	subject	predicate	predicate lemmatized	object	confidence	sentence
22836123	onset scleroderma crisis	induced by	induce by	tacrolimus	1.000	Late - onset scleroderma renal crisis induced by tacrolimus and prednisolone : a case report .
22836123	onset scleroderma renal crisis	induced by	induce by	tacrolimus	1.000	Late - onset scleroderma renal crisis induced by tacrolimus and prednisolone : a case report .
22836123	crisis	is rare	be rare	sclerosis	1.000	Scleroderma renal crisis ( SRC ) is a rare complication of systemic sclerosis ( SSc ) but can be severe enough to require temporary or permanent renal replacement therapy .
22836123	moderate	is recognized as	be recognize as	major risk factor	1.000	Moderate to high dose corticosteroid use is recognized as a major risk factor for SRC .
22836123	moderate	is recognized as	be recognize as	risk factor for src	1.000	Moderate to high dose corticosteroid use is recognized as a major risk factor for SRC .
22836123	moderate	is recognized as	be recognize as	major risk factor for src	1.000	Moderate to high dose corticosteroid use is recognized as a major risk factor for SRC .
22836123	moderate	is	be	recognized	1.000	Moderate to high dose corticosteroid use is recognized as a major risk factor for SRC .
22836123	moderate	is recognized as	be recognize as	risk factor	1.000	Moderate to high dose corticosteroid use is recognized as a major risk factor for SRC .
22836123	have reports	precipitated by	precipitate by	cyclosporine patients	1.000	Furthermore , there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with SSc .
22836123	have reports	precipitated by	precipitate by	cyclosporine patients ssc	1.000	Furthermore , there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with SSc .
